name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_6f867-d39ad;oneDev;1;0;0;0;0;false;false
rev_63566-3125b;oneDev;1;0;0;0;0;false;false
rev_f1f30-f409f;oneDev;1;2;0;1;0;true;false
rev_d3b25-c30d6;oneDev;1;0;0;0;0;false;false
rev_99c9c-c174f;twoDevs;2;0;0;0;0;false;false
rev_53c2d-d066e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f7633-86a1b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_56ea4-1b27f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e21fb-d41aa;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1e6c7-a8d84;twoDevs;2;0;0;0;0;false;false
rev_4432e-95f49;moreThanTwoDevs;7;0;0;0;0;false;false
rev_5fd23-6f777;moreThanTwoDevs;7;0;0;0;0;false;false
rev_c8607-7e575;oneDev;1;0;0;0;0;false;false
rev_5acf0-630b7;twoDevs;2;0;0;0;0;false;false
rev_0e485-4b4ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_19a8d-9a048;moreThanTwoDevs;3;0;0;0;0;false;false
rev_da0bf-af74b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3a2bf-2afa3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_95bac-2afa3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0a93a-6cfee;moreThanTwoDevs;3;0;0;0;0;false;false
rev_016ea-b4948;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c359e-e72cd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_82078-989a0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_440ac-f9071;moreThanTwoDevs;3;0;0;0;0;false;false
rev_898b0-38b68;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b0699-f48f0;twoDevs;2;0;0;0;0;false;false
rev_5891d-ace64;twoDevs;2;0;0;0;0;false;false
rev_8a20c-55cec;twoDevs;2;0;0;0;0;false;false
rev_ddf49-c137e;twoDevs;2;0;0;0;0;false;false
rev_523a6-079ee;twoDevs;2;0;0;0;0;false;false
rev_097cc-206e9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_59529-6699f;oneDev;1;0;0;0;0;false;false
rev_430de-f8798;moreThanTwoDevs;3;1;0;1;0;true;false
rev_bb263-bd8d0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_83961-c7519;moreThanTwoDevs;3;0;0;0;0;false;false
rev_96f86-e5cf9;oneDev;1;0;0;0;0;false;false
rev_6c70a-70eff;moreThanTwoDevs;3;0;0;0;0;false;false
