name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_a7a98-ab829;moreThanTwoDevs;3;0;0;0;0;false;false
rev_db355-c59e1;moreThanTwoDevs;5;0;0;0;0;false;true
rev_9c519-cc8f4;oneDev;1;0;0;0;0;false;false
rev_f902b-7d5ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8e4d2-c4fbb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2b90b-d966d;twoDevs;2;0;0;0;0;false;false
rev_72fe1-7df74;moreThanTwoDevs;4;0;0;0;0;false;false
rev_29bb7-ee87c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_26388-3c80e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2744c-dbe42;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c0829-b3f35;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fe078-19928;twoDevs;2;0;0;0;0;false;false
rev_79c72-af921;twoDevs;2;0;0;0;0;false;false
rev_126b1-ff9fd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_53118-f6110;twoDevs;2;0;0;0;0;false;false
rev_9aae6-80bf3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bcbf8-40a35;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b6092-a0a77;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c70d3-6f82d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_95a1b-cfc5e;twoDevs;2;0;0;0;0;false;false
rev_bccbd-57b91;twoDevs;2;0;0;0;0;false;false
rev_781f2-6d771;twoDevs;2;0;0;0;0;false;false
rev_1a44c-16ff4;twoDevs;2;0;0;0;0;false;false
rev_daa59-ef54a;moreThanTwoDevs;4;1;0;0;0;true;false
rev_b82a9-9db45;moreThanTwoDevs;6;1;0;0;0;true;false
rev_3cff5-27e82;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f33ed-3211d;twoDevs;2;0;0;0;0;false;false
rev_63872-1d518;twoDevs;2;0;0;0;0;false;false
rev_450a3-92786;twoDevs;2;0;0;0;0;false;false
rev_52660-828e3;twoDevs;2;0;0;0;0;false;false
rev_2f161-d0278;moreThanTwoDevs;7;6;0;0;0;true;true
