name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_2f5bd-d2cfa;oneDev;1;0;0;0;0;false;false
rev_03c26-a7e70;oneDev;1;0;0;0;0;false;false
rev_614f3-cfbf9;twoDevs;2;0;0;0;0;false;false
rev_aa3cd-62767;oneDev;1;0;0;0;0;false;false
rev_ba5d5-3b2c7;twoDevs;2;18;0;0;0;true;false
rev_b8fb6-fb018;twoDevs;2;0;0;0;0;false;false
rev_fb018-81293;oneDev;1;0;0;0;0;false;false
rev_5b242-946b6;oneDev;1;0;0;0;0;false;false
rev_be644-923b2;oneDev;1;0;0;0;0;false;false
rev_a80b9-b3e92;oneDev;1;0;0;0;0;false;false
rev_8f2ef-ae881;oneDev;1;0;0;0;0;false;false
rev_1a25c-7dee9;oneDev;1;0;0;0;0;false;false
rev_16804-63aaa;oneDev;1;0;0;0;0;false;false
rev_3b95c-667f2;oneDev;1;0;0;0;0;false;false
rev_35cb9-ba272;twoDevs;2;0;0;0;0;false;false
rev_3f651-e31a8;oneDev;1;0;0;0;0;false;false
rev_be096-c4690;oneDev;1;0;0;0;0;false;false
rev_ca27c-22b84;oneDev;1;0;0;0;0;false;false
rev_e33c0-f49d8;oneDev;1;0;0;0;0;false;false
rev_23bc6-309b9;twoDevs;2;0;0;0;0;false;false
rev_ba77f-61008;twoDevs;2;0;0;0;0;false;false
rev_0340e-c86d2;oneDev;1;0;0;0;0;false;false
rev_f6fcc-56f07;oneDev;1;0;0;0;0;false;false
rev_9f6d9-bc5d8;oneDev;1;0;0;0;0;false;false
rev_595cc-ac25a;twoDevs;2;0;0;0;0;false;false
rev_4a16d-77510;twoDevs;2;1;0;0;0;true;false
rev_ad61b-d9cb8;oneDev;1;0;0;0;0;false;false
rev_c28fd-1f6f0;twoDevs;2;0;0;0;0;false;false
rev_23dd8-19f69;twoDevs;2;0;0;0;0;false;false
rev_006d6-6245f;twoDevs;2;1;0;0;0;true;false
rev_006d6-c1683;twoDevs;2;0;0;0;0;false;false
rev_dee22-e542b;oneDev;1;0;0;0;0;false;false
rev_bf4cf-2831f;oneDev;1;0;0;0;0;false;false
rev_91b83-027e8;oneDev;1;0;0;0;0;false;false
rev_a976e-f5821;oneDev;1;6;1;0;0;true;false
rev_ae644-02238;twoDevs;2;17;2;0;0;true;false
rev_a876e-f35b0;oneDev;1;0;0;0;0;false;false
rev_a8a25-9e8e8;twoDevs;2;0;0;0;0;false;false
rev_1d440-c77f6;oneDev;1;0;0;0;0;false;false
rev_57031-3f203;oneDev;1;0;0;0;0;false;false
rev_7df6f-a2a71;oneDev;1;0;0;0;0;false;false
rev_d1746-02431;oneDev;1;2;0;1;0;true;false
rev_9f730-d4af1;oneDev;1;0;0;0;0;false;false
rev_cd81a-d70f6;oneDev;1;0;0;0;0;false;false
rev_e221f-735b1;oneDev;1;0;0;0;0;false;false
rev_dd8ea-1fc36;oneDev;1;0;0;0;0;false;false
rev_f7395-a8ca1;oneDev;1;0;0;0;0;false;false
rev_f9004-ee438;oneDev;1;0;0;0;0;false;false
rev_6540a-9c30f;twoDevs;2;0;0;0;0;false;false
rev_9c30f-6540a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dd049-5c92e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c0c19-2a41e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2a41e-c25a8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_94f0e-8bb28;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f0b09-385a9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_385a9-805eb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_61915-99689;oneDev;1;1;0;0;0;true;false
rev_a6367-5ae30;oneDev;1;0;0;0;0;false;false
rev_30eae-aafbd;oneDev;1;0;0;0;0;false;false
rev_a4c64-9c390;twoDevs;2;0;0;0;0;false;false
rev_a4c74-622f2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a1a22-07a69;twoDevs;2;0;0;0;0;false;false
rev_f759f-3854f;twoDevs;2;0;0;0;0;false;false
rev_d1890-eea2d;oneDev;1;0;0;0;0;false;false
rev_af1a2-1e78c;oneDev;1;0;0;0;0;false;false
rev_eea2d-d1890;oneDev;1;0;0;0;0;false;false
rev_8c96b-c2fe1;oneDev;1;0;0;0;0;false;false
rev_bc2c3-64ad4;oneDev;1;0;0;0;0;false;false
rev_6ff68-e9784;oneDev;1;0;0;0;0;false;false
rev_93b38-5e54d;oneDev;1;0;0;0;0;false;false
rev_a028d-f5956;twoDevs;2;0;0;0;0;false;false
rev_0366a-9cee1;oneDev;1;0;0;0;0;false;false
rev_a186b-55436;oneDev;1;0;0;0;0;false;false
rev_8239d-dc26c;oneDev;1;0;0;0;0;false;false
rev_84e5c-9380a;oneDev;1;0;0;0;0;false;false
rev_d7bcb-1a1c0;twoDevs;2;0;0;0;0;false;false
rev_bccc8-54ca1;twoDevs;2;0;0;0;0;false;false
rev_43269-1b00e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_aa7a8-42b91;moreThanTwoDevs;3;1;0;0;0;true;false
rev_8f7f5-b05e1;oneDev;1;0;0;0;0;false;false
rev_daad4-2ad33;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bf79c-798cd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b98d5-28e3c;twoDevs;2;0;0;0;0;false;false
rev_071d4-ed639;moreThanTwoDevs;3;0;0;0;0;false;false
rev_da051-4c29b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_09056-0818b;twoDevs;2;0;0;0;0;false;false
rev_090c4-759db;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f507e-db57f;twoDevs;2;0;0;0;0;false;false
rev_0bc05-3574b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_37032-92edb;twoDevs;2;0;0;0;0;false;false
rev_fe37f-ff040;twoDevs;2;0;0;0;0;false;false
rev_151dc-5cd9d;twoDevs;2;0;0;0;0;false;false
rev_19a85-513f2;moreThanTwoDevs;5;0;0;0;0;false;false
rev_59112-871ad;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a4214-67fff;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f729d-9e6eb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dc7c3-bda89;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5506b-a40af;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c68ad-0f2eb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6e4f9-d5db7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_70148-d3e70;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d3e70-b08e0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1e59a-0fd7f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9be11-274cf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9c68e-4db8c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d0856-ce774;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a28da-b18c7;twoDevs;2;0;0;0;0;false;false
rev_e6df5-4ee68;moreThanTwoDevs;3;0;0;0;0;false;false
rev_72db5-e0a6d;twoDevs;2;0;0;0;0;false;false
rev_a28da-c74ca;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9ae63-fccb7;twoDevs;2;0;0;0;0;false;false
rev_e5efa-1bcad;twoDevs;2;0;0;0;0;false;false
rev_62ad9-04e3b;twoDevs;2;0;0;0;0;false;false
rev_665d8-01ebb;moreThanTwoDevs;8;0;0;0;0;false;false
rev_2055e-958b3;twoDevs;2;0;0;0;0;false;false
