name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_9be54-04a2b;oneDev;1;0;0;0;0;false;false
rev_70116-8dcd0;oneDev;1;0;0;0;0;false;false
rev_f3f78-e9995;oneDev;1;0;0;0;0;false;false
rev_367e7-5abd0;oneDev;1;0;0;0;0;false;false
rev_c2996-0f015;oneDev;1;0;0;0;0;false;false
rev_ca938-07648;twoDevs;2;0;0;0;0;false;false
rev_af137-737df;twoDevs;2;0;0;0;0;false;false
rev_5a655-329b6;twoDevs;2;0;0;0;0;false;false
rev_a6658-53492;twoDevs;2;0;0;0;0;false;false
rev_0226c-c0dfb;twoDevs;2;0;0;0;0;false;false
rev_60920-e7d94;oneDev;1;0;0;0;0;false;true
rev_850dc-734fe;twoDevs;2;0;0;0;0;false;false
rev_e879f-50751;twoDevs;2;0;0;0;0;false;false
rev_cb613-c4832;twoDevs;2;0;0;0;0;false;false
rev_5e250-e6798;twoDevs;2;0;0;0;0;false;false
rev_8f36a-6f39b;twoDevs;2;0;0;0;0;false;false
rev_665c3-be8e7;twoDevs;2;0;0;0;0;false;false
rev_10881-c9354;twoDevs;2;0;0;0;0;false;false
rev_022f4-31e62;moreThanTwoDevs;3;0;0;0;0;false;false
rev_57024-9f6db;twoDevs;2;0;0;0;0;false;false
rev_9a8a1-dc6fb;moreThanTwoDevs;4;0;0;0;0;false;false
rev_0acc9-dec28;oneDev;1;0;0;0;0;false;false
rev_d4184-8bc28;twoDevs;2;0;0;0;0;false;false
rev_077a2-29be5;twoDevs;2;0;0;0;0;false;false
rev_5233d-934d0;twoDevs;2;0;0;0;0;false;false
rev_b6997-0de0e;twoDevs;2;0;0;0;0;false;false
rev_6e011-d9a9f;twoDevs;2;0;0;0;0;false;false
rev_23cdc-bf79f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_24ca7-906be;twoDevs;2;0;0;0;0;false;false
rev_05f6d-fb905;twoDevs;2;0;0;0;0;false;false
rev_66c44-4aec2;oneDev;1;0;0;0;0;false;true
rev_cc4ec-d701d;oneDev;1;0;0;0;0;false;false
rev_b5a75-20ad3;twoDevs;2;0;0;0;0;false;false
rev_b331f-d4a57;twoDevs;2;0;0;0;0;false;false
rev_28307-65373;twoDevs;2;0;0;0;0;false;false
