name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_1b15a-bcbc1;oneDev;1;0;0;0;0;false;false
rev_48292-952c6;oneDev;1;0;0;0;0;false;false
rev_29d09-efd15;twoDevs;2;0;0;0;0;false;false
rev_3f8f9-59155;twoDevs;2;0;0;0;0;false;false
rev_4e098-4e066;twoDevs;2;0;0;0;0;false;false
rev_85d1e-83f13;twoDevs;2;0;0;0;0;false;false
rev_d1926-61f0f;twoDevs;2;0;0;0;0;false;false
rev_75dc4-b047e;twoDevs;2;0;0;0;0;false;false
rev_a8664-0762e;twoDevs;2;0;0;0;0;false;false
rev_0762e-3785c;twoDevs;2;0;0;0;0;false;false
rev_62265-a0eab;oneDev;1;0;0;0;0;false;false
rev_1210c-8e7a4;twoDevs;2;0;0;0;0;false;false
rev_5c55b-b1548;twoDevs;2;1;0;0;0;true;false
rev_7f338-faca4;oneDev;1;0;0;0;0;false;false
rev_ae8df-94c63;twoDevs;2;0;0;0;0;false;false
rev_3f6cc-aa65c;oneDev;1;0;0;0;0;false;false
rev_c67f5-256cf;oneDev;1;0;0;0;0;false;false
rev_c6552-bda6c;twoDevs;2;0;0;0;0;false;false
rev_ea8ee-38cea;twoDevs;2;0;0;0;0;false;false
rev_38cea-1caf1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0eaa5-67898;twoDevs;2;0;0;0;0;false;false
rev_e6584-e8929;twoDevs;2;0;0;0;0;false;false
rev_ec199-7fe0e;oneDev;1;0;0;0;0;false;false
rev_b3a25-faa23;oneDev;1;0;0;0;0;false;false
rev_cbb3d-d4b7a;oneDev;1;0;0;0;0;false;false
rev_437cd-0d8bd;twoDevs;2;0;0;0;0;false;false
rev_ec199-93a65;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9bd7c-edaca;moreThanTwoDevs;3;2;0;1;0;true;false
rev_ab6b4-5c794;twoDevs;2;0;0;0;0;false;false
rev_f4fa3-931a4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_58210-e393a;twoDevs;2;0;0;0;0;false;false
rev_0a350-7a33b;twoDevs;2;0;0;0;0;false;false
rev_7e482-09e37;moreThanTwoDevs;4;0;0;0;0;false;false
rev_960dd-ec1ff;moreThanTwoDevs;5;0;0;0;0;false;false
rev_7c297-63084;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e7340-d9775;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6bbde-b2d84;moreThanTwoDevs;3;0;0;0;0;false;false
rev_47d5b-2db89;twoDevs;2;0;0;0;0;false;false
rev_5b584-2db89;moreThanTwoDevs;3;3;0;0;0;true;true
rev_d94e2-91607;twoDevs;2;0;0;0;0;false;false
rev_c8b0f-20d25;twoDevs;2;0;0;0;0;false;false
rev_47071-ddf77;moreThanTwoDevs;5;0;0;0;0;false;false
rev_20b26-07e64;twoDevs;2;0;0;0;0;false;false
