name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_0d995-ed768;oneDev;1;0;0;0;0;false;false
rev_b0104-4d5d6;oneDev;1;0;0;0;0;false;false
rev_e2463-cd5b1;oneDev;1;0;0;0;0;false;false
rev_481c5-c84fb;oneDev;1;0;0;0;0;false;false
rev_c5896-547ae;twoDevs;2;0;0;0;0;false;true
rev_715a9-5f5d7;twoDevs;2;0;0;0;0;false;false
rev_9c25b-751f3;twoDevs;2;0;0;0;0;false;false
rev_0f80b-efe65;twoDevs;2;0;0;0;0;false;false
rev_2b920-ca25d;twoDevs;2;0;0;0;0;false;false
rev_cd342-9e60f;twoDevs;2;0;0;0;0;false;false
rev_6d9b5-677b1;twoDevs;2;1;0;0;0;true;false
rev_1b357-ed1a0;twoDevs;2;0;0;0;0;false;false
rev_78afb-fd285;twoDevs;2;0;0;0;0;false;false
rev_59bfb-509ae;twoDevs;2;0;0;0;0;false;false
rev_61b63-e8b76;twoDevs;2;0;0;0;0;false;false
rev_ecca6-df013;twoDevs;2;0;0;0;0;false;false
rev_089d3-2f15b;twoDevs;2;0;0;0;0;false;false
rev_08e61-0ce3a;twoDevs;2;0;0;0;0;false;false
rev_d1f67-26fe2;twoDevs;2;0;0;0;0;false;false
rev_b03a6-79111;twoDevs;2;0;0;0;0;false;false
rev_f3d7f-37f66;twoDevs;2;0;0;0;0;false;false
rev_78ec9-2854a;twoDevs;2;0;0;0;0;false;false
rev_f0878-c8a33;twoDevs;2;0;0;0;0;false;false
rev_ac929-debe3;twoDevs;2;0;0;0;0;false;false
rev_63f88-5bb43;twoDevs;2;0;0;0;0;false;false
rev_a9fce-028e9;twoDevs;2;0;0;0;0;false;false
rev_db969-596ed;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0634f-f2e67;moreThanTwoDevs;3;0;0;0;0;false;false
rev_47f2f-0af99;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bb28b-bcffb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cc6e4-8065b;moreThanTwoDevs;6;0;0;0;0;false;true
rev_4d0e3-a93d9;moreThanTwoDevs;7;0;0;0;0;false;true
rev_e2336-db9cc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9ea7a-5dbf0;moreThanTwoDevs;7;0;0;0;0;false;true
rev_7211e-35a70;twoDevs;2;0;0;0;0;false;false
rev_b474d-ddc76;twoDevs;2;0;0;0;0;false;false
rev_d0b7f-9c041;twoDevs;2;1;0;0;0;true;false
rev_37fec-4550a;twoDevs;2;0;0;0;0;false;false
rev_0d192-df506;moreThanTwoDevs;3;0;0;0;0;false;false
rev_47dd9-e4a18;twoDevs;2;0;0;0;0;false;false
rev_a880c-f1cb7;twoDevs;2;0;0;0;0;false;false
rev_d7cbe-c73a6;moreThanTwoDevs;9;1;0;0;0;true;true
rev_2c65e-57467;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e08b3-51886;twoDevs;2;0;0;0;0;false;false
rev_3fb35-54a43;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7214e-82670;twoDevs;2;0;0;0;0;false;false
rev_0f254-6a6a1;twoDevs;2;0;0;0;0;false;false
rev_e0378-a19c9;moreThanTwoDevs;4;1;0;0;0;true;false
rev_28cc1-67543;moreThanTwoDevs;3;0;0;0;0;false;false
rev_79d12-10bab;twoDevs;2;0;0;0;0;false;false
rev_dd72a-3f25f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_28b70-2f84e;twoDevs;2;0;0;0;0;false;false
rev_3bd0d-fc8ec;twoDevs;2;0;0;0;0;false;false
rev_d3526-0c89f;twoDevs;2;0;0;0;0;false;false
rev_2657c-c77fb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2a8b3-5bebd;twoDevs;2;0;0;0;0;false;false
rev_853b4-21234;moreThanTwoDevs;4;0;0;0;0;false;false
rev_335a2-4515a;twoDevs;2;0;0;0;0;false;false
rev_75760-e90fc;twoDevs;2;0;0;0;0;false;false
rev_29b06-fdf07;moreThanTwoDevs;3;0;0;0;0;false;false
rev_421b6-2088c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ccb50-e856b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_62947-d637e;moreThanTwoDevs;7;0;0;0;0;false;false
rev_50a05-e7b1f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bf5cb-e744d;moreThanTwoDevs;5;0;0;0;0;false;false
rev_c771d-19c59;moreThanTwoDevs;5;0;0;0;0;false;false
rev_0efc2-bc972;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dcd82-40d84;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1e037-77678;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a102c-26e4c;twoDevs;2;0;0;0;0;false;false
rev_17423-39499;moreThanTwoDevs;6;0;0;0;0;false;false
rev_b989f-1758f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_128ce-1cf63;twoDevs;2;0;0;0;0;false;false
rev_9e2e4-f5d4a;twoDevs;2;0;0;0;0;false;false
rev_e958b-2ebee;twoDevs;2;0;0;0;0;false;false
