name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_e96b6-72812;twoDevs;2;0;0;0;0;false;false
rev_1d1b0-9c820;twoDevs;2;0;0;0;0;false;false
rev_0bdad-90340;oneDev;1;0;0;0;0;false;false
rev_c2465-caad7;twoDevs;2;0;0;0;0;false;false
rev_61bea-f46d9;twoDevs;2;26;24;0;0;true;false
rev_7845f-09633;moreThanTwoDevs;3;1;0;0;0;true;false
rev_d2656-6255d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_de91a-3a55c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_790c3-4b07c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_98d6a-05499;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3d948-6696c;moreThanTwoDevs;6;0;0;0;0;false;false
rev_10592-b29d4;moreThanTwoDevs;8;0;0;0;0;false;false
rev_39922-b6a57;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b274a-88560;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cc404-578ab;moreThanTwoDevs;5;3;1;1;0;true;false
rev_89865-746b7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_0c420-c4ad4;moreThanTwoDevs;5;0;0;0;0;false;false
rev_33db4-adeb9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_01a27-069df;moreThanTwoDevs;5;0;0;0;0;false;false
