name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_85e9b-0a57b;oneDev;1;0;0;0;0;false;false
rev_685e9-aa1e0;twoDevs;2;0;0;0;0;false;false
rev_685e9-34e45;moreThanTwoDevs;4;0;0;0;0;false;true
rev_57c91-3f736;moreThanTwoDevs;3;0;0;0;0;false;false
rev_50111-00f45;twoDevs;2;0;0;0;0;false;false
rev_b0ed1-86a84;twoDevs;2;0;0;0;0;false;false
rev_9c5a1-90919;moreThanTwoDevs;7;1;0;1;0;true;false
rev_fd2ed-a00c6;oneDev;1;0;0;0;0;false;false
rev_014c9-a00c6;moreThanTwoDevs;7;0;0;0;0;false;false
rev_44a44-49a20;twoDevs;2;0;0;0;0;false;false
rev_c7695-e040e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4c918-ad7b7;twoDevs;2;0;0;0;0;false;false
rev_d6cc0-4dfc9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9d3af-4e521;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8e043-da918;moreThanTwoDevs;4;0;0;0;0;false;false
rev_29233-52f85;moreThanTwoDevs;4;5;1;0;0;true;false
rev_52f85-aabeb;twoDevs;2;0;0;0;0;false;false
rev_63ade-c3989;twoDevs;2;0;0;0;0;false;false
rev_56c38-2261c;twoDevs;2;0;0;0;0;false;false
rev_dd123-87f5f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ab79a-372f8;twoDevs;2;0;0;0;0;false;false
rev_616b8-63ae2;twoDevs;2;0;0;0;0;false;false
rev_a9ac0-970db;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b715d-8c96a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1a715-455fb;moreThanTwoDevs;10;16;1;1;0;true;true
rev_e4df8-fdf93;twoDevs;2;0;0;0;0;false;false
rev_dd12c-ee92e;twoDevs;2;0;0;0;0;false;false
rev_270b3-a710c;twoDevs;2;0;0;0;0;false;false
rev_6384a-a710c;twoDevs;2;1;0;0;0;true;false
rev_c18b9-f5f04;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c17c6-cd4c2;twoDevs;2;0;0;0;0;false;false
rev_08eb2-fcc22;twoDevs;2;0;0;0;0;false;false
rev_6b0c0-66ea0;twoDevs;2;0;0;0;0;false;false
rev_83a37-f0e01;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b7c20-c244c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8b210-4a0af;twoDevs;2;0;0;0;0;false;false
rev_f9934-e3be1;twoDevs;2;0;0;0;0;false;false
rev_20752-62516;twoDevs;2;0;0;0;0;false;false
rev_78434-17ba7;twoDevs;2;0;0;0;0;false;false
rev_747b0-d8aef;twoDevs;2;0;0;0;0;false;false
rev_3d383-3fdda;twoDevs;2;0;0;0;0;false;false
rev_2a34b-fa2fa;twoDevs;2;0;0;0;0;false;false
rev_a56fb-d4573;twoDevs;2;0;0;0;0;false;false
rev_4ac11-5f17e;twoDevs;2;0;0;0;0;false;false
rev_2ee14-af114;twoDevs;2;0;0;0;0;false;false
rev_2fbef-e70f2;twoDevs;2;0;0;0;0;false;false
rev_e70f2-8de17;twoDevs;2;0;0;0;0;false;false
