name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_76441-1cb3c;oneDev;1;18;0;0;0;true;false
rev_83fce-63d67;twoDevs;2;0;0;0;0;false;false
rev_560f6-7b4d2;moreThanTwoDevs;3;0;0;0;0;false;true
rev_718b6-84798;moreThanTwoDevs;3;0;0;0;0;false;false
rev_65844-fbb3e;oneDev;1;0;0;0;0;false;false
rev_89653-9e74d;oneDev;1;0;0;0;0;false;false
rev_923f7-a326b;oneDev;1;0;0;0;0;false;false
rev_3a7a9-8589d;oneDev;1;0;0;0;0;false;false
rev_af64c-0ed00;oneDev;1;0;0;0;0;false;false
rev_84256-bb23c;twoDevs;2;0;0;0;0;false;false
rev_c2488-58485;twoDevs;2;0;0;0;0;false;false
rev_e938a-8842a;oneDev;1;0;0;0;0;false;false
rev_dd754-97a09;twoDevs;2;0;0;0;0;false;false
rev_e7ce6-1b789;twoDevs;2;0;0;0;0;false;false
rev_78ffe-6c84e;twoDevs;2;0;0;0;0;false;false
rev_ea579-506b1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ce15a-e9606;twoDevs;2;0;0;0;0;false;false
rev_f1e33-6d8e3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f7a60-6b3c7;oneDev;1;0;0;0;0;false;false
rev_9db51-d0a77;oneDev;1;0;0;0;0;false;false
rev_279f5-519c9;twoDevs;2;0;0;0;0;false;false
rev_613c5-95d3f;oneDev;1;0;0;0;0;false;false
rev_21106-b5660;oneDev;1;0;0;0;0;false;false
rev_a96b5-fb102;twoDevs;2;0;0;0;0;false;false
rev_55d7a-d7cba;twoDevs;2;0;0;0;0;false;false
rev_44e60-db746;twoDevs;2;0;0;0;0;false;false
rev_e2433-1f0b0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ca526-431b4;twoDevs;2;0;0;0;0;false;false
rev_e3a3a-4bf14;twoDevs;2;0;0;0;0;false;false
rev_5bed7-b81c2;twoDevs;2;0;0;0;0;false;false
rev_1ad78-d041c;oneDev;1;0;0;0;0;false;false
rev_c6e75-a4b97;oneDev;1;0;0;0;0;false;false
rev_9bb57-22f4e;oneDev;1;0;0;0;0;false;false
rev_da5c0-b4510;oneDev;1;5;5;5;5;true;false
rev_1bca9-d415b;twoDevs;2;0;0;0;0;false;false
rev_9b599-b699c;twoDevs;2;0;0;0;0;false;false
rev_9c058-ec373;oneDev;1;0;0;0;0;false;false
rev_01bca-41179;oneDev;1;0;0;0;0;false;false
rev_41179-dcba9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dcba9-9676c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_afeba-624c5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1548c-6494e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7cd73-fde04;oneDev;1;0;0;0;0;false;false
rev_973b4-a9d62;oneDev;1;0;0;0;0;false;false
rev_dbe76-483cf;oneDev;1;0;0;0;0;false;true
rev_a9b19-03c12;oneDev;1;0;0;0;0;false;false
rev_ed723-a89f5;twoDevs;2;0;0;0;0;false;false
rev_6c664-4e26f;twoDevs;2;0;0;0;0;false;false
rev_5a1e2-275ae;twoDevs;2;0;0;0;0;false;false
rev_cf8bb-37059;twoDevs;2;0;0;0;0;false;false
rev_9ab0b-14bf8;oneDev;1;2;0;1;0;true;false
rev_2e9b0-6b4b6;twoDevs;2;0;0;0;0;false;false
rev_eaa5f-f3934;twoDevs;2;0;0;0;0;false;false
rev_ed9c5-62e78;twoDevs;2;0;0;0;0;false;false
rev_884a5-4c238;twoDevs;2;0;0;0;0;false;false
rev_8534a-3e1ad;twoDevs;2;0;0;0;0;false;false
rev_614fc-d1138;twoDevs;2;0;0;0;0;false;false
rev_42eeb-1321d;oneDev;1;0;0;0;0;false;false
rev_2f712-d4f3a;twoDevs;2;0;0;0;0;false;false
rev_5c5b9-39cfa;twoDevs;2;0;0;0;0;false;false
rev_5cb10-636a4;twoDevs;2;0;0;0;0;false;true
rev_2bca5-70c0e;moreThanTwoDevs;7;2;0;0;0;true;false
rev_2bca5-f86f6;oneDev;1;0;0;0;0;false;false
rev_87929-21c12;twoDevs;2;0;0;0;0;false;false
rev_36590-3ce32;twoDevs;2;0;0;0;0;false;false
rev_61316-26bbb;twoDevs;2;0;0;0;0;false;false
rev_9dd2a-97511;oneDev;1;0;0;0;0;false;false
rev_555c0-63fae;twoDevs;2;0;0;0;0;false;false
rev_da07a-7c24f;oneDev;1;0;0;0;0;false;false
rev_35a9e-c6770;oneDev;1;0;0;0;0;false;false
rev_201c2-4f0f9;twoDevs;2;0;0;0;0;false;false
rev_9119c-a6053;twoDevs;2;0;0;0;0;false;false
rev_07bb4-04e48;oneDev;1;0;0;0;0;false;false
rev_327b7-a7a84;oneDev;1;0;0;0;0;false;true
rev_e3093-2b1e0;twoDevs;2;0;0;0;0;false;false
rev_df982-db023;twoDevs;2;0;0;0;0;false;false
rev_29629-aa7aa;twoDevs;2;0;0;0;0;false;false
