name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_8a7ce-16e80;oneDev;1;0;0;0;0;false;false
rev_4bdc1-69bb6;oneDev;1;0;0;0;0;false;false
rev_de829-5cc4f;twoDevs;2;0;0;0;0;false;false
rev_409e8-4e129;twoDevs;2;0;0;0;0;false;false
rev_f9fb3-ead10;twoDevs;2;0;0;0;0;false;false
rev_8052d-81f67;twoDevs;2;0;0;0;0;false;false
rev_04432-1c555;twoDevs;2;0;0;0;0;false;false
rev_92840-c8fe1;twoDevs;2;0;0;0;0;false;false
rev_898d3-0a2ab;twoDevs;2;0;0;0;0;false;false
rev_ba12d-31233;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dd897-e431e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a195a-67849;twoDevs;2;0;0;0;0;false;false
rev_21c28-9f9d9;twoDevs;2;0;0;0;0;false;false
rev_15da3-1b0f9;twoDevs;2;0;0;0;0;false;false
rev_f43de-ba950;twoDevs;2;0;0;0;0;false;false
rev_148b9-a2c40;twoDevs;2;0;0;0;0;false;false
rev_6a144-27ed4;twoDevs;2;0;0;0;0;false;false
rev_cb59e-1a73a;twoDevs;2;0;0;0;0;false;false
rev_c6a12-a64b0;twoDevs;2;0;0;0;0;false;false
rev_26e44-265d9;twoDevs;2;0;0;0;0;false;false
rev_265d9-9942f;moreThanTwoDevs;3;0;0;0;0;false;true
rev_95ffe-d8161;twoDevs;2;0;0;0;0;false;true
rev_ae6ba-6755f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6755f-39d8b;twoDevs;2;0;0;0;0;false;true
rev_788c7-ad2eb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c700c-ad9e6;twoDevs;2;0;0;0;0;false;false
rev_107c2-dbca4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dbca4-896c7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_06de8-513c3;twoDevs;2;0;0;0;0;false;false
rev_d297a-234d6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3d20a-7442e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2b842-62ba6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_73e7a-22496;twoDevs;2;0;0;0;0;false;false
rev_abecc-ca65d;twoDevs;2;0;0;0;0;false;false
rev_28e38-aa753;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e0c8f-6185d;oneDev;1;0;0;0;0;false;false
rev_5d65b-48d3f;oneDev;1;0;0;0;0;false;false
rev_908ee-9218c;oneDev;1;0;0;0;0;false;false
rev_fac87-71adc;oneDev;1;0;0;0;0;false;false
rev_0d563-6416b;oneDev;1;0;0;0;0;false;false
rev_55af9-ad176;twoDevs;2;0;0;0;0;false;false
rev_8cc4a-5c67e;twoDevs;2;0;0;0;0;false;false
rev_811d3-d5a02;twoDevs;2;0;0;0;0;false;false
rev_1d3fd-9c24b;twoDevs;2;8;0;3;0;true;true
rev_da77a-051a8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_cc315-e8e7b;twoDevs;2;0;0;0;0;false;false
rev_6299f-c19d7;twoDevs;2;0;0;0;0;false;false
rev_df7e8-4ba8b;twoDevs;2;0;0;0;0;false;false
rev_4604d-448e3;oneDev;1;0;0;0;0;false;false
rev_faef9-70196;twoDevs;2;0;0;0;0;false;false
rev_66a0c-c4b9f;twoDevs;2;0;0;0;0;false;false
rev_89c65-62913;moreThanTwoDevs;3;0;0;0;0;false;true
rev_ccd56-a4e96;moreThanTwoDevs;3;0;0;0;0;false;true
rev_ccd56-a4e96;moreThanTwoDevs;3;0;0;0;0;false;true
rev_bf779-20153;twoDevs;2;0;0;0;0;false;false
rev_db743-fb919;twoDevs;2;0;0;0;0;false;false
rev_b0c80-b1cc2;twoDevs;2;0;0;0;0;false;false
rev_dfd1d-62029;twoDevs;2;0;0;0;0;false;false
rev_1af9c-3b7b3;twoDevs;2;0;0;0;0;false;false
rev_94226-50e7f;twoDevs;2;0;0;0;0;false;false
rev_4d720-0d10a;twoDevs;2;0;0;0;0;false;false
rev_1a87b-3f5a8;twoDevs;2;0;0;0;0;false;false
rev_934ff-f6b52;twoDevs;2;0;0;0;0;false;false
rev_0a04b-a08bc;twoDevs;2;0;0;0;0;false;false
rev_716bf-7e368;moreThanTwoDevs;5;0;0;0;0;false;false
rev_d0b8e-41448;moreThanTwoDevs;5;0;0;0;0;false;false
rev_aaf56-f0f53;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d45ab-38332;twoDevs;2;0;0;0;0;false;false
rev_5615a-cc092;twoDevs;2;0;0;0;0;false;false
rev_57253-80b69;twoDevs;2;0;0;0;0;false;false
rev_ef29d-c597e;moreThanTwoDevs;15;0;0;0;0;false;false
rev_54be2-be20d;twoDevs;2;0;0;0;0;false;false
rev_6e0d6-28e1e;twoDevs;2;0;0;0;0;false;false
rev_10c3f-45c59;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c4ed5-ac50e;twoDevs;2;0;0;0;0;false;false
rev_e3901-7d080;twoDevs;2;0;0;0;0;false;false
rev_3cbc9-a38f5;twoDevs;2;0;0;0;0;false;false
rev_a4b85-d325b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_96369-e9509;twoDevs;2;0;0;0;0;false;false
rev_93cfc-ef600;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3b602-9ca30;twoDevs;2;0;0;0;0;false;false
rev_54b4a-5802f;twoDevs;2;0;0;0;0;false;false
