name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_7c28a-bc662;oneDev;1;0;0;0;0;false;false
rev_bf5b2-eaa8f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f0fc1-01e0a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_24787-7775c;twoDevs;2;0;0;0;0;false;false
rev_636c6-73c19;twoDevs;2;0;0;0;0;false;false
rev_d8533-d3e27;twoDevs;2;0;0;0;0;false;false
rev_1720d-5c74a;twoDevs;2;0;0;0;0;false;false
rev_f012a-97f1e;twoDevs;2;0;0;0;0;false;false
rev_dd4b5-bd923;twoDevs;2;0;0;0;0;false;false
rev_d904c-b4bca;twoDevs;2;0;0;0;0;false;false
rev_7b5e4-5cdbf;twoDevs;2;0;0;0;0;false;false
rev_49859-ac1e9;twoDevs;2;0;0;0;0;false;false
rev_bd6a3-2d970;twoDevs;2;0;0;0;0;false;false
rev_db57a-38d85;twoDevs;2;0;0;0;0;false;false
rev_836da-0a8e9;twoDevs;2;0;0;0;0;false;false
rev_0da4f-ef717;twoDevs;2;0;0;0;0;false;false
rev_8e4c5-e46b7;twoDevs;2;0;0;0;0;false;false
rev_f0023-e4033;twoDevs;2;0;0;0;0;false;false
rev_505b1-d66ce;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a476f-6dad2;twoDevs;2;0;0;0;0;false;false
rev_67467-7e651;twoDevs;2;0;0;0;0;false;false
rev_42c8c-67440;twoDevs;2;0;0;0;0;false;false
rev_33760-6d581;moreThanTwoDevs;3;0;0;0;0;false;false
rev_44c7a-028fc;twoDevs;2;0;0;0;0;false;false
rev_b31a8-3a4d5;twoDevs;2;0;0;0;0;false;false
rev_8c80f-74f72;twoDevs;2;0;0;0;0;false;false
rev_0e61f-02eae;twoDevs;2;0;0;0;0;false;false
rev_3ef79-27d79;twoDevs;2;0;0;0;0;false;false
rev_e724a-6264e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2dd02-278a3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9dec3-a4662;moreThanTwoDevs;4;0;0;0;0;false;false
rev_40da3-b6dc6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ab1d2-f221f;twoDevs;2;0;0;0;0;false;false
rev_646bf-28c17;twoDevs;2;0;0;0;0;false;false
rev_40bb1-39dbc;twoDevs;2;0;0;0;0;false;false
rev_c14b3-9e40c;twoDevs;2;0;0;0;0;false;false
rev_ed1f6-16111;moreThanTwoDevs;4;0;0;0;0;false;false
rev_16111-d9bc5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0b2f8-f4993;twoDevs;2;0;0;0;0;false;false
rev_f4993-101cd;twoDevs;2;0;0;0;0;false;false
rev_e0dab-80bbe;twoDevs;2;0;0;0;0;false;false
rev_88525-d10eb;twoDevs;2;0;0;0;0;false;false
rev_0aa62-c7ed3;twoDevs;2;0;0;0;0;false;false
rev_cea9f-fbc83;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e723b-4f426;twoDevs;2;0;0;0;0;false;false
rev_95043-bebb9;twoDevs;2;0;0;0;0;false;false
rev_8d472-8b227;twoDevs;2;0;0;0;0;false;false
