name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_b82bb-cf66a;twoDevs;2;4;0;2;0;true;false
rev_6c22a-65e6e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_65e6e-6c22a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a9c24-25732;twoDevs;2;0;0;0;0;false;false
rev_6916c-a0fb4;twoDevs;2;0;0;0;0;false;false
rev_d3238-fb35d;twoDevs;2;0;0;0;0;false;false
rev_edc69-2de10;oneDev;1;0;0;0;0;false;false
rev_3fde2-0dedf;twoDevs;2;3;2;1;0;true;false
rev_61626-0ca65;twoDevs;2;3;3;0;0;true;false
rev_9a78c-d0136;twoDevs;2;0;0;0;0;false;false
rev_647f1-b76dd;twoDevs;2;0;0;0;0;false;false
rev_6028f-2b423;twoDevs;2;0;0;0;0;false;false
rev_f4b1c-29330;twoDevs;2;0;0;0;0;false;false
rev_6d649-100ba;twoDevs;2;0;0;0;0;false;false
rev_d5160-8fd39;twoDevs;2;0;0;0;0;false;false
rev_9deeb-bf2db;twoDevs;2;0;0;0;0;false;false
rev_1716c-6934f;twoDevs;2;0;0;0;0;false;false
rev_61546-7499d;twoDevs;2;0;0;0;0;false;false
rev_14c9d-83a82;twoDevs;2;0;0;0;0;false;false
rev_bc5f4-8848c;twoDevs;2;0;0;0;0;false;false
rev_f718e-573ca;twoDevs;2;0;0;0;0;false;false
rev_fce5a-28e6e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f9410-c2661;moreThanTwoDevs;3;0;0;0;0;false;false
rev_08243-e3ddc;moreThanTwoDevs;3;10;2;1;0;true;false
rev_90080-f3b61;moreThanTwoDevs;3;0;0;0;0;false;false
rev_64885-4e6c8;moreThanTwoDevs;3;6;0;3;0;true;false
rev_9650f-7fde0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2745d-1945d;twoDevs;2;4;2;1;0;true;false
rev_6d808-a61fc;twoDevs;2;0;0;0;0;false;false
rev_fbcf0-08e57;twoDevs;2;0;0;0;0;false;false
rev_ee486-b56c0;twoDevs;2;0;0;0;0;false;false
rev_76336-667f8;twoDevs;2;4;3;1;1;true;false
rev_597bd-1e028;twoDevs;2;0;0;0;0;false;false
rev_84557-5c6ec;twoDevs;2;2;0;2;0;true;false
rev_5c6ec-84557;twoDevs;2;2;0;2;0;true;false
rev_dd9e1-1fe61;twoDevs;2;0;0;0;0;false;false
rev_b3555-3464b;moreThanTwoDevs;3;1;0;0;0;true;true
rev_3061d-f36ac;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8aef3-bdce9;twoDevs;2;0;0;0;0;false;false
rev_3df06-f1065;moreThanTwoDevs;5;17;10;11;7;true;false
rev_91ed2-ca19f;twoDevs;2;10;6;6;4;true;false
rev_c887c-db6a2;twoDevs;2;0;0;0;0;false;false
rev_be433-71b84;twoDevs;2;1;1;1;1;true;false
rev_7e33e-530a4;twoDevs;2;0;0;0;0;false;false
rev_f2cd9-8cee8;twoDevs;2;0;0;0;0;false;false
rev_fa904-6bd97;twoDevs;2;1;0;0;0;true;false
rev_34421-79886;twoDevs;2;0;0;0;0;false;false
rev_3b03b-17009;twoDevs;2;0;0;0;0;false;false
rev_f910c-33ba2;twoDevs;2;0;0;0;0;false;false
rev_5024a-5e2ea;oneDev;1;3;3;0;0;true;false
rev_fc2e3-214a1;twoDevs;2;0;0;0;0;false;false
rev_b2d7e-3fb5a;twoDevs;2;0;0;0;0;false;false
rev_5bd9b-b54fb;twoDevs;2;1;0;0;0;true;false
rev_752ad-848ff;twoDevs;2;0;0;0;0;false;false
rev_a1fb7-a1cf2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7fbf6-19488;twoDevs;2;0;0;0;0;false;false
rev_a456d-29a6f;twoDevs;2;0;0;0;0;false;false
rev_51ea3-11297;twoDevs;2;0;0;0;0;false;false
rev_4b01e-ef5f3;twoDevs;2;0;0;0;0;false;false
rev_e0d21-93f88;twoDevs;2;0;0;0;0;false;false
rev_15747-7c07d;twoDevs;2;0;0;0;0;false;false
rev_1198f-00ebb;twoDevs;2;0;0;0;0;false;false
rev_4d632-c373c;twoDevs;2;0;0;0;0;false;false
rev_ff1fa-1d927;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6b73a-e0110;twoDevs;2;0;0;0;0;false;false
rev_0c654-75009;twoDevs;2;4;4;1;1;true;false
rev_f529b-75009;twoDevs;2;0;0;0;0;false;false
rev_b6546-1b9d1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c2b25-5992b;twoDevs;2;0;0;0;0;false;false
rev_a54c4-a1b7e;twoDevs;2;0;0;0;0;false;false
rev_22935-6aa4d;twoDevs;2;1;0;1;0;true;false
rev_79329-d45d0;twoDevs;2;3;0;0;0;true;false
rev_8ed04-c5bee;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dd016-c5bee;twoDevs;2;0;0;0;0;false;false
rev_60eb3-87b75;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d2ddc-aae3a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1e63b-236e2;moreThanTwoDevs;3;2;0;1;0;true;false
rev_d3959-c3541;moreThanTwoDevs;3;0;0;0;0;false;false
