name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_70388-1d51f;twoDevs;2;0;0;0;0;false;false
rev_240b2-d1a11;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a47ef-1f350;twoDevs;2;0;0;0;0;false;false
rev_37850-490f8;twoDevs;2;0;0;0;0;false;false
rev_2747f-38222;twoDevs;2;11;10;1;0;true;true
rev_38222-2693a;twoDevs;2;0;0;0;0;false;false
rev_3a486-03f9c;twoDevs;2;0;0;0;0;false;false
rev_a4dd0-0e29a;oneDev;1;0;0;0;0;false;false
rev_0e29a-fe88f;twoDevs;2;0;0;0;0;false;false
rev_77cbb-a6a04;twoDevs;2;0;0;0;0;false;false
rev_b4a8d-f59dc;twoDevs;2;0;0;0;0;false;false
rev_f59dc-1a630;oneDev;1;0;0;0;0;false;false
rev_1e75a-b32cb;oneDev;1;0;0;0;0;false;false
rev_b2a85-3a486;twoDevs;2;0;0;0;0;false;false
rev_4ce8b-d9535;moreThanTwoDevs;4;5;4;0;0;true;false
rev_24d24-4fe1e;oneDev;1;0;0;0;0;false;false
rev_4fe1e-baa81;oneDev;1;0;0;0;0;false;false
rev_dd127-84947;twoDevs;2;0;0;0;0;false;false
rev_7a110-5124b;twoDevs;2;0;0;0;0;false;false
rev_f7402-dc0e3;twoDevs;2;0;0;0;0;false;false
rev_d9535-35d57;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8b3b3-79b83;oneDev;1;0;0;0;0;false;false
rev_ad741-9f42e;oneDev;1;0;0;0;0;false;false
rev_b7487-1d293;twoDevs;2;0;0;0;0;false;false
rev_dd31b-e8544;twoDevs;2;0;0;0;0;false;false
rev_32e74-09877;oneDev;1;0;0;0;0;false;false
rev_004bd-b438f;twoDevs;2;0;0;0;0;false;false
rev_f3900-14198;twoDevs;2;0;0;0;0;false;false
rev_363d3-14198;twoDevs;2;1;0;1;0;true;true
rev_14198-ba01e;twoDevs;2;0;0;0;0;false;false
rev_a971c-684fb;moreThanTwoDevs;3;3;2;3;2;true;false
rev_684fb-fc6ba;twoDevs;2;0;0;0;0;false;false
rev_bae10-4c023;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4c023-6dd4a;twoDevs;2;0;0;0;0;false;false
rev_e0fe3-f51d0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f51d0-edbba;twoDevs;2;0;0;0;0;false;false
rev_0b0c3-71ac2;moreThanTwoDevs;5;0;0;0;0;false;false
rev_71ac2-c1468;twoDevs;2;0;0;0;0;false;false
rev_004bd-005f0;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e0aa5-1d06c;oneDev;1;0;0;0;0;false;false
rev_5e260-6ef89;oneDev;1;0;0;0;0;false;false
rev_7f5db-ffbab;twoDevs;2;0;0;0;0;false;false
rev_30703-54693;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e8367-30b18;moreThanTwoDevs;3;0;0;0;0;false;false
rev_53059-ac212;oneDev;1;0;0;0;0;false;false
rev_ac212-e77cd;oneDev;1;0;0;0;0;false;false
rev_54693-d0627;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1d4b9-5367c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5367c-cbf21;moreThanTwoDevs;3;0;0;0;0;false;false
rev_22270-299f5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_299f5-1f09a;twoDevs;2;0;0;0;0;false;false
rev_457db-186bd;moreThanTwoDevs;4;1;0;0;0;true;false
rev_186bd-a4e3c;twoDevs;2;0;0;0;0;false;false
rev_6fa3b-4a1c1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4a1c1-a6e64;twoDevs;2;0;0;0;0;false;false
rev_08dae-797dc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e6fb4-5a3f3;twoDevs;2;3;3;0;0;true;false
rev_d3e93-d5c7c;moreThanTwoDevs;6;1;1;1;1;true;false
rev_d5c7c-e4ec8;twoDevs;2;0;0;0;0;false;false
rev_c401f-76f3b;moreThanTwoDevs;6;0;0;0;0;false;true
rev_ae39b-08fe2;oneDev;1;0;0;0;0;false;false
rev_d9926-97aba;moreThanTwoDevs;6;0;0;0;0;false;false
rev_1457d-15b4a;twoDevs;2;0;0;0;0;false;false
rev_15b4a-b7c3f;twoDevs;2;0;0;0;0;false;false
rev_f9f0d-64a6a;twoDevs;2;0;0;0;0;false;false
rev_a71cd-15274;twoDevs;2;0;0;0;0;false;false
rev_15274-74158;twoDevs;2;0;0;0;0;false;false
rev_3b9ef-8a94e;oneDev;1;0;0;0;0;false;false
rev_c3192-80e33;oneDev;1;0;0;0;0;false;false
rev_98010-e8932;oneDev;1;0;0;0;0;false;false
rev_e8932-3b7bd;oneDev;1;0;0;0;0;false;false
rev_3b7bd-b8902;oneDev;1;0;0;0;0;false;false
rev_97aba-52115;moreThanTwoDevs;6;0;0;0;0;false;false
rev_a7694-806b2;oneDev;1;0;0;0;0;false;false
rev_eaa17-bfdcc;oneDev;1;0;0;0;0;false;false
rev_543f0-3c597;twoDevs;2;0;0;0;0;false;false
rev_83def-98a47;twoDevs;2;0;0;0;0;false;false
rev_97b70-c44ba;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c44ba-3c98d;twoDevs;2;0;0;0;0;false;false
rev_7f8f3-be445;oneDev;1;0;0;0;0;false;false
rev_af03a-5c017;oneDev;1;0;0;0;0;false;false
rev_057e8-0c836;twoDevs;2;0;0;0;0;false;false
rev_ab02a-7438f;twoDevs;2;0;0;0;0;false;false
rev_7438f-29a4b;oneDev;1;0;0;0;0;false;false
rev_e505a-95130;oneDev;1;0;0;0;0;false;false
rev_2263d-0ce46;oneDev;1;0;0;0;0;false;false
rev_2f148-e35ab;oneDev;1;0;0;0;0;false;false
rev_80717-3a92e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b4cd3-7566d;oneDev;1;0;0;0;0;false;false
