name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_ecca1-e3fc7;moreThanTwoDevs;3;127;40;0;0;true;true
rev_390ac-6e503;oneDev;1;0;0;0;0;false;false
rev_6e503-7de87;twoDevs;2;0;0;0;0;false;false
rev_2279f-4493f;twoDevs;2;0;0;0;0;false;false
rev_1541c-3b85a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c6f30-90316;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f1387-7dc7b;twoDevs;2;0;0;0;0;false;false
rev_71d3d-3b060;twoDevs;2;0;0;0;0;false;false
rev_e0003-64cf6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b24b2-fec35;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5e0a4-2c59a;moreThanTwoDevs;5;0;0;0;0;false;false
rev_98c64-f1387;moreThanTwoDevs;3;0;0;0;0;false;false
rev_95e13-50888;moreThanTwoDevs;5;0;0;0;0;false;false
rev_7fb95-389e7;moreThanTwoDevs;6;0;0;0;0;false;false
rev_fef77-01de9;twoDevs;2;10;0;7;0;true;false
rev_c91a3-8fb45;twoDevs;2;5;1;4;1;true;false
rev_9852a-1f7ab;moreThanTwoDevs;6;0;0;0;0;false;false
rev_af947-8a61c;twoDevs;2;0;0;0;0;false;false
rev_31cff-ebdc4;moreThanTwoDevs;6;1;0;1;0;true;false
rev_0bdd3-47707;oneDev;1;0;0;0;0;false;false
rev_1e9a1-d1b2d;moreThanTwoDevs;3;0;0;0;0;false;true
rev_c0fb6-d1b2d;oneDev;1;0;0;0;0;false;false
rev_33046-7e975;oneDev;1;0;0;0;0;false;false
rev_e1bea-67fc9;oneDev;1;0;0;0;0;false;false
rev_b91fc-5525d;oneDev;1;0;0;0;0;false;false
rev_4e4eb-b09bb;twoDevs;2;1;1;0;0;true;false
rev_b6e88-349c3;moreThanTwoDevs;6;0;0;0;0;false;true
rev_8cb1d-0cb02;twoDevs;2;0;0;0;0;false;false
rev_5fc35-10913;twoDevs;2;0;0;0;0;false;false
rev_e6e6c-e0f16;twoDevs;2;0;0;0;0;false;true
rev_e0f16-6e90b;oneDev;1;0;0;0;0;false;false
rev_78bf5-6e90b;twoDevs;2;0;0;0;0;false;true
rev_70d42-0795b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_22a9a-1e5f8;moreThanTwoDevs;5;1;0;1;0;true;true
rev_579d7-273ba;twoDevs;2;0;0;0;0;false;false
rev_914c5-66b47;twoDevs;2;0;0;0;0;false;false
rev_f87b8-f8376;moreThanTwoDevs;9;0;0;0;0;false;false
rev_ab42d-03029;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f3b18-3aa1e;moreThanTwoDevs;3;11;11;2;2;true;true
rev_fcb41-f2c4e;twoDevs;2;0;0;0;0;false;false
rev_de3fb-84c20;moreThanTwoDevs;8;0;0;0;0;false;false
rev_84c20-f45ea;twoDevs;2;0;0;0;0;false;false
rev_2c0cb-e8f73;twoDevs;2;0;0;0;0;false;false
rev_e8f73-5aa23;moreThanTwoDevs;3;0;0;0;0;false;false
