name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_14734-74ff6;twoDevs;2;0;0;0;0;false;false
rev_927fc-dea9c;moreThanTwoDevs;4;1;0;0;0;true;true
rev_6b1ed-77786;oneDev;1;0;0;0;0;false;false
rev_08860-27370;moreThanTwoDevs;3;0;0;0;0;false;true
rev_e0c2c-db325;moreThanTwoDevs;3;0;0;0;0;false;false
rev_96640-96c92;twoDevs;2;0;0;0;0;false;true
rev_312c8-debaa;moreThanTwoDevs;3;0;0;0;0;false;false
rev_02c29-2ea6b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b7704-247c7;moreThanTwoDevs;4;1;0;0;0;true;true
rev_7d5cf-ee727;moreThanTwoDevs;5;0;0;0;0;false;false
rev_9e545-3b8f3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4296f-ebe4b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_49ed0-985fc;twoDevs;2;0;0;0;0;false;false
rev_30163-4467b;moreThanTwoDevs;3;4;0;2;0;true;true
rev_90e6b-a5b1b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_930a8-89014;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6a681-0c8dc;twoDevs;2;0;0;0;0;false;false
rev_96f97-fe11e;twoDevs;2;0;0;0;0;false;false
rev_6527e-dc1ec;twoDevs;2;0;0;0;0;false;false
rev_21153-22e73;twoDevs;2;0;0;0;0;false;false
rev_b79bb-91ac1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_76d38-726be;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3f42b-e4f48;twoDevs;2;0;0;0;0;false;false
rev_cc2e9-a8046;twoDevs;2;0;0;0;0;false;false
rev_9b8a7-a0bfb;twoDevs;2;0;0;0;0;false;false
rev_849a7-58422;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b3f0d-c9914;twoDevs;2;1;0;0;0;true;false
rev_1f12c-557e9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_56b93-33275;twoDevs;2;0;0;0;0;false;false
rev_e6727-5c280;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a0532-2cd82;moreThanTwoDevs;5;0;0;0;0;false;false
rev_fa7f4-78498;twoDevs;2;0;0;0;0;false;false
rev_bb1e3-92ebc;moreThanTwoDevs;6;0;0;0;0;false;false
rev_9611c-860ce;moreThanTwoDevs;3;0;0;0;0;false;false
rev_06a2a-e76d6;twoDevs;2;0;0;0;0;false;false
rev_f5df4-bd741;moreThanTwoDevs;3;0;0;0;0;false;false
rev_982a8-e7fd6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2637f-c429e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dfbac-18867;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6f028-77071;moreThanTwoDevs;3;0;0;0;0;false;false
rev_18695-c4d6f;moreThanTwoDevs;6;0;0;0;0;false;false
rev_b029d-241e8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_858f6-45168;twoDevs;2;0;0;0;0;false;false
rev_e7f5d-9947a;oneDev;1;0;0;0;0;false;false
rev_e51c4-14f36;oneDev;1;0;0;0;0;false;false
rev_93239-e52ea;oneDev;1;0;0;0;0;false;false
rev_bf738-0b033;oneDev;1;0;0;0;0;false;false
rev_b05f5-547ee;oneDev;1;0;0;0;0;false;false
rev_0e149-27681;oneDev;1;0;0;0;0;false;false
rev_8c94b-b9ffd;oneDev;1;0;0;0;0;false;false
rev_be181-a8f6d;oneDev;1;0;0;0;0;false;false
rev_77980-ecd5d;twoDevs;2;0;0;0;0;false;false
rev_44524-798f1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_16965-d1ee8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f7981-3e534;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5c369-0cb02;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5e6ef-2e79f;twoDevs;2;0;0;0;0;false;false
rev_fa0ed-00b35;twoDevs;2;0;0;0;0;false;false
rev_d1117-7786d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a890d-bf89b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c780d-3bd40;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f5bd9-dc24e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_02889-24b34;moreThanTwoDevs;7;2;0;0;0;true;false
rev_8944f-985aa;twoDevs;2;0;0;0;0;false;false
rev_b825c-63ba4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_da90e-5b2a5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_803fd-8f218;twoDevs;2;0;0;0;0;false;false
rev_7665a-613f3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_467ab-193fa;twoDevs;2;0;0;0;0;false;false
rev_f2ffc-4d934;twoDevs;2;0;0;0;0;false;false
rev_5f14f-28381;twoDevs;2;0;0;0;0;false;false
rev_07cf3-008aa;twoDevs;2;0;0;0;0;false;false
