name;oneDev_with_Conflict;oneDev_without_Conflict;twoDevs_with_Conflict;twoDevs_without_Conflict;moreThanTwoDevs_with_Conflict;moreThanTwoDevs_without_Conflict
andlytics;1;213;7;174;11;157
ActionBarSherlock;1;7;0;32;7;78
Activiti;1;4;5;245;39;575
ambrose;1;1;4;53;6;71
AndEngine;3;46;4;29;1;32
Android-Universal-Image-Loader;6;17;1;56;2;9
AntennaPod;2;54;5;353;18;354
antlr4;8;123;18;304;31;179
astyanax;0;19;0;60;8;90
async-http-client;1;13;4;131;6;112
auto;0;48;0;50;8;51
aws-sdk-java;0;0;1;15;5;125
blueprints;0;2;13;66;20;123
BroadleafCommerce;1;28;6;124;230;672
Bukkit;0;1;1;3;2;12
cgeo;2;93;9;375;169;1480
clojure;0;3;0;10;5;22
closure-compiler;0;4;0;25;0;280
cloudify;0;1;1;50;12;148
commafeed;0;9;2;199;1;36
commons;0;4;0;79;4;121
Conversations;11;24;5;303;11;160
cucumber-jvm;2;20;25;166;66;281
curator;7;76;5;73;7;77
cxf;0;5;2;50;3;70
databus;0;1;1;21;2;39
droidparts;3;86;0;16;0;0
dropwizard;2;37;4;308;12;462
druid;1;10;10;364;99;1577
dynjs;0;52;2;91;3;49
elasticsearch;1;97;2;478;155;2003
elasticsearch-river-mongodb;1;3;1;64;1;51
elephant-bird;0;5;1;105;26;233
Essentials;0;7;3;194;16;352
eureka;2;99;4;154;20;112
fastjson;13;15;3;45;2;131
FBReaderJ;126;471;40;522;23;128
fitnesse;5;45;33;246;89;392
flyway;1;10;6;68;13;68
gephi;0;17;29;138;31;112
ghostdriver;1;2;1;47;2;43
gocd;1;58;1;295;31;883
go-lang-idea-plugin;0;0;0;60;6;115
gradle;2;12;14;66;264;617
graylog2-server;7;59;24;292;101;589
groovy-core;1;26;3;163;61;420
hbc;0;0;2;31;1;37
hector;0;8;11;162;40;183
HikariCP;8;38;9;101;7;26
hive;0;0;0;2;103;139
HoloEverywhere;0;8;3;49;4;18
Hystrix;0;6;1;377;8;151
infinispan;0;0;0;1;4;18
jackson-databind;1;35;1;71;103;294
javaee7-samples;0;8;0;65;2;132
jedis;2;22;2;89;44;182
jenkins;3;68;9;322;230;2026
jitsi;0;6;0;10;9;69
jmxtrans;1;36;1;135;5;97
jphp;0;17;1;50;3;24
jsoup;0;2;0;28;4;41
junit;2;8;5;121;34;215
k-9;0;26;5;151;29;355
kotlin;2;5;6;134;45;396
Kundera;2;17;36;309;54;203
ListViewAnimations;1;37;4;48;5;22
logback;1;27;2;106;5;80
lombok;2;3;5;65;10;44
lucene-solr;0;3;0;46;89;238
mct;1;38;4;71;10;74
metrics;1;38;1;129;13;120
mockito;0;13;2;65;8;110
mongo-hadoop;2;5;7;26;5;47
mongo-java-driver;3;12;11;61;10;92
mustache.java;8;15;3;41;4;52
netty;0;8;1;75;10;75
nokogiri;0;33;7;110;40;201
nutz;0;12;7;233;9;187
okhttp;0;0;1;426;3;783
OpenRefine;0;9;5;22;8;76
opentripplanner;2;8;9;188;82;445
orientdb;5;13;24;568;131;1011
Osmand;3;20;8;279;105;4391
Rajawali;2;38;6;157;16;160
reactor;1;15;3;50;14;125
realm-java;8;147;39;465;269;1041
retrofit;0;6;0;206;3;311
roboguice;3;15;5;16;16;25
robolectric;0;60;6;398;84;1191
robospice;0;17;2;18;6;28
robotium;0;4;0;60;1;3
robovm;4;24;1;194;5;170
rootbeer1;8;22;3;23;7;43
rstudio;10;136;30;668;67;929
rundeck;8;342;9;163;23;114
RxJava;0;45;3;454;32;880
scribe-java;1;1;0;58;1;30
ShowcaseView;0;19;3;37;6;31
sikuli;0;29;3;42;3;23
SimianArmy;11;62;2;82;7;54
SlidingMenu;0;2;0;28;1;20
sms-backup-plus;3;5;5;40;1;17
solo;0;21;5;116;12;47
Spout;0;5;7;205;34;603
spring-boot;0;10;0;354;232;664
StickyListHeaders;0;0;0;47;3;47
storm;8;36;10;151;190;1294
tachyon;7;85;16;626;364;1987
titan;4;11;26;220;49;178
todo.txt-android;0;0;0;35;3;18
voldemort;1;20;16;147;46;257
vrapper;0;13;1;83;2;39
webbit;7;10;5;34;4;45
worldedit;0;11;0;39;10;24
yuicompressor;0;7;0;31;6;40
