name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_7c28a-bc662;oneDev;1;0;0;0;0;false;false
rev_bf5b2-eaa8f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_87cfa-9d48f;twoDevs;2;0;0;0;0;false;false
rev_d297b-ef6dd;twoDevs;2;0;0;0;0;false;false
rev_74cad-35944;twoDevs;2;0;0;0;0;false;false
rev_0bf46-60e43;twoDevs;2;0;0;0;0;false;false
rev_b66c0-686fa;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d9543-e9d98;moreThanTwoDevs;3;0;0;0;0;false;false
rev_984cb-d2b7f;twoDevs;2;0;0;0;0;false;false
rev_aba4c-e5d9d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_48cd6-6e0a1;twoDevs;2;0;0;0;0;false;false
rev_fa1af-0b96a;twoDevs;2;0;0;0;0;false;false
rev_88b72-72b3c;twoDevs;2;0;0;0;0;false;false
rev_a2a21-b61b7;twoDevs;2;0;0;0;0;false;false
rev_e0ef8-1726e;twoDevs;2;0;0;0;0;false;false
rev_24c06-b764e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b764e-38ad5;twoDevs;2;0;0;0;0;false;false
rev_ca750-c7f55;moreThanTwoDevs;3;0;0;0;0;false;false
rev_377ef-71dd1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_778b3-d68f1;twoDevs;2;0;0;0;0;false;false
rev_5b613-868ca;twoDevs;2;0;0;0;0;false;false
rev_d6223-b22ab;twoDevs;2;0;0;0;0;false;false
rev_413c5-16c96;twoDevs;2;0;0;0;0;false;false
rev_9fc64-22178;twoDevs;2;0;0;0;0;false;false
rev_b63f5-90a6e;twoDevs;2;0;0;0;0;false;false
rev_d0e0f-77464;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e69b5-caf3a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1f48a-e52bc;twoDevs;2;0;0;0;0;false;false
rev_6e587-321f3;twoDevs;2;0;0;0;0;false;false
rev_d25a0-5c28d;twoDevs;2;0;0;0;0;false;false
rev_0b38d-6c7fc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_61bcf-dee6f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8501c-66fda;moreThanTwoDevs;4;0;0;0;0;false;false
rev_971e7-e3571;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b35e7-18fbf;twoDevs;2;0;0;0;0;false;false
rev_33857-ee001;twoDevs;2;0;0;0;0;false;false
rev_4a244-112c8;twoDevs;2;0;0;0;0;false;false
rev_aca52-a7d0e;twoDevs;2;0;0;0;0;false;false
rev_23f04-75b97;moreThanTwoDevs;8;0;0;0;0;false;false
rev_23f04-a69f4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3dfae-4880e;twoDevs;2;0;0;0;0;false;false
rev_b80d5-9bce3;twoDevs;2;0;0;0;0;false;false
rev_01d82-21add;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c4e1b-1292a;twoDevs;2;0;0;0;0;false;false
rev_73fec-f0e8c;twoDevs;2;0;0;0;0;false;false
rev_f0e8c-5ef9e;twoDevs;2;0;0;0;0;false;false
