name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_46f2e-d7bca;oneDev;1;0;0;0;0;false;false
rev_a5439-06710;oneDev;1;0;0;0;0;false;false
rev_ff9ea-b2467;oneDev;1;0;0;0;0;false;false
rev_aa913-24337;oneDev;1;0;0;0;0;false;false
rev_fe9e3-42dce;twoDevs;2;0;0;0;0;false;false
rev_e492a-ada3c;twoDevs;2;0;0;0;0;false;false
rev_12efc-2155a;twoDevs;2;0;0;0;0;false;false
rev_2cce1-c1ae6;twoDevs;2;0;0;0;0;false;false
rev_742b1-a1c6c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2ac2d-8df2a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_01d7d-111ab;twoDevs;2;0;0;0;0;false;false
rev_206a7-4c950;twoDevs;2;0;0;0;0;false;false
rev_e567c-b3b44;twoDevs;2;0;0;0;0;false;false
rev_36a44-6157d;moreThanTwoDevs;8;0;0;0;0;false;true
rev_36a44-c65ab;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5ea71-16ecc;twoDevs;2;0;0;0;0;false;false
rev_09b15-71093;twoDevs;2;0;0;0;0;false;false
rev_13484-72424;moreThanTwoDevs;8;12;0;3;0;true;true
rev_13484-dd5ac;moreThanTwoDevs;8;0;0;0;0;false;false
rev_72424-4c111;twoDevs;2;0;0;0;0;false;false
rev_b9ba1-78076;moreThanTwoDevs;4;0;0;0;0;false;true
rev_fde87-6f495;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e2413-93d38;twoDevs;2;0;0;0;0;false;false
rev_07390-53082;oneDev;1;0;0;0;0;false;false
rev_53082-d32ae;oneDev;1;0;0;0;0;false;false
rev_5b4bf-9b191;oneDev;1;0;0;0;0;false;false
rev_14378-67ddc;twoDevs;2;0;0;0;0;false;false
rev_0a360-ca072;twoDevs;2;4;0;0;0;true;false
rev_ca072-9c957;oneDev;1;0;0;0;0;false;false
rev_098a6-33084;moreThanTwoDevs;11;0;0;0;0;false;true
rev_098a6-c1bf9;twoDevs;2;0;0;0;0;false;false
rev_746bc-98dae;oneDev;1;0;0;0;0;false;false
rev_eedc4-a64a7;oneDev;1;0;0;0;0;false;false
rev_89c0e-0d6b3;oneDev;1;0;0;0;0;false;false
rev_54876-9fcf5;oneDev;1;0;0;0;0;false;false
rev_43b2a-4f8c2;oneDev;1;0;0;0;0;false;false
rev_5fad1-9c7a9;oneDev;1;0;0;0;0;false;false
rev_63fbe-1c79f;oneDev;1;0;0;0;0;false;false
rev_c5a90-77ab3;twoDevs;2;0;0;0;0;false;false
rev_38ba9-8c852;twoDevs;2;0;0;0;0;false;false
rev_caac0-d6f6a;twoDevs;2;0;0;0;0;false;false
rev_60ef4-76aae;twoDevs;2;0;0;0;0;false;false
rev_ad5d8-48585;twoDevs;2;0;0;0;0;false;false
rev_f91f1-a48f0;oneDev;1;0;0;0;0;false;false
rev_3940f-1bf7e;oneDev;1;0;0;0;0;false;false
rev_fe055-ca329;oneDev;1;0;0;0;0;false;false
rev_eef10-9747c;oneDev;1;0;0;0;0;false;false
rev_2a260-d58f0;oneDev;1;0;0;0;0;false;false
rev_35ce4-3e8be;oneDev;1;0;0;0;0;false;false
rev_07395-33a7f;oneDev;1;0;0;0;0;false;false
rev_07b7e-6cb0b;oneDev;1;0;0;0;0;false;false
rev_c924a-73ffc;twoDevs;2;0;0;0;0;false;false
rev_a081a-babcd;twoDevs;2;0;0;0;0;false;false
rev_22c0e-412a5;twoDevs;2;0;0;0;0;false;false
rev_6cf08-3f172;twoDevs;2;0;0;0;0;false;false
rev_63f30-5d387;twoDevs;2;0;0;0;0;false;false
rev_21110-54795;twoDevs;2;0;0;0;0;false;false
rev_a19e4-e9a37;moreThanTwoDevs;3;0;0;0;0;false;false
rev_aa983-a4970;oneDev;1;0;0;0;0;false;false
rev_6a494-794cd;twoDevs;2;0;0;0;0;false;false
rev_6fa2b-6c52c;twoDevs;2;0;0;0;0;false;false
rev_50ee1-ecfa8;twoDevs;2;0;0;0;0;false;false
rev_4e936-cc5bb;oneDev;1;0;0;0;0;false;false
rev_ca3df-61b1f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_5a70e-5ba34;oneDev;1;0;0;0;0;false;false
rev_93736-c811f;moreThanTwoDevs;6;0;0;0;0;false;false
rev_c7b1d-2a631;moreThanTwoDevs;3;0;0;0;0;false;false
rev_66877-cee3b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_12e11-cbce2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6eb83-c8b58;twoDevs;2;0;0;0;0;false;false
rev_67079-246ab;twoDevs;2;0;0;0;0;false;false
rev_42aa4-5f500;twoDevs;2;0;0;0;0;false;false
rev_5f500-b6ec4;oneDev;1;0;0;0;0;false;false
rev_db75c-bb71d;oneDev;1;0;0;0;0;false;false
rev_877a6-e5502;twoDevs;2;0;0;0;0;false;false
rev_bb71d-8abee;oneDev;1;1;0;0;0;true;false
rev_1aac3-83a61;oneDev;1;0;0;0;0;false;false
rev_39eac-8653e;oneDev;1;2;0;0;0;true;false
rev_c7b8e-ee3d5;oneDev;1;0;0;0;0;false;false
rev_18e3a-63a22;oneDev;1;0;0;0;0;false;false
rev_63a22-5df00;oneDev;1;1;0;1;0;true;false
rev_38a5d-7ac9c;oneDev;1;0;0;0;0;false;false
rev_7ac9c-e3191;oneDev;1;0;0;0;0;false;false
rev_d5600-87207;oneDev;1;0;0;0;0;false;false
rev_0d369-60595;oneDev;1;1;0;0;0;true;false
rev_1b4aa-f3a72;oneDev;1;0;0;0;0;false;false
rev_e1ac9-4ddf1;oneDev;1;0;0;0;0;false;false
rev_1f185-cdf41;oneDev;1;1;0;1;0;true;false
rev_4ddf1-cdf41;oneDev;1;1;0;1;0;true;false
rev_a81d1-9cc3f;oneDev;1;0;0;0;0;false;false
rev_ba986-65898;oneDev;1;0;0;0;0;false;false
rev_9cc3f-65898;oneDev;1;0;0;0;0;false;false
rev_3c8fc-0ef71;oneDev;1;0;0;0;0;false;false
rev_46a19-86f46;oneDev;1;1;0;0;0;true;false
rev_617b1-ee3d5;twoDevs;2;0;0;0;0;false;false
rev_d9b3b-67079;twoDevs;2;0;0;0;0;false;false
