name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_73170-3c474;twoDevs;2;0;0;0;0;false;false
rev_66f0b-55aad;twoDevs;2;0;0;0;0;false;false
rev_3dc02-5a078;twoDevs;2;0;0;0;0;false;false
rev_03dce-6fc99;twoDevs;2;0;0;0;0;false;false
rev_02018-225cd;twoDevs;2;0;0;0;0;false;false
rev_c8901-41c59;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bd0b5-d2d61;oneDev;1;0;0;0;0;false;false
rev_57eb0-a17ec;twoDevs;2;0;0;0;0;false;false
rev_e0a3c-bdda5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d62e4-62ae5;twoDevs;2;0;0;0;0;false;false
rev_e44c1-72e2c;moreThanTwoDevs;4;1;0;0;0;true;false
rev_39cdf-47d38;twoDevs;2;0;0;0;0;false;false
rev_98240-770fa;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6c843-7d964;moreThanTwoDevs;3;0;0;0;0;false;false
rev_68b71-5d438;twoDevs;2;0;0;0;0;false;false
rev_219a6-47082;twoDevs;2;0;0;0;0;false;false
rev_2c915-e622a;oneDev;1;0;0;0;0;false;false
rev_cab90-53a75;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2102c-c4d28;twoDevs;2;0;0;0;0;false;false
rev_5731f-78dae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_67dd8-8412d;twoDevs;2;0;0;0;0;false;false
rev_9da50-1e155;twoDevs;2;0;0;0;0;false;false
rev_6ebe1-4da2e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_04107-f2c39;moreThanTwoDevs;4;0;0;0;0;false;false
rev_eacf1-18ea1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d11bf-0f4b3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c3a47-f727d;twoDevs;2;0;0;0;0;false;false
rev_01777-af5ba;twoDevs;2;0;0;0;0;false;false
rev_a65b6-442e9;twoDevs;2;0;0;0;0;false;false
rev_0e22f-5921d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_71d05-caa72;twoDevs;2;0;0;0;0;false;false
rev_193c6-6ca0c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fa64e-130cc;twoDevs;2;0;0;0;0;false;false
rev_3d5e9-93417;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a1710-b8823;twoDevs;2;0;0;0;0;false;false
rev_6467f-1c1d8;twoDevs;2;0;0;0;0;false;false
rev_7753b-a3650;moreThanTwoDevs;6;0;0;0;0;false;false
rev_3cbbf-42461;moreThanTwoDevs;5;0;0;0;0;false;false
rev_46d5d-fb504;moreThanTwoDevs;5;0;0;0;0;false;false
rev_9b3d8-ca7b8;twoDevs;2;0;0;0;0;false;false
rev_f47ea-c6cc3;twoDevs;2;0;0;0;0;false;false
rev_f47ea-078d3;twoDevs;2;0;0;0;0;false;false
rev_ad605-f328b;twoDevs;2;0;0;0;0;false;false
rev_b0556-cfe65;twoDevs;2;0;0;0;0;false;false
rev_8fcae-e6884;twoDevs;2;0;0;0;0;false;false
rev_6681d-eefb9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7ebe3-4eeff;twoDevs;2;0;0;0;0;false;false
rev_f278e-b38ac;moreThanTwoDevs;3;0;0;0;0;false;false
rev_38761-bd701;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d9294-d188a;twoDevs;2;0;0;0;0;false;false
rev_bd2b2-08ff0;moreThanTwoDevs;3;0;0;0;0;false;false
