name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_53310-0a367;oneDev;1;0;0;0;0;false;false
rev_06f92-18ef9;twoDevs;2;0;0;0;0;false;true
rev_4e917-22a65;twoDevs;2;0;0;0;0;false;false
rev_9a55a-0d345;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a8b42-851cc;moreThanTwoDevs;5;1;0;0;0;true;false
rev_34260-18965;moreThanTwoDevs;3;0;0;0;0;false;false
rev_20129-973f9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b08db-1592f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ecbd0-9da5b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0a09b-ea77d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_90b15-df46f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b5026-a6df6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a6df6-3676f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ae455-0e02b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d4f10-672fe;twoDevs;2;0;0;0;0;false;false
rev_86c5e-912d7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_caf15-1c50c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d4f10-7731a;moreThanTwoDevs;6;0;0;0;0;false;false
rev_0eddb-5fd78;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a7b05-e4c9b;moreThanTwoDevs;6;0;0;0;0;false;false
rev_22890-8de1c;twoDevs;2;0;0;0;0;false;false
rev_e4c9b-5f333;twoDevs;2;0;0;0;0;false;false
rev_5065f-5efa2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_beb5d-6429f;twoDevs;2;0;0;0;0;false;false
rev_8cb0c-f686b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_5e60d-1d9fc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_59eef-7e15f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9d814-5ba23;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6d21e-2f8cc;oneDev;1;0;0;0;0;false;false
rev_05df8-aadd4;moreThanTwoDevs;3;0;0;0;0;false;false
