name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_606e8-5cff5;twoDevs;2;0;0;0;0;false;false
rev_b37f1-759a7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a28ba-6ee36;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fdba4-8e2ed;moreThanTwoDevs;3;0;0;0;0;false;false
rev_79d1e-b0b2c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6899e-39c02;moreThanTwoDevs;3;0;0;0;0;false;false
rev_28a1f-3f019;twoDevs;2;0;0;0;0;false;false
rev_28a2f-af834;twoDevs;2;0;0;0;0;false;false
rev_ae34b-d21a3;twoDevs;2;0;0;0;0;false;false
rev_13e99-9150d;twoDevs;2;0;0;0;0;false;false
rev_c8564-b45da;twoDevs;2;0;0;0;0;false;false
rev_8e699-cfe04;twoDevs;2;0;0;0;0;false;false
rev_bccdd-ef663;twoDevs;2;0;0;0;0;false;false
rev_14a0c-cd056;twoDevs;2;0;0;0;0;false;false
rev_5509f-3dbc2;twoDevs;2;0;0;0;0;false;false
rev_8fd4d-5e9ae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_44916-c1bfe;twoDevs;2;0;0;0;0;false;false
rev_d009e-c3fad;moreThanTwoDevs;3;0;0;0;0;false;false
rev_43e66-50d40;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9bd04-30c50;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3b961-f6747;moreThanTwoDevs;3;0;0;0;0;false;false
rev_09542-75e60;twoDevs;2;0;0;0;0;false;false
rev_01d96-19cb3;moreThanTwoDevs;3;1;0;0;0;true;false
rev_a6d4a-ef5b9;twoDevs;2;0;0;0;0;false;false
rev_e003e-e763d;twoDevs;2;0;0;0;0;false;false
rev_d8d98-f03b1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bf971-ee2fe;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2dde5-a21f8;moreThanTwoDevs;3;1;0;0;0;true;false
rev_b0a09-9915b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4a585-84474;moreThanTwoDevs;5;66;13;9;2;true;true
rev_d1f42-eee0c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eedff-2ebde;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1706c-8772b;twoDevs;2;0;0;0;0;false;false
rev_00549-776f2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_77cf3-77b79;twoDevs;2;0;0;0;0;false;false
rev_0e133-12b1e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_62be7-29f25;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d7f6f-b616a;twoDevs;2;0;0;0;0;false;false
rev_33c02-321d6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7b9ee-5e90a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_0d26c-95407;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1362d-535bd;twoDevs;2;0;0;0;0;false;false
rev_51aae-228bf;twoDevs;2;0;0;0;0;false;false
rev_b726d-95bb3;twoDevs;2;0;0;0;0;false;false
rev_f1239-0ce8e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0ce8e-0d39c;twoDevs;2;0;0;0;0;false;false
rev_4243d-10b1a;twoDevs;2;0;0;0;0;false;false
rev_7bb70-dc930;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ce437-cd806;twoDevs;2;0;0;0;0;false;false
rev_f82e2-367c0;twoDevs;2;0;0;0;0;false;false
rev_c263a-e147d;twoDevs;2;0;0;0;0;false;false
rev_9da40-ad008;moreThanTwoDevs;5;0;0;0;0;false;false
rev_d58c6-71503;twoDevs;2;0;0;0;0;false;false
rev_3cd1c-0129f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_84bfd-5b000;twoDevs;2;0;0;0;0;false;false
rev_6e13d-02776;twoDevs;2;0;0;0;0;false;false
rev_37eb2-b1297;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7e3f0-78f52;twoDevs;2;0;0;0;0;false;false
rev_51730-3d4c4;twoDevs;2;0;0;0;0;false;false
rev_716e3-ef686;twoDevs;2;0;0;0;0;false;false
rev_5ee17-8a658;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2634f-86186;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2e663-71231;moreThanTwoDevs;3;0;0;0;0;false;false
rev_805bd-96f8a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dc20a-0aa0e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e9b10-f9d58;moreThanTwoDevs;3;0;0;0;0;false;false
rev_afa75-ca90c;twoDevs;2;0;0;0;0;false;false
rev_5b748-b93c0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_67061-a75a6;twoDevs;2;0;0;0;0;false;false
rev_0f1a9-6a467;twoDevs;2;0;0;0;0;false;false
rev_fdcb7-9c28b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_37eb2-41c6b;moreThanTwoDevs;12;0;0;0;0;false;false
rev_41c6b-1dc5a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d5cc8-6e7eb;twoDevs;2;0;0;0;0;false;false
rev_66f80-1fe16;moreThanTwoDevs;4;0;0;0;0;false;false
rev_03ed2-d0705;twoDevs;2;0;0;0;0;false;false
rev_d8bbd-00e37;twoDevs;2;0;0;0;0;false;false
rev_14112-d34d8;twoDevs;2;0;0;0;0;false;false
rev_60eec-baf9a;twoDevs;2;0;0;0;0;false;false
rev_6109e-1cf74;twoDevs;2;0;0;0;0;false;false
rev_3208d-750b4;twoDevs;2;0;0;0;0;false;false
rev_b0dda-6e6c8;twoDevs;2;0;0;0;0;false;false
rev_70145-05630;moreThanTwoDevs;3;0;0;0;0;false;false
