name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_4cc69-e3439;twoDevs;2;0;0;0;0;false;false
rev_9e36b-b9341;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c0d25-b2286;twoDevs;2;0;0;0;0;false;false
rev_2760a-8c885;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3bf34-2ec36;moreThanTwoDevs;3;0;0;0;0;false;false
rev_10f4c-56c65;moreThanTwoDevs;3;0;0;0;0;false;false
rev_09eca-4dc4a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_53891-35548;twoDevs;2;0;0;0;0;false;false
rev_a77fd-af2c0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_267ad-7eb7c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f88bc-ee5e0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ee5e0-f88bc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ee5e0-f88bc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d6d34-da322;moreThanTwoDevs;3;0;0;0;0;false;false
rev_da322-949bc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1fd4f-949bc;twoDevs;2;0;0;0;0;false;true
rev_9e7f2-1562d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1562d-dc01f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fa20a-9b338;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9b338-fa20a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_90aa3-1baaf;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1baaf-d8747;twoDevs;2;0;0;0;0;false;false
rev_f5c5a-8401b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_3b72c-8401b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_04d60-a7f4d;oneDev;1;0;0;0;0;false;false
rev_8401b-a7f4d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fe2f6-e94a9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2d69f-e94a9;oneDev;1;0;0;0;0;false;false
rev_e94a9-2d69f;oneDev;1;0;0;0;0;false;false
rev_3e854-69d31;oneDev;1;0;0;0;0;false;false
rev_2617c-541af;twoDevs;2;0;0;0;0;false;false
rev_541af-e1dca;twoDevs;2;0;0;0;0;false;false
rev_8adbd-9d1a7;twoDevs;2;0;0;0;0;false;false
rev_ad712-6bd31;oneDev;1;0;0;0;0;false;false
rev_e43dc-3b37d;moreThanTwoDevs;5;0;0;0;0;false;false
rev_3b37d-f9daa;oneDev;1;0;0;0;0;false;false
rev_1895b-46d46;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e10d7-1a219;oneDev;1;0;0;0;0;false;false
