name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_e90b3-1cc7a;oneDev;1;0;0;0;0;false;false
rev_3cefd-0a580;oneDev;1;0;0;0;0;false;false
rev_dfc3a-c9403;oneDev;1;0;0;0;0;false;false
rev_0a580-5cec4;twoDevs;2;0;0;0;0;false;false
rev_6fe8a-c47c0;twoDevs;2;0;0;0;0;false;false
rev_c09c8-894a7;twoDevs;2;0;0;0;0;false;false
rev_93408-5c79f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5c79f-0ec08;moreThanTwoDevs;3;0;0;0;0;false;false
rev_460e4-9c554;twoDevs;2;0;0;0;0;false;false
rev_cd3ad-46094;twoDevs;2;0;0;0;0;false;false
rev_f8285-9600a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8af1e-40b3b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_40b3b-62146;moreThanTwoDevs;3;0;0;0;0;false;false
rev_43dae-d06b8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_97ab2-146a9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2091f-7b672;moreThanTwoDevs;3;0;0;0;0;false;false
rev_93408-3d56d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3d56d-685cf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b44b0-28919;twoDevs;2;0;0;0;0;false;false
rev_9e192-f426e;moreThanTwoDevs;3;3;1;0;0;true;true
rev_f426e-82aac;twoDevs;2;0;0;0;0;false;false
rev_c098e-66e7e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c8f4f-725b1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_725b1-44c0c;twoDevs;2;0;0;0;0;false;false
rev_f0a85-c6fd8;twoDevs;2;0;0;0;0;false;false
rev_9b490-65bd5;twoDevs;2;0;0;0;0;false;false
rev_9792b-64217;twoDevs;2;0;0;0;0;false;false
rev_7287f-27806;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1a209-46d54;moreThanTwoDevs;3;2;0;0;0;true;false
