name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_fcacd-87376;twoDevs;2;0;0;0;0;false;false
rev_82980-c9fb3;twoDevs;2;0;0;0;0;false;false
rev_7c28a-bc662;oneDev;1;0;0;0;0;false;false
rev_ac47c-3625e;twoDevs;2;0;0;0;0;false;false
rev_4c90d-69691;twoDevs;2;0;0;0;0;false;false
rev_d712c-0de76;moreThanTwoDevs;3;0;0;0;0;false;false
rev_de38f-b26b4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5f959-ff6c2;twoDevs;2;0;0;0;0;false;false
rev_875c8-015f8;twoDevs;2;0;0;0;0;false;false
rev_9e6a1-24210;twoDevs;2;0;0;0;0;false;false
rev_a2aa9-025c2;twoDevs;2;0;0;0;0;false;false
rev_58a92-6b269;twoDevs;2;0;0;0;0;false;false
rev_e1e12-b8df5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e6ec3-6f647;twoDevs;2;0;0;0;0;false;false
rev_2ac2d-8df2a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bf5b2-eaa8f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_efad4-53adc;moreThanTwoDevs;14;0;0;0;0;false;true
rev_efad4-6e508;moreThanTwoDevs;4;0;0;0;0;false;false
rev_66d00-aca84;moreThanTwoDevs;3;0;0;0;0;false;false
rev_aca84-6d37d;moreThanTwoDevs;13;0;0;0;0;false;true
rev_3a466-a8ef6;moreThanTwoDevs;7;0;0;0;0;false;false
rev_80d8e-b607e;moreThanTwoDevs;17;0;0;0;0;false;false
rev_c2af3-71118;twoDevs;2;0;0;0;0;false;false
rev_9499a-8c16f;moreThanTwoDevs;17;0;0;0;0;false;false
rev_d5d2e-6bc4a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1d04e-835eb;twoDevs;2;0;0;0;0;false;false
rev_00105-ba7eb;moreThanTwoDevs;6;0;0;0;0;false;false
rev_0b09b-8d8f5;moreThanTwoDevs;13;0;0;0;0;false;false
rev_64d24-84370;moreThanTwoDevs;14;0;0;0;0;false;false
rev_2b2f2-ab017;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ddb0b-45690;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d3dfa-19599;moreThanTwoDevs;4;0;0;0;0;false;false
rev_44d2b-b25be;moreThanTwoDevs;4;0;0;0;0;false;false
rev_37833-497bc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3b06a-2e77d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6d958-15dff;twoDevs;2;0;0;0;0;false;false
rev_cc18f-12de5;twoDevs;2;0;0;0;0;false;false
rev_a10b2-8c71e;twoDevs;2;0;0;0;0;false;false
rev_a10b2-8c71e;twoDevs;2;0;0;0;0;false;false
rev_a3977-8c71e;twoDevs;2;0;0;0;0;false;false
rev_10859-8c71e;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8c71e-a1e1b;twoDevs;2;0;0;0;0;false;false
rev_bcd75-346f8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_00443-974e5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eac33-e943b;twoDevs;2;0;0;0;0;false;false
rev_f4e3e-a21d1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a21d1-4bc41;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2d363-aafa0;moreThanTwoDevs;6;0;0;0;0;false;false
rev_8b7a3-18658;oneDev;1;0;0;0;0;false;false
