name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_a85ff-264f8;oneDev;1;0;0;0;0;false;false
rev_999ba-b281e;oneDev;1;0;0;0;0;false;false
rev_a90ea-85b81;oneDev;1;0;0;0;0;false;false
rev_7f6fe-c0c55;oneDev;1;0;0;0;0;false;false
rev_3e9d0-05504;twoDevs;2;0;0;0;0;false;false
rev_9e853-d0963;oneDev;1;0;0;0;0;false;false
rev_caa99-d3b5e;oneDev;1;0;0;0;0;false;false
rev_7e86d-1c01e;twoDevs;2;0;0;0;0;false;false
rev_4e8d3-85128;oneDev;1;0;0;0;0;false;false
rev_6b0f8-c1d03;oneDev;1;0;0;0;0;false;false
rev_a4c9b-ea1ae;oneDev;1;0;0;0;0;false;false
rev_ee250-24da8;twoDevs;2;0;0;0;0;false;false
rev_f645f-c4b17;twoDevs;2;0;0;0;0;false;false
rev_37ac1-8e0ad;oneDev;1;0;0;0;0;false;false
rev_7c6c1-02653;oneDev;1;0;0;0;0;false;false
rev_bdaa2-8c579;oneDev;1;0;0;0;0;false;false
rev_62614-6aedf;oneDev;1;0;0;0;0;false;false
rev_3c8eb-802bc;twoDevs;2;0;0;0;0;false;false
rev_8b821-9194a;twoDevs;2;0;0;0;0;false;false
rev_dbaa1-e1559;twoDevs;2;0;0;0;0;false;false
rev_67c44-87385;twoDevs;2;0;0;0;0;false;false
rev_8b824-fa705;twoDevs;2;0;0;0;0;false;false
rev_e964a-e66d0;twoDevs;2;0;0;0;0;false;false
rev_d5c25-0023f;oneDev;1;0;0;0;0;false;false
rev_c3d7c-d9d22;oneDev;1;0;0;0;0;false;false
rev_21ca9-6d6e2;oneDev;1;0;0;0;0;false;false
rev_89c15-2df7f;oneDev;1;0;0;0;0;false;false
rev_2df7f-f3a61;oneDev;1;0;0;0;0;false;false
rev_642e2-d6302;oneDev;1;0;0;0;0;false;false
rev_822fe-f0e12;oneDev;1;0;0;0;0;false;false
rev_8acc7-fc9e4;oneDev;1;0;0;0;0;false;false
rev_b82d5-46091;oneDev;1;0;0;0;0;false;false
rev_72c77-39962;oneDev;1;0;0;0;0;false;false
rev_10883-b2bd9;oneDev;1;0;0;0;0;false;false
rev_5e34e-7187a;oneDev;1;0;0;0;0;false;false
rev_ec719-2cc2d;oneDev;1;0;0;0;0;false;false
rev_0ec5c-3f2e6;oneDev;1;0;0;0;0;false;false
rev_0520a-78f98;twoDevs;2;0;0;0;0;false;false
rev_ee724-8dec6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_58355-8fef1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_11bcc-e07c7;oneDev;1;0;0;0;0;false;false
rev_7e782-6c093;oneDev;1;0;0;0;0;false;false
rev_a43ec-b5c6b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_31896-f3682;twoDevs;2;0;0;0;0;false;false
rev_eb0ba-0e7a5;twoDevs;2;0;0;0;0;false;false
rev_8cebf-64141;oneDev;1;0;0;0;0;false;false
rev_0a6eb-54504;twoDevs;2;0;0;0;0;false;false
rev_07b12-8d48d;twoDevs;2;0;0;0;0;false;false
rev_37c2e-8d48d;twoDevs;2;0;0;0;0;false;false
rev_4e397-039ef;oneDev;1;0;0;0;0;false;false
rev_039ef-24b5c;oneDev;1;0;0;0;0;false;false
rev_71b2a-03302;oneDev;1;0;0;0;0;false;false
rev_0f97c-62f24;twoDevs;2;0;0;0;0;false;false
rev_1653c-d7a63;oneDev;1;0;0;0;0;false;false
rev_c5e32-8f1b6;oneDev;1;0;0;0;0;false;false
rev_3dc0c-a9185;oneDev;1;0;0;0;0;false;false
