name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_570c8-c0bbb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_61978-2f20f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9fe20-cb4c4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e6213-4d3f6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dc46d-82b5b;twoDevs;2;0;0;0;0;false;false
rev_0f625-2cda7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fd2b3-53847;twoDevs;2;0;0;0;0;false;false
rev_0a183-02003;moreThanTwoDevs;3;0;0;0;0;false;false
rev_96e7e-7e874;twoDevs;2;0;0;0;0;false;false
rev_8dc11-51bb7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_764b2-6bc50;twoDevs;2;0;0;0;0;false;false
rev_a3a2c-a875c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_50eeb-8cee0;twoDevs;2;0;0;0;0;false;false
rev_13f43-7fbb5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8ab73-df47d;twoDevs;2;0;0;0;0;false;false
rev_b7c8a-95825;moreThanTwoDevs;4;0;0;0;0;false;false
rev_65f66-c8b8e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a9a7e-25277;moreThanTwoDevs;3;0;0;0;0;false;false
rev_045c7-04172;twoDevs;2;0;0;0;0;false;false
rev_2491d-b9ca9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5d590-ef31f;moreThanTwoDevs;4;1;1;1;1;true;false
rev_c94e9-30eb6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f9ea4-0d067;moreThanTwoDevs;12;0;0;0;0;false;false
rev_18e99-0c799;moreThanTwoDevs;4;0;0;0;0;false;false
rev_495ff-bd325;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cd9ca-97e1d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_26bd0-b15a8;moreThanTwoDevs;6;0;0;0;0;false;false
rev_5577c-2c0b2;moreThanTwoDevs;8;0;0;0;0;false;false
rev_172c6-40ed4;moreThanTwoDevs;7;0;0;0;0;false;false
rev_76aa0-96a4c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_a48ec-6ec3d;moreThanTwoDevs;6;0;0;0;0;false;false
rev_68aa8-c8f9f;moreThanTwoDevs;13;0;0;0;0;false;false
rev_65357-e74b8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e00eb-efcef;moreThanTwoDevs;15;1;0;0;0;true;false
rev_f07ab-346f0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_179d8-88884;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c87d3-7ee02;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0eefc-d5edc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6837d-45d05;moreThanTwoDevs;6;0;0;0;0;false;false
rev_8deb4-8736d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ee9d2-228a3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_24d1a-4a190;moreThanTwoDevs;13;1;0;1;0;true;false
rev_c76e5-f9d63;twoDevs;2;1;0;0;0;true;false
rev_257dd-7ab10;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a405a-03864;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bafac-a86dd;moreThanTwoDevs;5;0;0;0;0;false;false
rev_69c99-d9613;moreThanTwoDevs;6;0;0;0;0;false;false
rev_9fb66-1d872;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7e7e5-badd1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4a67b-3d0ed;moreThanTwoDevs;7;0;0;0;0;false;false
rev_4c10a-642ed;moreThanTwoDevs;7;0;0;0;0;false;false
rev_0c9ce-6b3ec;moreThanTwoDevs;6;2;0;0;0;true;false
rev_0c9ce-273f0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1c30e-eb645;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a3c75-8d5ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_066ac-215a7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7a99f-ca214;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e27bc-14d65;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cf834-071bc;moreThanTwoDevs;6;0;0;0;0;false;false
rev_cf210-1b4ed;moreThanTwoDevs;3;0;0;0;0;false;false
rev_59afd-e9009;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2491f-8e377;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fee2e-3f661;moreThanTwoDevs;6;0;0;0;0;false;false
rev_26498-0f6fe;moreThanTwoDevs;5;0;0;0;0;false;false
rev_c4d15-96051;moreThanTwoDevs;3;0;0;0;0;false;false
rev_07f51-acf42;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e925b-6b749;moreThanTwoDevs;36;0;0;0;0;false;false
rev_ca8d1-c1798;moreThanTwoDevs;6;0;0;0;0;false;false
rev_01d58-8ce7f;moreThanTwoDevs;10;0;0;0;0;false;false
rev_248ef-43e0e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8f0ce-a0f1e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c7cd9-2e369;twoDevs;2;0;0;0;0;false;false
rev_99bde-6b3f4;moreThanTwoDevs;11;1;0;1;0;true;false
rev_9ba23-75a34;twoDevs;2;0;0;0;0;false;false
rev_42d77-940f5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_04ea7-30b3d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ca649-72096;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7ebd5-36418;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d3f9d-5b6d8;moreThanTwoDevs;5;0;0;0;0;false;false
rev_b4fc0-04ad4;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e8984-9ad20;moreThanTwoDevs;10;0;0;0;0;false;false
rev_70c81-05f00;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6f22e-59b06;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d1356-14a06;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a190a-fcbae;twoDevs;2;0;0;0;0;false;false
rev_6e0d6-cafd1;twoDevs;2;0;0;0;0;false;false
rev_cafd1-68791;moreThanTwoDevs;9;0;0;0;0;false;false
rev_38ffb-1c1f8;moreThanTwoDevs;5;0;0;0;0;false;false
rev_3c42a-b50e2;moreThanTwoDevs;6;0;0;0;0;false;false
rev_4ee6a-d300a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bb9e0-8e860;moreThanTwoDevs;4;0;0;0;0;false;false
rev_dd74a-973eb;moreThanTwoDevs;5;0;0;0;0;false;false
rev_83b94-dc260;moreThanTwoDevs;3;0;0;0;0;false;false
rev_028da-df984;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a0e90-bec61;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8e89d-e8182;moreThanTwoDevs;3;0;0;0;0;false;false
rev_15d2f-fb892;moreThanTwoDevs;3;0;0;0;0;false;false
rev_65a29-39124;moreThanTwoDevs;7;0;0;0;0;false;false
rev_b433c-3464d;twoDevs;2;0;0;0;0;false;false
rev_0d08b-c9955;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ead54-4f391;moreThanTwoDevs;5;0;0;0;0;false;false
rev_fa4d0-f4c90;moreThanTwoDevs;4;0;0;0;0;false;false
rev_42d25-1613b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_3cb27-7d249;moreThanTwoDevs;8;0;0;0;0;false;false
rev_f7ce7-aad7d;moreThanTwoDevs;5;0;0;0;0;false;false
rev_110c9-b115a;moreThanTwoDevs;18;0;0;0;0;false;false
rev_42d25-1d39b;moreThanTwoDevs;9;0;0;0;0;false;false
