name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_3d24a-8e8be;twoDevs;2;0;0;0;0;false;false
rev_62e28-b4243;twoDevs;2;0;0;0;0;false;false
rev_8f19a-4112a;oneDev;1;0;0;0;0;false;false
rev_12e45-e806f;twoDevs;2;0;0;0;0;false;false
rev_0fb31-08bcb;twoDevs;2;0;0;0;0;false;false
rev_f9f3c-7dcb0;twoDevs;2;0;0;0;0;false;false
rev_ac6d5-b547d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4993d-6082e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1026d-f3839;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6d70a-f8b6e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_0fc52-37925;moreThanTwoDevs;3;0;0;0;0;false;false
rev_83ca0-aa438;twoDevs;2;0;0;0;0;false;false
rev_09a48-90507;twoDevs;2;0;0;0;0;false;false
rev_90507-396f9;moreThanTwoDevs;3;3;0;0;0;true;false
rev_96421-24165;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7a432-d7f03;moreThanTwoDevs;7;0;0;0;0;false;false
rev_d7f03-5f8ae;twoDevs;2;0;0;0;0;false;false
rev_16dbf-5b682;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8e9b6-87bdb;moreThanTwoDevs;7;0;0;0;0;false;false
rev_c2ef2-5af13;moreThanTwoDevs;4;2;2;2;2;true;false
rev_83883-3695d;moreThanTwoDevs;6;0;0;0;0;false;false
rev_2265f-b3b5b;twoDevs;2;0;0;0;0;false;false
rev_0d127-b3b5b;twoDevs;2;0;0;0;0;false;false
rev_00b63-42e29;twoDevs;2;0;0;0;0;false;false
rev_5c1fe-c0379;twoDevs;2;23;2;3;0;true;false
rev_87b67-7bfe6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_01c53-1dac7;moreThanTwoDevs;3;28;7;0;0;true;false
rev_508e8-706f8;twoDevs;2;11;11;4;4;true;false
rev_b9782-571c3;twoDevs;2;0;0;0;0;false;false
rev_ca6dc-64909;twoDevs;2;0;0;0;0;false;false
rev_c8a4a-08b76;twoDevs;2;0;0;0;0;false;false
rev_ffc14-14993;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a8ceb-27852;moreThanTwoDevs;3;0;0;0;0;false;false
rev_652d9-dc187;moreThanTwoDevs;3;0;0;0;0;false;false
rev_60775-fef5f;twoDevs;2;0;0;0;0;false;false
rev_70e72-dd430;twoDevs;2;0;0;0;0;false;false
rev_a2516-846f8;twoDevs;2;0;0;0;0;false;false
rev_a1db0-6a622;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a1269-c1067;twoDevs;2;0;0;0;0;false;false
rev_ae592-65108;twoDevs;2;0;0;0;0;false;false
rev_2e1fe-d05e9;twoDevs;2;0;0;0;0;false;false
rev_d099b-dd90a;moreThanTwoDevs;5;0;0;0;0;false;false
rev_1e0be-1cd75;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0dcad-17760;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9da7f-5f345;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e2b89-bf930;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6e434-c8ca0;moreThanTwoDevs;7;0;0;0;0;false;false
rev_829bd-30e12;moreThanTwoDevs;7;0;0;0;0;false;false
rev_69802-69098;twoDevs;2;0;0;0;0;false;false
rev_ca5c5-dfec0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8565f-aa612;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4168d-660ca;moreThanTwoDevs;8;2;2;0;0;true;false
rev_da3a4-713c3;twoDevs;2;0;0;0;0;false;false
rev_2e1c3-8c0d1;moreThanTwoDevs;6;1;0;1;0;true;false
rev_bab5c-cc8f7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a1879-b1360;moreThanTwoDevs;3;0;0;0;0;false;false
rev_234c3-7ad6f;twoDevs;2;5;5;4;4;true;false
rev_dbfb3-5b53f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_277a3-1c2b4;moreThanTwoDevs;7;0;0;0;0;false;true
rev_51887-c1e1d;twoDevs;2;0;0;0;0;false;false
rev_a6caa-cb226;twoDevs;2;0;0;0;0;false;false
rev_d95fd-10cbf;moreThanTwoDevs;5;0;0;0;0;false;false
rev_0a06d-2e16f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b93c0-94228;moreThanTwoDevs;3;1;0;0;0;true;false
rev_56cef-e6326;twoDevs;2;0;0;0;0;false;false
rev_e4e44-16559;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3c5f9-182cb;twoDevs;2;0;0;0;0;false;false
rev_1fd78-7eacd;twoDevs;2;3;0;0;0;true;false
rev_9e017-f9afb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ef9bd-7efb5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ace2e-332f4;moreThanTwoDevs;4;12;6;0;0;true;false
rev_4777b-2f724;twoDevs;2;0;0;0;0;false;false
rev_7a3ec-8f185;twoDevs;2;0;0;0;0;false;false
rev_858e9-6abca;twoDevs;2;0;0;0;0;false;false
rev_95ca0-180e4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2edfa-6d564;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f72f6-6d2de;twoDevs;2;11;9;6;5;true;false
rev_e5c02-3b465;twoDevs;2;0;0;0;0;false;false
rev_f3623-b08c0;twoDevs;2;0;0;0;0;false;false
rev_d23aa-9d395;twoDevs;2;0;0;0;0;false;false
rev_8dec5-5c9dd;twoDevs;2;0;0;0;0;false;false
rev_5fc2d-b30c0;twoDevs;2;0;0;0;0;false;false
rev_cb5c9-6339d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_55458-adcfc;twoDevs;2;0;0;0;0;false;false
rev_0fb7a-23e10;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b0bc7-409a5;twoDevs;2;0;0;0;0;false;false
rev_07faf-3a18d;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e3f50-77a7f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_77a7f-e3f50;moreThanTwoDevs;4;0;0;0;0;false;false
rev_91792-8b227;moreThanTwoDevs;3;0;0;0;0;false;false
rev_01c39-3b407;moreThanTwoDevs;3;0;0;0;0;false;false
rev_45910-fc494;moreThanTwoDevs;6;0;0;0;0;false;false
rev_17955-57d5b;moreThanTwoDevs;7;0;0;0;0;false;false
rev_3afed-a0540;moreThanTwoDevs;5;0;0;0;0;false;false
rev_6de4d-5378c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8c2d8-a12cc;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e976b-a12cc;moreThanTwoDevs;4;0;0;0;0;false;false
rev_866af-c7c21;twoDevs;2;0;0;0;0;false;false
rev_a1366-a9d14;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a9d14-7a4af;twoDevs;2;0;0;0;0;false;false
rev_b4f3d-8347b;twoDevs;2;0;0;0;0;false;false
rev_55511-eed83;moreThanTwoDevs;4;0;0;0;0;false;false
rev_84438-777f9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e8ee2-e9def;twoDevs;2;0;0;0;0;false;false
rev_8e4bb-b8e32;twoDevs;2;0;0;0;0;false;false
rev_092c4-28c39;moreThanTwoDevs;4;0;0;0;0;false;false
rev_59d9b-9dc03;moreThanTwoDevs;4;0;0;0;0;false;false
rev_0f057-0dc08;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3cbdf-b7927;moreThanTwoDevs;3;0;0;0;0;false;false
rev_08514-676de;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f2f8c-e7eb9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_58615-e016e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9ed50-b769e;moreThanTwoDevs;5;3;3;3;3;true;false
rev_665db-0d5eb;moreThanTwoDevs;5;0;0;0;0;false;false
rev_720b1-a8654;moreThanTwoDevs;4;0;0;0;0;false;false
rev_31861-04e60;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e15c3-40555;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7ff36-3df60;moreThanTwoDevs;3;0;0;0;0;false;false
rev_38a29-f10cc;twoDevs;2;0;0;0;0;false;false
rev_38a29-d64df;moreThanTwoDevs;4;0;0;0;0;false;false
rev_0e308-d5276;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2158f-a5a87;moreThanTwoDevs;5;0;0;0;0;false;false
rev_fcd34-ef948;moreThanTwoDevs;3;0;0;0;0;false;false
rev_851cc-97b0d;moreThanTwoDevs;8;0;0;0;0;false;false
rev_1d1b0-1f107;moreThanTwoDevs;3;0;0;0;0;false;false
rev_74e1c-96173;moreThanTwoDevs;4;0;0;0;0;false;true
rev_008ce-46b02;twoDevs;2;0;0;0;0;false;false
rev_f2d38-ca64c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3f5f9-1a5bc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_16999-952b0;moreThanTwoDevs;4;1;0;0;0;true;true
rev_4e4c0-b98bb;moreThanTwoDevs;4;0;0;0;0;false;true
rev_e61d7-2b022;moreThanTwoDevs;3;0;0;0;0;false;false
rev_29eb4-19780;moreThanTwoDevs;6;0;0;0;0;false;false
rev_081d7-2ef42;twoDevs;2;0;0;0;0;false;false
rev_58507-a6aad;moreThanTwoDevs;7;0;0;0;0;false;false
rev_ec13a-efbb2;moreThanTwoDevs;3;6;0;0;0;true;false
rev_3d426-e49ba;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5b0ea-ca557;moreThanTwoDevs;6;0;0;0;0;false;false
rev_67cb8-4130e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4130e-dee98;moreThanTwoDevs;6;0;0;0;0;false;false
rev_a89b9-d2764;twoDevs;2;0;0;0;0;false;true
rev_2107d-b41b2;moreThanTwoDevs;6;0;0;0;0;false;false
rev_a525e-3702d;moreThanTwoDevs;11;0;0;0;0;false;true
rev_dc8eb-81fbb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7d285-197a3;twoDevs;2;0;0;0;0;false;false
rev_7d3cf-64a26;twoDevs;2;1;0;1;0;true;false
rev_6a496-ee120;moreThanTwoDevs;11;0;0;0;0;false;false
rev_83e9e-b0406;twoDevs;2;0;0;0;0;false;false
rev_91049-caa41;moreThanTwoDevs;11;0;0;0;0;false;false
rev_af74c-adccb;twoDevs;2;0;0;0;0;false;false
rev_90238-8ec17;twoDevs;2;0;0;0;0;false;false
rev_bf1d3-e8df2;moreThanTwoDevs;3;2;0;2;0;true;false
rev_e8df2-83830;twoDevs;2;0;0;0;0;false;false
rev_69b1d-4e284;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d7623-b7096;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f0d87-e39b7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e39b7-f90fe;twoDevs;2;0;0;0;0;false;false
rev_c044c-351da;moreThanTwoDevs;13;0;0;0;0;false;false
rev_69cee-fe0e0;twoDevs;2;0;0;0;0;false;false
rev_78a82-ef921;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6a851-49d8a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_49d8a-91661;twoDevs;2;0;0;0;0;false;false
rev_c9682-d6b8e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e8e7f-83e36;twoDevs;2;0;0;0;0;false;false
rev_942f7-8dec8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_561cf-2b018;moreThanTwoDevs;4;0;0;0;0;false;false
rev_081b7-0b937;twoDevs;2;0;0;0;0;false;false
rev_caa41-7473a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_76f5c-3934f;moreThanTwoDevs;15;2;2;0;0;true;false
rev_d0f1e-d649f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_9408a-91d82;twoDevs;2;0;0;0;0;false;true
rev_d7fbb-91d82;moreThanTwoDevs;6;0;0;0;0;false;true
rev_d0fbe-eae96;moreThanTwoDevs;3;0;0;0;0;false;false
rev_98345-f8723;moreThanTwoDevs;4;0;0;0;0;false;false
rev_df444-2a8c6;twoDevs;2;0;0;0;0;false;false
rev_4987e-7b1ec;oneDev;1;0;0;0;0;false;false
rev_4fa2d-264a7;moreThanTwoDevs;7;0;0;0;0;false;false
rev_1eb56-085f4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_16c25-d3de4;twoDevs;2;3;3;0;0;true;false
rev_11f5f-a14ca;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d984c-a8e8c;twoDevs;2;0;0;0;0;false;false
rev_f3e8d-38c85;twoDevs;2;1;1;0;0;true;false
rev_0ef54-c78f2;twoDevs;2;0;0;0;0;false;false
rev_33026-c78f2;twoDevs;2;0;0;0;0;false;false
rev_f4f35-f6129;twoDevs;2;1;0;0;0;true;false
rev_d725a-3b4ba;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2c7f4-9102c;twoDevs;2;0;0;0;0;false;false
rev_b9aeb-ce1f0;twoDevs;2;0;0;0;0;false;true
rev_2525c-198e9;twoDevs;2;0;0;0;0;false;false
rev_69b14-d0348;twoDevs;2;0;0;0;0;false;false
rev_46c22-58b06;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5b864-4e508;twoDevs;2;0;0;0;0;false;false
rev_75545-44cc7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_4f96f-8c8a9;moreThanTwoDevs;4;0;0;0;0;false;true
rev_4aac7-bc246;moreThanTwoDevs;3;0;0;0;0;false;false
rev_00573-da687;moreThanTwoDevs;5;0;0;0;0;false;false
