name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_1431b-77097;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0563b-648a5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_648a5-9795c;twoDevs;2;0;0;0;0;false;false
rev_a0ce7-ca2c5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ad97d-ca2c5;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ca2c5-de440;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9a646-d6fbd;twoDevs;2;0;0;0;0;false;false
rev_e646b-76abe;moreThanTwoDevs;3;0;0;0;0;false;false
rev_de0ff-0082f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f2ef2-4ac7c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_4ac7c-92b20;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0dfd4-269c7;moreThanTwoDevs;4;0;0;0;0;false;true
rev_e1a0d-393e0;twoDevs;2;0;0;0;0;false;false
rev_ddcd1-6dd7e;moreThanTwoDevs;4;0;0;0;0;false;true
rev_6dd7e-c3fcd;twoDevs;2;0;0;0;0;false;false
rev_6ec9a-cef3a;twoDevs;2;0;0;0;0;false;false
rev_7e076-1f5ce;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1f5ce-a55a7;twoDevs;2;0;0;0;0;false;false
rev_dafc0-60323;twoDevs;2;0;0;0;0;false;false
rev_6585e-15923;twoDevs;2;0;0;0;0;false;false
rev_0c69a-85c18;moreThanTwoDevs;3;0;0;0;0;false;false
rev_85c18-64e0b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_11e27-35457;moreThanTwoDevs;7;0;0;0;0;false;false
rev_35457-b8edc;twoDevs;2;0;0;0;0;false;false
rev_a6cbb-7abf2;moreThanTwoDevs;6;3;0;1;0;true;false
rev_9a4fa-897d2;twoDevs;2;0;0;0;0;false;false
rev_e0857-dbc0d;twoDevs;2;0;0;0;0;false;false
rev_3cbeb-f83a9;twoDevs;2;0;0;0;0;false;false
rev_91a9a-3a0ff;twoDevs;2;0;0;0;0;false;false
rev_8da27-cf3f7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_00243-c5867;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c5867-e7874;moreThanTwoDevs;3;0;0;0;0;false;false
rev_53645-7800d;moreThanTwoDevs;6;0;0;0;0;false;false
rev_62e20-6118f;moreThanTwoDevs;5;1;0;0;0;true;false
rev_818a0-ece49;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d008e-404eb;moreThanTwoDevs;5;0;0;0;0;false;false
rev_d008e-404eb;moreThanTwoDevs;5;0;0;0;0;false;false
rev_d05bd-dab30;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a7bd9-2f981;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d8ae4-e3b05;moreThanTwoDevs;3;0;0;0;0;false;false
rev_774d6-4bed9;moreThanTwoDevs;5;0;0;0;0;false;false
rev_9ac9a-a84fd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9166e-729cb;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e7d20-38e36;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1cd2b-42e4d;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e5e80-d967e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_af4e7-41078;moreThanTwoDevs;3;0;0;0;0;false;false
rev_97d6b-3a501;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3cb22-323d4;moreThanTwoDevs;7;0;0;0;0;false;false
rev_20e76-44ee8;twoDevs;2;0;0;0;0;false;false
rev_b52c4-44ee8;twoDevs;2;0;0;0;0;false;false
rev_44ee8-baea4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4830d-df1ee;twoDevs;2;0;0;0;0;false;false
rev_9f567-e9864;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e9864-7440d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b7c8e-42308;moreThanTwoDevs;4;0;0;0;0;false;false
rev_90c56-bb0b3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8dafb-b4a8f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a6911-3e244;moreThanTwoDevs;5;0;0;0;0;false;false
rev_bbaad-d44ae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_318da-afe38;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f0cd8-c5f3f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b1828-d4b05;moreThanTwoDevs;6;0;0;0;0;false;false
rev_0c19d-c4fb3;moreThanTwoDevs;6;0;0;0;0;false;false
rev_ea1b7-65112;moreThanTwoDevs;5;0;0;0;0;false;false
rev_65112-38762;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ac3eb-c342e;moreThanTwoDevs;7;4;0;4;0;true;false
rev_19b3a-c342e;moreThanTwoDevs;9;0;0;0;0;false;false
rev_c342e-3bb8c;twoDevs;2;0;0;0;0;false;false
rev_8fe7a-24879;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4536a-2b4ed;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f1079-d4b05;moreThanTwoDevs;12;4;0;2;0;true;false
rev_8060a-064cf;moreThanTwoDevs;8;0;0;0;0;false;false
rev_0585b-d74e0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b1db6-8cca7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8cca7-b1db6;moreThanTwoDevs;5;0;0;0;0;false;false
rev_24daa-07551;moreThanTwoDevs;5;2;0;0;0;true;false
rev_bbccc-f9d29;moreThanTwoDevs;10;0;0;0;0;false;false
rev_0ed89-14dbc;moreThanTwoDevs;7;0;0;0;0;false;true
rev_14dbc-6d068;twoDevs;2;0;0;0;0;false;false
rev_ab2f8-c8a6c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_c8a6c-e0560;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e04c4-06590;moreThanTwoDevs;7;0;0;0;0;false;false
rev_2188d-ae62c;moreThanTwoDevs;11;0;0;0;0;false;false
rev_9ef5f-7ca93;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ccd6f-85259;twoDevs;2;0;0;0;0;false;false
rev_70358-3dcfb;moreThanTwoDevs;8;0;0;0;0;false;false
rev_a86e1-c14ce;moreThanTwoDevs;9;0;0;0;0;false;false
rev_0dd3c-6de8e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6de8e-a37a1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4ac88-8794b;moreThanTwoDevs;6;0;0;0;0;false;false
rev_8794b-341ae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8bd63-91ef7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c3371-c8b8a;moreThanTwoDevs;8;0;0;0;0;false;false
rev_d99f7-d7922;moreThanTwoDevs;6;0;0;0;0;false;false
rev_9839b-ade05;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4d226-34529;moreThanTwoDevs;3;0;0;0;0;false;false
rev_23c3c-6aaaa;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4837e-61c24;twoDevs;2;0;0;0;0;false;false
rev_aa568-d6ceb;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2a6c5-c6517;moreThanTwoDevs;4;1;0;0;0;true;false
rev_f3769-b002e;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f7fd3-05d04;moreThanTwoDevs;7;1;0;1;0;true;false
rev_de728-61d52;moreThanTwoDevs;7;0;0;0;0;false;false
rev_6e0c6-2e531;moreThanTwoDevs;3;0;0;0;0;false;false
rev_21051-3815c;twoDevs;2;0;0;0;0;false;false
rev_f8b2e-3815c;twoDevs;2;0;0;0;0;false;false
rev_1713a-0dcd1;twoDevs;2;0;0;0;0;false;false
rev_0dcd1-7fc93;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4ac40-9eb6e;moreThanTwoDevs;5;0;0;0;0;false;false
rev_72e3d-cab37;moreThanTwoDevs;7;0;0;0;0;false;false
rev_0fce9-1c2ac;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9e830-a4576;moreThanTwoDevs;7;0;0;0;0;false;true
rev_de195-a4576;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e7b8f-a888c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_74674-904ee;twoDevs;2;0;0;0;0;false;false
rev_78dd2-24b95;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8c6b1-80493;moreThanTwoDevs;4;0;0;0;0;false;false
rev_733f9-e747c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7ccf3-fb172;moreThanTwoDevs;7;0;0;0;0;false;false
rev_191e3-51fdc;moreThanTwoDevs;5;0;0;0;0;false;false
rev_97277-6ba40;moreThanTwoDevs;9;0;0;0;0;false;false
rev_a9ec3-f8e15;moreThanTwoDevs;8;0;0;0;0;false;false
rev_3e90d-587a3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_82bb0-39d29;twoDevs;2;0;0;0;0;false;false
rev_abf99-348ad;moreThanTwoDevs;3;0;0;0;0;false;false
rev_27d8e-1c243;moreThanTwoDevs;3;0;0;0;0;false;false
rev_abfcc-c5657;moreThanTwoDevs;4;0;0;0;0;false;false
rev_abf99-c5657;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a57a0-b4d6f;twoDevs;2;0;0;0;0;false;false
rev_5eecd-baf6f;moreThanTwoDevs;6;0;0;0;0;false;true
rev_fcf62-ce064;moreThanTwoDevs;6;0;0;0;0;false;false
rev_132d0-48ec4;moreThanTwoDevs;3;1;1;0;0;true;false
rev_f5811-de4c4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fcf62-48ec4;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f5811-c49f2;twoDevs;2;0;0;0;0;false;false
rev_54a38-c49f2;twoDevs;2;0;0;0;0;false;false
rev_16f4a-f580a;oneDev;1;0;0;0;0;false;false
rev_246b7-a5d54;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a5d54-246b7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e8de0-d600a;twoDevs;2;0;0;0;0;false;false
rev_800b9-5d0ae;moreThanTwoDevs;3;1;0;0;0;true;false
rev_5d0ae-2f97d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d0dbb-f083d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1951a-1db09;moreThanTwoDevs;5;0;0;0;0;false;false
rev_971bb-18ff5;moreThanTwoDevs;8;1;1;1;1;true;true
rev_18ff5-56770;moreThanTwoDevs;5;0;0;0;0;false;false
rev_b8e18-89b55;oneDev;1;0;0;0;0;false;false
rev_18ff5-ce6f7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a7552-e3da6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e3da6-7b9ea;twoDevs;2;0;0;0;0;false;false
rev_70c92-6e7b1;moreThanTwoDevs;5;0;0;0;0;false;false
rev_bf4fa-454da;moreThanTwoDevs;5;0;0;0;0;false;false
rev_454da-4176f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_1a213-79f5c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_79f5c-6e7b1;moreThanTwoDevs;6;0;0;0;0;false;false
rev_8d216-a93e3;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ab774-1e1f7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_db9ff-8d040;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e5ddd-1ca5b;twoDevs;2;0;0;0;0;false;false
rev_560ce-8d040;moreThanTwoDevs;11;18;1;10;0;true;false
rev_22940-1ca5b;twoDevs;2;1;0;1;0;true;false
rev_1ca5b-5d6cd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d00d3-58782;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2ea0a-23722;moreThanTwoDevs;5;0;0;0;0;false;false
rev_f3c39-968ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f94d1-10b3f;moreThanTwoDevs;7;9;0;0;0;true;false
rev_eca1e-d6219;twoDevs;2;0;0;0;0;false;false
rev_48376-2938e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_001a5-8c6e8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_86c1f-3a9dd;moreThanTwoDevs;11;2;0;0;0;true;true
rev_8c88d-38877;twoDevs;2;0;0;0;0;false;false
rev_3a9dd-589ed;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ff3aa-73bf5;moreThanTwoDevs;6;0;0;0;0;false;false
rev_002ce-62379;moreThanTwoDevs;6;0;0;0;0;false;false
rev_3d488-bb5d1;moreThanTwoDevs;11;0;0;0;0;false;false
rev_063cb-bb5d1;moreThanTwoDevs;14;9;0;4;0;true;false
rev_d7794-f3643;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f3643-f0f41;moreThanTwoDevs;3;0;0;0;0;false;false
rev_edde9-c744b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_edde9-0290b;moreThanTwoDevs;5;0;0;0;0;false;false
