name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_fcb4f-16420;twoDevs;2;0;0;0;0;false;false
rev_73059-f79e7;oneDev;1;0;0;0;0;false;false
rev_0ac48-6ee62;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9b6b5-12888;moreThanTwoDevs;8;0;0;0;0;false;false
rev_10665-cfd61;twoDevs;2;0;0;0;0;false;false
rev_30916-96174;moreThanTwoDevs;7;2;0;2;0;true;false
rev_c8711-6e2ff;moreThanTwoDevs;6;0;0;0;0;false;false
rev_1abb7-5cdda;moreThanTwoDevs;5;0;0;0;0;false;false
rev_23529-e4504;oneDev;1;0;0;0;0;false;false
rev_3d697-d910b;moreThanTwoDevs;12;1;0;0;0;true;false
rev_4d084-5f9df;moreThanTwoDevs;14;0;0;0;0;false;false
rev_c88ba-17f5c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4d3c5-76e7c;moreThanTwoDevs;4;0;0;0;0;false;true
rev_1da63-60738;moreThanTwoDevs;4;0;0;0;0;false;true
rev_42e45-6109d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d3fe3-855f3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_16e04-afc30;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3ae9e-f4c58;twoDevs;2;0;0;0;0;false;false
rev_12b5c-92e9c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ee9fc-93fec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eba23-0d1b2;twoDevs;2;0;0;0;0;false;false
rev_a55df-57b32;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b1de0-2c2ed;twoDevs;2;0;0;0;0;false;false
rev_46d00-4651e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c37c1-fbe01;moreThanTwoDevs;3;0;0;0;0;false;false
rev_07f05-77be1;moreThanTwoDevs;13;2;0;2;0;true;true
rev_479bb-b1bed;moreThanTwoDevs;8;0;0;0;0;false;false
rev_2987b-23746;oneDev;1;0;0;0;0;false;false
rev_38a12-7ee4a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b2750-c763a;twoDevs;2;0;0;0;0;false;false
rev_e5df4-4281a;twoDevs;2;0;0;0;0;false;false
rev_229bf-93071;moreThanTwoDevs;11;0;0;0;0;false;false
rev_04e63-5d55a;moreThanTwoDevs;10;0;0;0;0;false;false
rev_c9e70-2a091;twoDevs;2;0;0;0;0;false;false
rev_e7215-75f96;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ad7d9-46be4;twoDevs;2;0;0;0;0;false;false
rev_ba41f-0ceb4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_00e07-b9262;twoDevs;2;0;0;0;0;false;false
rev_bf25f-bb6d3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4978b-546ae;moreThanTwoDevs;3;0;0;0;0;false;false
