name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_220e2-2a234;oneDev;1;0;0;0;0;false;false
rev_2908d-9f0a5;oneDev;1;0;0;0;0;false;false
rev_fd91d-c21ec;twoDevs;2;0;0;0;0;false;false
rev_b5f32-306f5;twoDevs;2;0;0;0;0;false;false
rev_507ae-56a37;twoDevs;2;0;0;0;0;false;false
rev_fb611-f66c8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_df713-c92f0;moreThanTwoDevs;5;0;0;0;0;false;false
rev_44e73-e51a5;twoDevs;2;0;0;0;0;false;false
rev_337da-64c61;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0cef3-bb2ab;moreThanTwoDevs;5;0;0;0;0;false;false
rev_96a92-e4fad;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bec5d-64e81;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8a895-74b71;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c18aa-7ea6a;moreThanTwoDevs;8;0;0;0;0;false;false
rev_9fb94-9217b;moreThanTwoDevs;8;0;0;0;0;false;false
rev_39aae-b0d06;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d16ad-df2b7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0a533-7ce3b;moreThanTwoDevs;8;0;0;0;0;false;false
rev_ca2b0-f228b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_89905-ca628;moreThanTwoDevs;4;0;0;0;0;false;false
rev_253ef-ee3c0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fcfec-27011;moreThanTwoDevs;6;0;0;0;0;false;false
rev_e984f-71600;moreThanTwoDevs;5;0;0;0;0;false;false
rev_3379b-6bfb1;moreThanTwoDevs;8;0;0;0;0;false;false
rev_6af91-da67d;moreThanTwoDevs;8;0;0;0;0;false;false
rev_ab432-1072a;moreThanTwoDevs;8;0;0;0;0;false;false
rev_abbc3-02aca;moreThanTwoDevs;9;0;0;0;0;false;false
rev_dcbff-68791;moreThanTwoDevs;5;0;0;0;0;false;false
rev_52ae7-31e81;moreThanTwoDevs;7;0;0;0;0;false;false
rev_5d80d-c9225;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e5cfc-c4e4e;moreThanTwoDevs;5;0;0;0;0;false;false
rev_b459f-78bee;moreThanTwoDevs;5;0;0;0;0;false;false
rev_53f7b-58cba;moreThanTwoDevs;3;0;0;0;0;false;false
rev_54b2c-7aa8d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8b4b8-398e3;moreThanTwoDevs;9;0;0;0;0;false;false
rev_50518-aa36e;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d8f30-a2675;moreThanTwoDevs;10;0;0;0;0;false;false
rev_3047d-0ed80;moreThanTwoDevs;3;0;0;0;0;false;false
rev_da77a-4b13a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e4aea-0c5fb;twoDevs;2;0;0;0;0;false;false
rev_65401-f794c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_64716-ef89a;moreThanTwoDevs;6;0;0;0;0;false;false
rev_351bb-5b463;moreThanTwoDevs;16;0;0;0;0;false;false
rev_7ff88-6f97f;moreThanTwoDevs;10;0;0;0;0;false;false
rev_28bc2-2b28f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_abb63-df8ab;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1b39e-133a5;moreThanTwoDevs;5;0;0;0;0;false;false
rev_32b2e-45af2;moreThanTwoDevs;11;0;0;0;0;false;false
rev_948dc-22d59;moreThanTwoDevs;11;0;0;0;0;false;false
rev_fdb7f-0bbbf;moreThanTwoDevs;11;0;0;0;0;false;false
rev_dec4c-14a59;twoDevs;2;0;0;0;0;false;false
rev_541c2-b1483;moreThanTwoDevs;11;0;0;0;0;false;false
rev_c757b-9a74c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2840d-b5ffb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ba9ff-7e425;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f1d56-051c0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bb81d-4857e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7a67b-9a397;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c9fa2-a7c3b;moreThanTwoDevs;11;0;0;0;0;false;false
rev_e5a8e-d84d6;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8a332-0781c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_752f4-ed9ce;moreThanTwoDevs;24;0;0;0;0;false;false
rev_83c2c-3ac37;moreThanTwoDevs;7;0;0;0;0;false;false
rev_9e3fd-f2e49;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d94b4-1717f;moreThanTwoDevs;14;0;0;0;0;false;false
rev_182a2-f8039;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d9222-0fd09;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d1c5c-dddd6;moreThanTwoDevs;22;0;0;0;0;false;false
rev_e21fa-37909;moreThanTwoDevs;18;0;0;0;0;false;false
rev_c0141-e67f9;moreThanTwoDevs;10;0;0;0;0;false;false
rev_693a3-b9e9e;moreThanTwoDevs;14;0;0;0;0;false;false
rev_7d3ec-1668c;moreThanTwoDevs;29;0;0;0;0;false;false
rev_fe23e-c24b5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_238ee-73e81;moreThanTwoDevs;20;0;0;0;0;false;false
rev_d82b2-76d34;moreThanTwoDevs;24;0;0;0;0;false;false
rev_86165-b113a;moreThanTwoDevs;15;0;0;0;0;false;false
rev_903d7-59e95;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d2942-b2bf0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e7b39-5c3af;moreThanTwoDevs;57;0;0;0;0;false;false
rev_3b4e1-282c2;moreThanTwoDevs;11;0;0;0;0;false;false
rev_6fd3f-eff9b;moreThanTwoDevs;57;0;0;0;0;false;false
rev_55c94-00894;moreThanTwoDevs;3;0;0;0;0;false;false
rev_915ec-15c21;moreThanTwoDevs;13;0;0;0;0;false;false
rev_d54fd-43066;moreThanTwoDevs;11;0;0;0;0;false;false
rev_817a7-eecb0;moreThanTwoDevs;16;0;0;0;0;false;false
rev_53052-a500c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2baff-0579e;moreThanTwoDevs;7;0;0;0;0;false;false
rev_54d67-42e81;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a4665-f1fc2;moreThanTwoDevs;10;0;0;0;0;false;false
rev_063d0-e411f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7be60-fa3a4;moreThanTwoDevs;8;0;0;0;0;false;false
rev_b8cbc-d6662;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5e34e-1211c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_83767-2f852;moreThanTwoDevs;4;0;0;0;0;false;false
rev_879ad-dd4d1;moreThanTwoDevs;5;0;0;0;0;false;false
rev_159e3-5d19a;moreThanTwoDevs;62;0;0;0;0;false;false
rev_aad11-7f46b;moreThanTwoDevs;15;0;0;0;0;false;false
rev_910c2-29fa1;moreThanTwoDevs;107;0;0;0;0;false;false
rev_88960-4a45c;moreThanTwoDevs;13;0;0;0;0;false;false
rev_7d312-d3f19;moreThanTwoDevs;61;0;0;0;0;false;false
rev_98dbc-f8ce4;moreThanTwoDevs;23;0;0;0;0;false;false
rev_61331-61cc7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_f8afb-3fa94;moreThanTwoDevs;4;0;0;0;0;false;false
rev_077b1-5d7b5;moreThanTwoDevs;24;0;0;0;0;false;false
rev_d907e-0f940;moreThanTwoDevs;93;0;0;0;0;false;false
rev_81329-23511;moreThanTwoDevs;10;0;0;0;0;false;false
rev_59f5f-94e4d;moreThanTwoDevs;28;0;0;0;0;false;false
rev_e45de-6db2b;moreThanTwoDevs;8;0;0;0;0;false;false
rev_52914-6b7d2;moreThanTwoDevs;9;0;0;0;0;false;false
rev_f4eb2-08ea3;moreThanTwoDevs;8;0;0;0;0;false;false
rev_94fff-4d83a;twoDevs;2;0;0;0;0;false;false
rev_b0fa1-60359;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bce70-a3996;moreThanTwoDevs;3;0;0;0;0;false;false
rev_34adc-b0c5a;moreThanTwoDevs;22;0;0;0;0;false;false
rev_ae1b7-ace3d;moreThanTwoDevs;62;0;0;0;0;false;false
rev_0886a-41f57;moreThanTwoDevs;6;0;0;0;0;false;false
rev_9125f-83efe;moreThanTwoDevs;37;0;0;0;0;false;false
rev_a5ad8-c8df9;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8047d-e0d07;moreThanTwoDevs;3;0;0;0;0;false;false
rev_51b87-776db;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4ef1e-60535;moreThanTwoDevs;10;0;0;0;0;false;false
rev_7fea8-40298;moreThanTwoDevs;9;0;0;0;0;false;false
rev_f3881-9357b;moreThanTwoDevs;14;0;0;0;0;false;false
rev_639c7-66837;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e8ed7-72b4f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2009d-c55df;moreThanTwoDevs;7;0;0;0;0;false;false
rev_711a3-5e717;moreThanTwoDevs;11;0;0;0;0;false;false
rev_8ad26-673df;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2f795-298cc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5208b-31477;moreThanTwoDevs;4;0;0;0;0;false;false
rev_29a5f-4f998;moreThanTwoDevs;5;0;0;0;0;false;false
rev_4be36-c560a;moreThanTwoDevs;6;0;0;0;0;false;false
rev_0410b-67773;moreThanTwoDevs;6;0;0;0;0;false;false
rev_065c0-bfb7c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_509c9-10f17;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8b114-145f2;moreThanTwoDevs;19;0;0;0;0;false;false
rev_eff34-7e9f3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_31fa9-be96b;moreThanTwoDevs;63;0;0;0;0;false;false
rev_e7dc2-f5f83;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4df85-9ad71;moreThanTwoDevs;3;0;0;0;0;false;false
rev_50dad-1fc56;twoDevs;2;0;0;0;0;false;false
rev_fe994-bfd0f;moreThanTwoDevs;9;0;0;0;0;false;false
rev_8d2e4-ec215;moreThanTwoDevs;142;0;0;0;0;false;false
rev_f112f-4129a;moreThanTwoDevs;23;0;0;0;0;false;false
rev_d4fe0-ab20e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_99b0b-2babb;moreThanTwoDevs;22;0;0;0;0;false;false
rev_163ff-ed5cd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_61084-32994;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ca763-7078d;twoDevs;2;0;0;0;0;false;false
rev_d9bc1-5c72f;moreThanTwoDevs;8;0;0;0;0;false;false
rev_14a9e-67312;moreThanTwoDevs;5;0;0;0;0;false;false
rev_1ab05-94ede;moreThanTwoDevs;3;0;0;0;0;false;false
rev_76dc9-c70bd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a0ded-d5b72;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b099c-dd9e8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a8a53-6248e;moreThanTwoDevs;32;0;0;0;0;false;false
rev_9e608-ea509;moreThanTwoDevs;13;0;0;0;0;false;false
rev_7cb00-5715a;moreThanTwoDevs;7;0;0;0;0;false;false
rev_18a6b-6188e;moreThanTwoDevs;18;0;0;0;0;false;false
rev_7a73d-6e9cf;moreThanTwoDevs;11;0;0;0;0;false;false
rev_9731e-d1934;moreThanTwoDevs;17;0;0;0;0;false;false
rev_73eb6-10cd7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9e71b-2fcef;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2a01e-7e7f1;twoDevs;2;0;0;0;0;false;false
