name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_4a57f-ca1ef;twoDevs;2;0;0;0;0;false;false
rev_7b78d-4a929;moreThanTwoDevs;3;0;0;0;0;false;false
rev_79daa-c2714;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9f863-4528b;twoDevs;2;0;0;0;0;false;false
rev_bcf99-d9870;moreThanTwoDevs;3;0;0;0;0;false;false
rev_730c1-b8b54;moreThanTwoDevs;3;0;0;0;0;false;false
rev_68d87-77173;moreThanTwoDevs;3;0;0;0;0;false;false
rev_72e9d-6dc43;moreThanTwoDevs;5;0;0;0;0;false;false
rev_756ee-05381;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1ea4d-07103;moreThanTwoDevs;7;0;0;0;0;false;false
rev_518e8-64ce1;twoDevs;2;0;0;0;0;false;false
rev_2fda9-73f15;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5147a-30d45;moreThanTwoDevs;7;0;0;0;0;false;false
rev_8acf8-6d8c1;moreThanTwoDevs;11;0;0;0;0;false;false
rev_b6b31-0088d;moreThanTwoDevs;9;0;0;0;0;false;false
rev_5b402-29aab;moreThanTwoDevs;3;0;0;0;0;false;false
rev_29aab-5b402;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eb504-bac85;twoDevs;2;0;0;0;0;false;false
rev_e3b82-f2a19;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bac85-eb504;twoDevs;2;0;0;0;0;false;false
rev_83732-20cfc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_20cfc-83732;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9b8e7-35355;twoDevs;2;0;0;0;0;false;false
rev_4b572-6f647;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dfaa3-3a94c;moreThanTwoDevs;7;5;5;2;2;true;false
rev_0331f-1f938;twoDevs;2;0;0;0;0;false;false
rev_b508f-f03a6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ad3db-f6477;moreThanTwoDevs;4;0;0;0;0;false;false
rev_69029-9b64b;moreThanTwoDevs;6;0;0;0;0;false;false
rev_76bca-df084;twoDevs;2;0;0;0;0;false;false
rev_55242-e26d9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cd3c5-87377;twoDevs;2;0;0;0;0;false;false
rev_c1f71-10385;twoDevs;2;0;0;0;0;false;false
rev_d1c5b-40278;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dcac4-dccd0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e6119-d68aa;twoDevs;2;0;0;0;0;false;false
rev_c1cfe-f7314;twoDevs;2;0;0;0;0;false;false
rev_ed190-a9f1d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_77a87-b0e6b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0edcb-eecdd;twoDevs;2;0;0;0;0;false;false
rev_15605-7691c;moreThanTwoDevs;10;0;0;0;0;false;false
rev_9ff9e-01c9b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bb498-d85ef;twoDevs;2;0;0;0;0;false;false
rev_5a792-7879e;moreThanTwoDevs;8;0;0;0;0;false;false
rev_77d3b-5975c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6d2ae-53c36;twoDevs;2;0;0;0;0;false;false
rev_8756d-ac80b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_a0efa-98f85;moreThanTwoDevs;5;0;0;0;0;false;false
rev_7b900-abe0f;twoDevs;2;0;0;0;0;false;false
rev_53d09-76da4;twoDevs;2;0;0;0;0;false;false
rev_22da6-de461;moreThanTwoDevs;7;0;0;0;0;false;false
rev_92c95-5783b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a57f2-f9298;moreThanTwoDevs;3;0;0;0;0;false;false
rev_41395-37a1f;moreThanTwoDevs;6;0;0;0;0;false;false
rev_b6e13-baeab;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8b5cd-af44d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c04bf-17de9;twoDevs;2;0;0;0;0;false;false
rev_34d3a-4b05d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5ffe1-cfbb3;moreThanTwoDevs;5;0;0;0;0;false;false
rev_65efd-04755;twoDevs;2;0;0;0;0;false;false
rev_1a23d-676e9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f0677-9d0cc;twoDevs;2;0;0;0;0;false;false
rev_375d7-adf8a;moreThanTwoDevs;7;0;0;0;0;false;false
rev_d5e59-c8ee1;moreThanTwoDevs;6;0;0;0;0;false;false
rev_401f0-13cc2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3d77e-0d9cd;moreThanTwoDevs;8;0;0;0;0;false;false
rev_c7cdd-b3a99;twoDevs;2;0;0;0;0;false;false
rev_89f12-88f0f;twoDevs;2;0;0;0;0;false;false
rev_afaf6-342de;twoDevs;2;0;0;0;0;false;false
rev_0ab19-a3e49;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5b928-22bd9;twoDevs;2;0;0;0;0;false;false
rev_31959-9c338;twoDevs;2;0;0;0;0;false;false
rev_9bbc1-e940f;twoDevs;2;0;0;0;0;false;false
rev_8721d-3e152;twoDevs;2;0;0;0;0;false;false
rev_7560b-ae857;twoDevs;2;0;0;0;0;false;false
rev_af250-ff6fd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2a777-19dc6;twoDevs;2;0;0;0;0;false;false
rev_275b9-49043;moreThanTwoDevs;4;0;0;0;0;false;false
rev_af35c-36001;moreThanTwoDevs;10;0;0;0;0;false;false
rev_f2e79-7f644;moreThanTwoDevs;7;0;0;0;0;false;false
rev_59b7d-001fa;moreThanTwoDevs;5;1;0;0;0;true;false
rev_c7cfc-ea045;moreThanTwoDevs;3;0;0;0;0;false;false
rev_60118-2c4d1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_84427-a6c37;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ae083-46e0b;twoDevs;2;0;0;0;0;false;false
rev_48223-36b7f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_af646-9297f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dcab5-6ddbd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_94aee-f8c9a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5ae4e-e166a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cedd7-fb655;moreThanTwoDevs;7;0;0;0;0;false;false
rev_c02ba-a2c28;moreThanTwoDevs;5;0;0;0;0;false;false
rev_07e3d-b76cf;oneDev;1;0;0;0;0;false;false
rev_b540a-d8c40;moreThanTwoDevs;4;0;0;0;0;false;false
rev_448de-15f55;moreThanTwoDevs;4;0;0;0;0;false;false
rev_34797-f1cb8;twoDevs;2;0;0;0;0;false;false
rev_e64fb-90d1a;twoDevs;2;0;0;0;0;false;false
rev_5520e-6e88c;moreThanTwoDevs;4;1;0;1;0;true;false
rev_55ea9-ca0f6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_98095-367da;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dc5b3-7d843;moreThanTwoDevs;5;0;0;0;0;false;false
rev_852ba-7817d;moreThanTwoDevs;7;1;1;1;1;true;false
rev_243ee-36470;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2da29-9c05f;twoDevs;2;0;0;0;0;false;false
rev_74d9c-f6937;twoDevs;2;0;0;0;0;false;false
rev_d3239-519d4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_646bd-9ed11;moreThanTwoDevs;8;0;0;0;0;false;false
rev_0974b-46351;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a229f-cee08;moreThanTwoDevs;4;1;1;0;0;true;false
rev_c6998-b1512;moreThanTwoDevs;4;0;0;0;0;false;false
rev_eee5d-b645e;twoDevs;2;0;0;0;0;false;false
rev_6d380-4dc05;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9f776-c7439;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5fdf4-43066;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1b56c-a346e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bafc5-a968d;moreThanTwoDevs;7;0;0;0;0;false;false
rev_16e16-4e951;moreThanTwoDevs;3;0;0;0;0;false;false
rev_28798-1152e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_180a0-c5f44;moreThanTwoDevs;3;0;0;0;0;false;false
rev_abbcf-1fb02;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f7ae8-bcda9;moreThanTwoDevs;10;0;0;0;0;false;false
rev_81cd8-ccee9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e1cb7-18647;moreThanTwoDevs;3;0;0;0;0;false;false
rev_73143-f7be7;moreThanTwoDevs;9;165;103;81;57;true;true
rev_df2d7-4c945;moreThanTwoDevs;6;0;0;0;0;false;false
rev_b8244-a03be;moreThanTwoDevs;7;0;0;0;0;false;false
rev_815c3-144a2;moreThanTwoDevs;7;0;0;0;0;false;false
rev_8db92-be6ff;moreThanTwoDevs;6;3;3;1;1;true;false
rev_58f3c-c19c9;moreThanTwoDevs;5;6;1;0;0;true;false
rev_2d65c-3433b;twoDevs;2;0;0;0;0;false;false
rev_e2f81-07600;twoDevs;2;0;0;0;0;false;false
rev_d4452-ebaa2;moreThanTwoDevs;7;0;0;0;0;false;false
rev_27292-174f5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_76df9-0e55b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_94ec0-2b67c;twoDevs;2;0;0;0;0;false;false
rev_fdfa8-cca5a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_29120-ab17e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3345d-a86e9;moreThanTwoDevs;8;0;0;0;0;false;false
rev_68da5-6ab44;twoDevs;2;0;0;0;0;false;false
rev_ff94a-7eeb5;moreThanTwoDevs;7;3;0;0;0;true;false
rev_b258e-23ad1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1fde9-0e150;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ed3f9-69dbf;twoDevs;2;0;0;0;0;false;false
rev_43a46-78ec5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9fa6e-1061b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dc29c-a26a6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4b76b-e5a6c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1070a-a311a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a7ef5-6c24e;moreThanTwoDevs;11;3;0;0;0;true;true
rev_a7ef5-94f4c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_62b30-8c452;moreThanTwoDevs;8;0;0;0;0;false;false
rev_245c1-4841f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_55723-5fa1e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_da9ed-021ea;moreThanTwoDevs;3;0;0;0;0;false;false
rev_10850-69360;twoDevs;2;0;0;0;0;false;false
rev_ccfa5-876d1;twoDevs;2;0;0;0;0;false;false
rev_0c7e8-0dfe6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d62a1-46200;twoDevs;2;0;0;0;0;false;false
rev_01c86-de006;twoDevs;2;0;0;0;0;false;false
rev_0ec1c-48845;moreThanTwoDevs;8;0;0;0;0;false;false
