name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_7e2ef-8ef71;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eb19c-be3bc;twoDevs;2;0;0;0;0;false;false
rev_c5db0-c72f0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c1e3f-085ce;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2968d-605f9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_92408-0c875;twoDevs;2;0;0;0;0;false;false
rev_906fb-9dce3;twoDevs;2;0;0;0;0;false;false
rev_73244-34677;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9fd5a-cc9ff;twoDevs;2;0;0;0;0;false;false
rev_9bc6d-32cc2;twoDevs;2;0;0;0;0;false;false
rev_ba85d-c7335;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7ff1c-3d695;twoDevs;2;0;0;0;0;false;false
rev_ed70a-26202;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7f853-398e2;twoDevs;2;0;0;0;0;false;false
rev_29660-7b33c;twoDevs;2;0;0;0;0;false;false
rev_48104-76e24;twoDevs;2;0;0;0;0;false;false
rev_0f2f4-46fe8;twoDevs;2;0;0;0;0;false;false
rev_e6a63-f7e7a;twoDevs;2;0;0;0;0;false;false
rev_df173-2587d;twoDevs;2;0;0;0;0;false;false
rev_afb33-5588b;twoDevs;2;0;0;0;0;false;false
rev_0ce33-21bcf;twoDevs;2;0;0;0;0;false;false
rev_a716f-9c75e;twoDevs;2;0;0;0;0;false;false
rev_d743f-b38e2;twoDevs;2;0;0;0;0;false;false
rev_345d8-0d8ed;twoDevs;2;0;0;0;0;false;false
rev_89b8f-17cb3;twoDevs;2;0;0;0;0;false;false
rev_45290-3131c;twoDevs;2;0;0;0;0;false;false
rev_148e6-e5021;twoDevs;2;0;0;0;0;false;false
rev_41873-0061f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a23b8-fb78f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_920aa-5d2b4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_06baa-281a0;twoDevs;2;0;0;0;0;false;false
rev_eeb39-d9366;twoDevs;2;0;0;0;0;false;false
rev_afbd9-5d29a;twoDevs;2;0;0;0;0;false;false
rev_3d3cc-60311;twoDevs;2;0;0;0;0;false;false
rev_5def3-5fc96;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3f4f1-1e9f5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0f539-0a0ea;twoDevs;2;0;0;0;0;false;false
rev_1a678-7b1ce;twoDevs;2;0;0;0;0;false;false
rev_4e83c-90192;twoDevs;2;0;0;0;0;false;false
rev_c77b9-9b853;twoDevs;2;0;0;0;0;false;false
rev_aab47-b14b4;twoDevs;2;0;0;0;0;false;false
