name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_413c3-62441;twoDevs;2;2;0;0;0;true;false
rev_6d59b-bd29f;twoDevs;2;0;0;0;0;false;false
rev_8226e-32e82;twoDevs;2;0;0;0;0;false;true
rev_df0a2-8f75c;moreThanTwoDevs;5;0;0;0;0;false;true
rev_56c58-75037;moreThanTwoDevs;4;0;0;0;0;false;true
rev_fb20f-c9fa1;moreThanTwoDevs;6;1;0;0;0;true;true
rev_5425d-c8ec7;twoDevs;2;0;0;0;0;false;true
rev_3e339-b613c;twoDevs;2;0;0;0;0;false;false
rev_b613c-f5ccf;twoDevs;2;0;0;0;0;false;false
rev_0485b-46b53;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4b1df-3f41b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9b575-e5936;moreThanTwoDevs;3;0;0;0;0;false;true
rev_89362-08e65;moreThanTwoDevs;3;0;0;0;0;false;true
rev_84b63-dca77;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d218e-1708b;moreThanTwoDevs;8;0;0;0;0;false;true
rev_db70a-e1896;twoDevs;2;1;0;0;0;true;false
rev_9e536-5fa13;moreThanTwoDevs;3;0;0;0;0;false;true
rev_32cfd-2f16f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a976d-6546c;twoDevs;2;0;0;0;0;false;false
rev_ffcd9-0091a;twoDevs;2;0;0;0;0;false;false
rev_b339f-326f5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ef512-e7074;twoDevs;2;0;0;0;0;false;false
rev_156cf-8dc10;twoDevs;2;0;0;0;0;false;false
rev_5466f-1004d;twoDevs;2;0;0;0;0;false;false
rev_46c22-7c91c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ca5da-f6d0f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_34add-1eb79;twoDevs;2;0;0;0;0;false;false
rev_f13b1-62ed9;twoDevs;2;0;0;0;0;false;false
rev_c79c2-f3ec5;twoDevs;2;0;0;0;0;false;false
rev_4f458-62ed9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4505c-a587a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9056f-bfa63;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a276e-8b5f3;twoDevs;2;0;0;0;0;false;false
rev_d4d12-8b5f3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d5fe0-0bbe4;twoDevs;2;0;0;0;0;false;false
rev_50896-36e1a;twoDevs;2;0;0;0;0;false;false
rev_36e1a-50896;twoDevs;2;0;0;0;0;false;false
rev_c1779-b07d8;twoDevs;2;0;0;0;0;false;false
rev_b94c3-d26e4;moreThanTwoDevs;3;0;0;0;0;false;true
rev_63243-d26e4;twoDevs;2;0;0;0;0;false;false
rev_ac52a-1a867;twoDevs;2;0;0;0;0;false;false
rev_dd792-1a867;twoDevs;2;0;0;0;0;false;false
rev_3e188-e5792;moreThanTwoDevs;3;0;0;0;0;false;false
rev_58d5b-9aeea;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a80eb-ba06b;twoDevs;2;0;0;0;0;false;false
rev_c9c74-b9a91;moreThanTwoDevs;4;0;0;0;0;false;true
rev_ba3c9-a80ea;twoDevs;2;0;0;0;0;false;false
rev_ae8af-9551c;twoDevs;2;0;0;0;0;false;false
rev_ae8af-9551c;twoDevs;2;0;0;0;0;false;false
rev_8c0f1-0c07f;twoDevs;2;0;0;0;0;false;false
rev_f9955-0c07f;twoDevs;2;0;0;0;0;false;false
rev_57cd2-b4385;twoDevs;2;0;0;0;0;false;true
rev_e4b4e-61817;moreThanTwoDevs;5;0;0;0;0;false;false
rev_13165-92fb5;twoDevs;2;1;0;0;0;true;false
rev_c4c99-6ec95;moreThanTwoDevs;3;0;0;0;0;false;false
