name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_254d4-8c8c6;twoDevs;2;0;0;0;0;false;false
rev_9e503-4beba;oneDev;1;0;0;0;0;false;false
rev_ac8b7-75460;oneDev;1;0;0;0;0;false;false
rev_8f026-f391a;oneDev;1;0;0;0;0;false;false
rev_a8dcc-4e0b0;oneDev;1;0;0;0;0;false;false
rev_b9ef7-6fc68;oneDev;1;0;0;0;0;false;false
rev_579fc-6ca1e;oneDev;1;0;0;0;0;false;false
rev_c9684-7c5b4;twoDevs;2;0;0;0;0;false;false
rev_453b0-1096c;twoDevs;2;0;0;0;0;false;false
rev_c8995-1e0b1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1be1a-f39b6;twoDevs;2;0;0;0;0;false;false
rev_f39b6-11851;twoDevs;2;0;0;0;0;false;false
rev_363b4-511af;moreThanTwoDevs;3;0;0;0;0;false;false
rev_56378-29ac6;twoDevs;2;0;0;0;0;false;false
rev_a3e38-d8fa7;twoDevs;2;0;0;0;0;false;false
rev_b9ef1-22c24;twoDevs;2;0;0;0;0;false;false
rev_7c28a-bc662;oneDev;1;0;0;0;0;false;false
rev_e955a-a46c7;twoDevs;2;0;0;0;0;false;false
rev_51b8c-2b3f4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_807c4-7faf2;twoDevs;2;0;0;0;0;false;false
rev_469da-a646e;oneDev;1;0;0;0;0;false;false
rev_340f0-8b943;oneDev;1;0;0;0;0;false;false
rev_171a7-11032;oneDev;1;0;0;0;0;false;false
rev_11032-f0c4b;twoDevs;2;0;0;0;0;false;false
rev_91a9d-fdfc2;oneDev;1;0;0;0;0;false;true
rev_87ee8-985f2;twoDevs;2;0;0;0;0;false;false
rev_251d7-af865;twoDevs;2;0;0;0;0;false;true
rev_b5a2a-0ca58;oneDev;1;6;0;0;0;true;true
rev_1ee16-859a6;oneDev;1;0;0;0;0;false;false
rev_a4ee4-17158;twoDevs;2;0;0;0;0;false;false
rev_cee7b-94ab8;twoDevs;2;0;0;0;0;false;false
rev_8e9a5-f78e4;twoDevs;2;1;0;0;0;true;true
rev_94ab8-1474a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0e61a-f268d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6637c-a9cdc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b7259-ccd93;twoDevs;2;0;0;0;0;false;false
rev_83ce2-7807a;twoDevs;2;0;0;0;0;false;false
rev_7807a-ca8f2;twoDevs;2;0;0;0;0;false;false
rev_0f088-83751;twoDevs;2;0;0;0;0;false;false
rev_83751-5f05e;twoDevs;2;0;0;0;0;false;false
rev_fd069-19988;oneDev;1;0;0;0;0;false;false
rev_a99dd-2b268;oneDev;1;0;0;0;0;false;false
rev_c6115-f4b62;oneDev;1;0;0;0;0;false;false
rev_9de74-ee7e1;oneDev;1;0;0;0;0;false;false
rev_31b60-ee7e1;twoDevs;2;0;0;0;0;false;true
rev_02210-92b36;oneDev;1;0;0;0;0;false;false
rev_31b60-92b36;twoDevs;2;0;0;0;0;false;false
rev_92b36-ac156;oneDev;1;0;0;0;0;false;false
rev_3e15a-ac156;oneDev;1;0;0;0;0;false;false
rev_b9acc-db648;oneDev;1;0;0;0;0;false;false
rev_db648-293bd;oneDev;1;0;0;0;0;false;false
rev_9b721-293bd;oneDev;1;0;0;0;0;false;false
rev_8eeae-a39ea;oneDev;1;0;0;0;0;false;false
rev_130bf-2596c;twoDevs;2;0;0;0;0;false;false
rev_19742-3c000;moreThanTwoDevs;3;0;0;0;0;false;false
rev_91023-01104;twoDevs;2;0;0;0;0;false;false
rev_46a4c-1bb1e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1bb1e-9b846;oneDev;1;0;0;0;0;false;false
rev_be381-7fb0b;oneDev;1;0;0;0;0;false;false
rev_7fb0b-be381;oneDev;1;0;0;0;0;false;false
rev_740bb-e2551;oneDev;1;0;0;0;0;false;false
rev_ec825-8c1dc;oneDev;1;0;0;0;0;false;false
rev_8c1dc-86a5f;oneDev;1;0;0;0;0;false;false
rev_1d222-560ea;twoDevs;2;0;0;0;0;false;false
rev_5de04-14431;twoDevs;2;0;0;0;0;false;false
rev_ba3f6-11e7c;twoDevs;2;0;0;0;0;false;false
rev_8febd-351f0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_57cdf-d0d03;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c0e11-ef0d1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bf5b2-eaa8f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_90494-07efa;moreThanTwoDevs;4;0;0;0;0;false;false
rev_74f89-8c3aa;twoDevs;2;0;0;0;0;false;false
rev_f7a07-7a893;moreThanTwoDevs;5;0;0;0;0;false;false
rev_11d71-70eeb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_076cf-a718c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6d559-44461;oneDev;1;0;0;0;0;false;false
rev_44461-ddedb;moreThanTwoDevs;21;0;0;0;0;false;false
rev_dff5d-f1b94;twoDevs;2;0;0;0;0;false;false
rev_57055-3e037;oneDev;1;0;0;0;0;false;false
rev_92e45-f1702;moreThanTwoDevs;21;0;0;0;0;false;false
rev_f4bc2-56c79;twoDevs;2;0;0;0;0;false;false
rev_cc82b-379dd;oneDev;1;0;0;0;0;false;false
rev_379dd-5532a;oneDev;1;0;0;0;0;false;false
rev_a6b19-5eea3;oneDev;1;0;0;0;0;false;false
