name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_1eb69-92597;moreThanTwoDevs;12;47;3;5;0;true;false
rev_ed8ac-4df36;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3ebbd-8a321;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4aefa-2be06;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d33c0-b77bb;twoDevs;2;0;0;0;0;false;false
rev_c4b5b-3085f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_94a15-642f2;twoDevs;2;0;0;0;0;false;false
rev_c0349-03a0a;moreThanTwoDevs;6;0;0;0;0;false;false
rev_a0bb3-4dc42;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8018b-c92b6;moreThanTwoDevs;8;0;0;0;0;false;false
rev_a77d4-3889d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d86d2-07108;twoDevs;2;0;0;0;0;false;false
rev_aebae-a02db;twoDevs;2;0;0;0;0;false;false
rev_04c31-33537;moreThanTwoDevs;3;0;0;0;0;false;false
rev_73359-cde7f;moreThanTwoDevs;9;0;0;0;0;false;false
rev_72287-a6d41;moreThanTwoDevs;6;0;0;0;0;false;false
rev_72287-a6d41;moreThanTwoDevs;6;0;0;0;0;false;false
rev_675c9-1e9e6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0a4f8-ec853;moreThanTwoDevs;4;1;1;0;0;true;false
rev_ffd30-a63b9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ff86d-939b5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_32fac-92f88;twoDevs;2;0;0;0;0;false;false
rev_a96ef-c67b0;twoDevs;2;2;0;0;0;true;false
rev_8ff6a-a5be5;oneDev;1;0;0;0;0;false;false
rev_8ff6a-a5be5;oneDev;1;0;0;0;0;false;false
rev_338c6-a5300;oneDev;1;0;0;0;0;false;false
rev_c081e-a9890;twoDevs;2;0;0;0;0;false;false
rev_9cb6e-7ed1c;twoDevs;2;0;0;0;0;false;false
rev_17c66-17d84;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b15aa-0024d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_71099-e44fb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_95a6d-68c31;twoDevs;2;0;0;0;0;false;false
rev_095a3-25549;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0bb4d-0652b;twoDevs;2;0;0;0;0;false;false
rev_dae61-27e80;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cf2db-d607b;twoDevs;2;0;0;0;0;false;false
