name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_79a2e-774c9;twoDevs;2;0;0;0;0;false;true
rev_41be2-e7dfc;oneDev;1;0;0;0;0;false;false
rev_2a1bf-b6951;twoDevs;2;0;0;0;0;false;false
rev_0e200-cc160;twoDevs;2;0;0;0;0;false;false
rev_91b6d-05eb6;twoDevs;2;0;0;0;0;false;false
rev_04c57-ce59c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_71b3a-b31b2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e4c49-627ba;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3b941-68e31;moreThanTwoDevs;4;0;0;0;0;false;false
rev_37440-5eec3;moreThanTwoDevs;6;3;2;2;2;true;false
rev_6d6f7-8f08f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1dcb6-bda49;twoDevs;2;0;0;0;0;false;false
rev_5e58e-a9062;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bdff3-f256c;moreThanTwoDevs;8;0;0;0;0;false;false
rev_6bba3-f256c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c6571-13ce0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_aea4c-6c52f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dd6f9-bd1f9;twoDevs;2;0;0;0;0;false;false
rev_0c73f-f0b4d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_84957-70ad7;moreThanTwoDevs;8;0;0;0;0;false;false
rev_ff779-56721;moreThanTwoDevs;4;0;0;0;0;false;false
rev_84f12-56721;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6c50e-79ff0;moreThanTwoDevs;9;0;0;0;0;false;false
rev_d80dd-da64a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1bfe8-90c03;moreThanTwoDevs;5;0;0;0;0;false;false
rev_53d3a-01d75;moreThanTwoDevs;6;0;0;0;0;false;false
rev_cf0b1-59da6;moreThanTwoDevs;6;0;0;0;0;false;false
rev_67907-26069;moreThanTwoDevs;7;0;0;0;0;false;false
rev_b3b60-26069;twoDevs;2;0;0;0;0;false;false
rev_3b6d3-05c3f;twoDevs;2;0;0;0;0;false;false
rev_3c603-61cdb;moreThanTwoDevs;7;0;0;0;0;false;false
rev_d64b2-b1c7e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b588d-28309;twoDevs;2;0;0;0;0;false;false
rev_9616d-0724d;moreThanTwoDevs;6;0;0;0;0;false;false
rev_afe48-462d3;twoDevs;2;0;0;0;0;false;false
rev_462d3-579a2;twoDevs;2;0;0;0;0;false;false
rev_6e57d-8abfd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6cb56-854b7;twoDevs;2;0;0;0;0;false;false
rev_63aaf-e3c01;moreThanTwoDevs;4;0;0;0;0;false;false
rev_17ae7-36dbb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8c919-36dbb;twoDevs;2;0;0;0;0;false;false
rev_36dbb-ef92d;twoDevs;2;0;0;0;0;false;false
rev_11f87-297ff;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5a8b9-4dbb3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_297ff-4dbb3;twoDevs;2;0;0;0;0;false;false
rev_bf4c5-0afcc;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6a8bc-abd8d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d9ed7-b7f21;moreThanTwoDevs;7;0;0;0;0;false;false
rev_55a13-79ff0;moreThanTwoDevs;8;0;0;0;0;false;false
rev_e6fe8-ca43b;twoDevs;2;0;0;0;0;false;false
rev_f358c-ca43b;twoDevs;2;0;0;0;0;false;false
rev_4dcca-ca43b;twoDevs;2;0;0;0;0;false;false
rev_378fe-120c5;moreThanTwoDevs;4;73;16;15;0;true;true
rev_f1e8f-83915;moreThanTwoDevs;3;0;0;0;0;false;false
rev_20375-e32e8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_88b8d-aeff2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9f57e-a9613;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c4301-fd649;twoDevs;2;0;0;0;0;false;false
rev_8effb-754bb;twoDevs;2;0;0;0;0;false;false
rev_21d38-0ff6e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d4ce5-f2a9e;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8c312-9c3be;moreThanTwoDevs;5;0;0;0;0;false;false
rev_237cb-27a0b;twoDevs;2;0;0;0;0;false;false
rev_6b15d-212f4;twoDevs;2;0;0;0;0;false;false
