name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_e4518-de436;oneDev;1;0;0;0;0;false;false
rev_1ee71-aebd8;oneDev;1;0;0;0;0;false;false
rev_ed6d1-a7373;oneDev;1;0;0;0;0;false;false
rev_5599e-1863b;oneDev;1;0;0;0;0;false;false
rev_f0b87-32020;oneDev;1;2;0;0;0;true;false
rev_b6354-198d8;oneDev;1;0;0;0;0;false;false
rev_48834-fa16f;oneDev;1;2;0;0;0;true;false
rev_8a2f3-f5793;oneDev;1;0;0;0;0;false;false
rev_5a02d-cd572;oneDev;1;0;0;0;0;false;false
rev_55ce4-25554;oneDev;1;3;0;0;0;true;false
rev_7ba3e-f779a;oneDev;1;0;0;0;0;false;false
rev_f5f27-e6b87;oneDev;1;0;0;0;0;false;false
rev_f5a47-4e92e;oneDev;1;0;0;0;0;false;false
rev_c041b-58c69;oneDev;1;0;0;0;0;false;false
rev_d8dc0-b3921;oneDev;1;0;0;0;0;false;false
rev_b3921-15f20;oneDev;1;0;0;0;0;false;false
rev_7be98-67542;twoDevs;2;0;0;0;0;false;false
rev_5601c-e8193;twoDevs;2;0;0;0;0;false;false
rev_8de90-affbe;oneDev;1;0;0;0;0;false;false
rev_12cb0-d34d0;twoDevs;2;0;0;0;0;false;false
rev_966d8-ce534;twoDevs;2;0;0;0;0;false;false
rev_ce9b7-7fc0e;oneDev;1;0;0;0;0;false;false
rev_14940-02a62;oneDev;1;0;0;0;0;false;false
rev_e0d33-26581;oneDev;1;0;0;0;0;false;false
rev_e103e-ba14a;oneDev;1;0;0;0;0;false;false
rev_12cbf-1ac7c;oneDev;1;0;0;0;0;false;false
rev_cd4e6-95fd1;oneDev;1;0;0;0;0;false;false
rev_b37ab-90386;oneDev;1;0;0;0;0;false;false
rev_6dfad-b2fc5;oneDev;1;0;0;0;0;false;false
rev_6d8b3-3b438;oneDev;1;0;0;0;0;false;false
rev_65c7d-11d7f;oneDev;1;0;0;0;0;false;false
rev_f62ce-52129;oneDev;1;0;0;0;0;false;false
rev_50d0d-d34a1;oneDev;1;0;0;0;0;false;false
rev_753d6-8561b;oneDev;1;0;0;0;0;false;false
rev_36826-7f986;oneDev;1;0;0;0;0;false;false
rev_b886e-2aaa8;oneDev;1;0;0;0;0;false;false
rev_07675-770f7;oneDev;1;0;0;0;0;false;false
rev_8a6cd-0b7f1;oneDev;1;0;0;0;0;false;false
rev_70896-ffbd6;oneDev;1;0;0;0;0;false;false
rev_74818-d2160;oneDev;1;0;0;0;0;false;false
rev_aaf70-40562;oneDev;1;0;0;0;0;false;false
rev_2ecc2-62bfc;oneDev;1;0;0;0;0;false;false
rev_f1f2e-8d183;oneDev;1;0;0;0;0;false;false
rev_4197f-7c6c9;oneDev;1;0;0;0;0;false;false
rev_fa592-07891;oneDev;1;0;0;0;0;false;false
rev_07891-eba4d;oneDev;1;0;0;0;0;false;false
rev_bd986-78537;oneDev;1;0;0;0;0;false;false
rev_78537-9c225;oneDev;1;0;0;0;0;false;false
rev_19950-34201;oneDev;1;0;0;0;0;false;false
rev_69596-38dd3;oneDev;1;0;0;0;0;false;false
rev_e3fba-26c10;oneDev;1;0;0;0;0;false;false
rev_5310b-ac997;twoDevs;2;0;0;0;0;false;false
rev_26c10-61710;twoDevs;2;0;0;0;0;false;false
rev_17da8-0fa6f;oneDev;1;0;0;0;0;false;false
rev_b4885-34541;oneDev;1;0;0;0;0;false;false
rev_9de2f-6adbd;oneDev;1;0;0;0;0;false;false
rev_37929-7960c;oneDev;1;0;0;0;0;false;false
rev_e9d8b-b8858;twoDevs;2;0;0;0;0;false;false
rev_4f81a-f0fae;twoDevs;2;0;0;0;0;false;false
rev_ad5ae-fa0a6;twoDevs;2;0;0;0;0;false;false
rev_05a64-35762;oneDev;1;0;0;0;0;false;false
rev_7b177-36330;twoDevs;2;0;0;0;0;false;false
rev_b391c-8e009;oneDev;1;0;0;0;0;false;false
rev_dc53e-7fdfb;oneDev;1;0;0;0;0;false;false
rev_45aca-2809d;oneDev;1;0;0;0;0;false;false
rev_40bee-06e13;oneDev;1;0;0;0;0;false;false
rev_78bf3-3bd90;oneDev;1;0;0;0;0;false;false
rev_b2b00-42e7a;twoDevs;2;0;0;0;0;false;false
rev_0ba7c-edc6d;oneDev;1;0;0;0;0;false;false
rev_78384-1b8d7;oneDev;1;0;0;0;0;false;false
rev_809a1-6d485;oneDev;1;0;0;0;0;false;false
rev_4166d-e5481;twoDevs;2;0;0;0;0;false;false
rev_7f252-e5062;oneDev;1;0;0;0;0;false;false
rev_d558b-1cd61;oneDev;1;0;0;0;0;false;false
rev_95a08-64b9e;oneDev;1;0;0;0;0;false;false
rev_50490-ea100;twoDevs;2;0;0;0;0;false;false
rev_9a217-b0401;twoDevs;2;0;0;0;0;false;false
rev_c4cde-73d6b;oneDev;1;0;0;0;0;false;false
rev_b1544-a8f90;oneDev;1;0;0;0;0;false;false
rev_aabfc-b343d;oneDev;1;0;0;0;0;false;false
rev_97cbd-c2819;oneDev;1;0;0;0;0;false;false
rev_8498d-dced0;oneDev;1;0;0;0;0;false;false
rev_e330d-f8927;oneDev;1;0;0;0;0;false;false
rev_9f5bf-4e647;oneDev;1;0;0;0;0;false;false
rev_88918-5e569;twoDevs;2;0;0;0;0;false;false
rev_636ea-889ab;twoDevs;2;0;0;0;0;false;false
rev_406b4-88fab;oneDev;1;0;0;0;0;false;false
rev_2e2a8-cd80b;oneDev;1;0;0;0;0;false;false
rev_b1af1-9c434;oneDev;1;0;0;0;0;false;false
rev_1e5a1-dd22a;oneDev;1;0;0;0;0;false;false
rev_febb8-227d9;oneDev;1;0;0;0;0;false;false
rev_a1f80-3380a;oneDev;1;0;0;0;0;false;false
rev_05ccf-ec43b;oneDev;1;0;0;0;0;false;false
rev_65849-f7de5;oneDev;1;0;0;0;0;false;false
rev_1ce45-fb296;oneDev;1;0;0;0;0;false;false
rev_f5117-b62cd;oneDev;1;0;0;0;0;false;false
rev_98ad9-8fe9d;oneDev;1;0;0;0;0;false;false
rev_f39cb-233c3;oneDev;1;0;0;0;0;false;false
rev_43829-c3b70;oneDev;1;0;0;0;0;false;false
rev_f4593-624b0;oneDev;1;0;0;0;0;false;false
rev_11e8d-8e530;oneDev;1;0;0;0;0;false;false
rev_7bf2b-ce84a;oneDev;1;0;0;0;0;false;false
rev_9a24b-35067;oneDev;1;0;0;0;0;false;false
rev_e2e71-c6e2b;oneDev;1;0;0;0;0;false;false
rev_e1a93-be2e9;oneDev;1;0;0;0;0;false;false
