name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_b56dd-a4975;oneDev;1;0;0;0;0;false;false
rev_66201-2b2c2;twoDevs;2;0;0;0;0;false;false
rev_dd7a6-ef95f;oneDev;1;0;0;0;0;false;false
rev_1a888-ef95f;oneDev;1;0;0;0;0;false;false
rev_e3efe-ef203;oneDev;1;0;0;0;0;false;false
rev_143c8-ef203;oneDev;1;0;0;0;0;false;false
rev_9dd90-db583;oneDev;1;0;0;0;0;false;false
rev_f7123-db583;oneDev;1;0;0;0;0;false;true
rev_b78e6-953e7;oneDev;1;0;0;0;0;false;false
rev_42ebb-953e7;oneDev;1;0;0;0;0;false;false
rev_56ae3-e5146;oneDev;1;0;0;0;0;false;false
rev_115f8-a4975;oneDev;1;0;0;0;0;false;false
rev_6e176-af56c;twoDevs;2;0;0;0;0;false;false
rev_3d508-af56c;oneDev;1;0;0;0;0;false;false
rev_b0ae3-0762f;oneDev;1;0;0;0;0;false;false
rev_f0105-0762f;oneDev;1;0;0;0;0;false;false
rev_6c258-fe068;oneDev;1;0;0;0;0;false;false
rev_a368b-fe068;oneDev;1;0;0;0;0;false;false
rev_0eb4d-79f2e;oneDev;1;0;0;0;0;false;false
rev_80ffd-79f2e;oneDev;1;0;0;0;0;false;false
rev_b08af-ee67d;oneDev;1;0;0;0;0;false;false
rev_6eda3-ee67d;oneDev;1;0;0;0;0;false;false
rev_ce084-047df;oneDev;1;0;0;0;0;false;false
rev_89ad3-047df;oneDev;1;0;0;0;0;false;false
rev_7f1bc-eb4da;oneDev;1;0;0;0;0;false;false
rev_17d90-eb4da;oneDev;1;0;0;0;0;false;true
rev_149a9-3c6fc;oneDev;1;0;0;0;0;false;false
rev_7b3e4-3c6fc;oneDev;1;0;0;0;0;false;false
rev_846f5-20f65;oneDev;1;0;0;0;0;false;false
rev_a2dbb-20f65;oneDev;1;0;0;0;0;false;false
rev_b3a47-452f9;oneDev;1;0;0;0;0;false;false
rev_e78e6-452f9;oneDev;1;0;0;0;0;false;false
rev_a103d-6ab4b;oneDev;1;0;0;0;0;false;false
rev_65038-6ab4b;oneDev;1;0;0;0;0;false;false
rev_8d131-5a3ff;oneDev;1;0;0;0;0;false;false
rev_5c0dc-fe294;twoDevs;2;0;0;0;0;false;false
rev_23558-0388b;twoDevs;2;0;0;0;0;false;false
rev_813ba-2bca0;twoDevs;2;0;0;0;0;false;false
rev_539a0-3c36d;twoDevs;2;0;0;0;0;false;false
rev_ca46b-e7697;twoDevs;2;0;0;0;0;false;false
rev_edfe4-00352;twoDevs;2;0;0;0;0;false;false
rev_6e614-48552;twoDevs;2;0;0;0;0;false;false
rev_29d74-15833;twoDevs;2;0;0;0;0;false;false
rev_2230c-938cb;twoDevs;2;1;0;0;0;true;false
rev_a6f03-a5fea;twoDevs;2;0;0;0;0;false;false
rev_f2a7f-79468;twoDevs;2;0;0;0;0;false;false
rev_f9efe-b93ae;twoDevs;2;0;0;0;0;false;false
rev_f8379-474b6;twoDevs;2;0;0;0;0;false;false
rev_5b207-a0621;twoDevs;2;0;0;0;0;false;false
rev_2d350-d0bcf;twoDevs;2;0;0;0;0;false;false
rev_def0d-88fa9;twoDevs;2;0;0;0;0;false;false
rev_2de2a-c0286;twoDevs;2;0;0;0;0;false;false
rev_318a5-7b0dd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ec419-98dca;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b0901-7b57d;twoDevs;2;0;0;0;0;false;false
rev_c0236-14cf8;twoDevs;2;0;0;0;0;false;false
rev_ccea2-9eede;twoDevs;2;0;0;0;0;false;false
rev_fc6ca-57124;moreThanTwoDevs;3;0;0;0;0;false;false
rev_707e5-89e63;moreThanTwoDevs;4;0;0;0;0;false;false
rev_14bef-fdb46;twoDevs;2;0;0;0;0;false;false
rev_329cb-866cb;twoDevs;2;0;0;0;0;false;false
rev_04165-6f3c3;twoDevs;2;0;0;0;0;false;false
rev_edb7d-e178f;twoDevs;2;0;0;0;0;false;false
rev_b3762-edf8e;twoDevs;2;0;0;0;0;false;false
rev_2a82a-f48a6;twoDevs;2;0;0;0;0;false;false
rev_21d2c-0fc70;twoDevs;2;0;0;0;0;false;false
rev_e648d-9892a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_cb5b7-2ac8b;twoDevs;2;0;0;0;0;false;false
rev_12ca9-b6b70;twoDevs;2;0;0;0;0;false;false
rev_c2677-8201d;twoDevs;2;0;0;0;0;false;false
rev_39604-ddcd4;twoDevs;2;0;0;0;0;false;false
rev_7e1f7-f1648;twoDevs;2;0;0;0;0;false;false
rev_ce090-0a644;twoDevs;2;0;0;0;0;false;false
rev_46fda-e0b9a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_39c48-a1ab1;twoDevs;2;0;0;0;0;false;false
rev_1a1db-2c788;twoDevs;2;0;0;0;0;false;false
rev_c7b83-94842;twoDevs;2;0;0;0;0;false;false
rev_acf82-e33be;twoDevs;2;0;0;0;0;false;false
rev_92a84-10021;twoDevs;2;0;0;0;0;false;false
rev_865fd-3ba6a;twoDevs;2;0;0;0;0;false;false
rev_879a2-2462c;twoDevs;2;0;0;0;0;false;false
rev_d4ea4-e54ca;twoDevs;2;0;0;0;0;false;false
rev_2da62-dfa19;twoDevs;2;0;0;0;0;false;false
rev_09a00-9c8b7;twoDevs;2;0;0;0;0;false;false
rev_f3c6d-2c008;twoDevs;2;0;0;0;0;false;false
rev_604e1-d21ae;twoDevs;2;0;0;0;0;false;false
rev_54f81-0abe0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_14088-e2313;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d2e05-1060c;twoDevs;2;0;0;0;0;false;false
rev_75a0d-4d02d;twoDevs;2;0;0;0;0;false;false
rev_4c9d6-2b5b4;twoDevs;2;0;0;0;0;false;false
rev_e457a-f3ade;twoDevs;2;0;0;0;0;false;false
rev_b0d6c-15b01;twoDevs;2;0;0;0;0;false;false
rev_5fe77-733a8;twoDevs;2;0;0;0;0;false;false
rev_96c58-45051;twoDevs;2;0;0;0;0;false;false
rev_1eac7-c30e6;twoDevs;2;0;0;0;0;false;false
rev_d81a2-68fdb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5aa5b-fe152;twoDevs;2;0;0;0;0;false;false
rev_cce95-eca47;twoDevs;2;0;0;0;0;false;false
rev_2da0a-1699d;moreThanTwoDevs;6;0;0;0;0;false;false
rev_90a84-392d1;twoDevs;2;0;0;0;0;false;false
rev_53ae1-af324;twoDevs;2;0;0;0;0;false;false
rev_925f9-e6f68;moreThanTwoDevs;3;0;0;0;0;false;false
rev_86fdf-47af0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_64a4a-6b52e;twoDevs;2;0;0;0;0;false;false
