name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_631c3-95753;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c8f54-6c819;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3e097-71ede;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e5066-3763a;twoDevs;2;0;0;0;0;false;false
rev_2d69a-2c341;twoDevs;2;0;0;0;0;false;false
rev_aea00-bcdfe;twoDevs;2;0;0;0;0;false;false
rev_afb34-a34c5;twoDevs;2;0;0;0;0;false;false
rev_d7f85-e7ec0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_83a51-8dd6f;moreThanTwoDevs;4;3;0;0;0;true;false
rev_09cc2-f07b1;twoDevs;2;0;0;0;0;false;false
rev_abab3-88a3f;moreThanTwoDevs;4;3;0;0;0;true;false
rev_88a3f-cb02c;moreThanTwoDevs;7;0;0;0;0;false;true
rev_b1475-217ca;moreThanTwoDevs;4;0;0;0;0;false;false
rev_52214-9c3b7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_9c3b7-70838;twoDevs;2;0;0;0;0;false;false
rev_34cb3-88bb0;moreThanTwoDevs;5;1;0;0;0;true;false
rev_88bb0-09e81;twoDevs;2;0;0;0;0;false;false
rev_e8d19-90b7f;twoDevs;2;0;0;0;0;false;false
rev_90b7f-6da04;twoDevs;2;0;0;0;0;false;false
rev_dd179-447df;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c30f0-cd1a8;twoDevs;2;0;0;0;0;false;false
rev_aa073-b7d43;moreThanTwoDevs;3;0;0;0;0;false;false
rev_701cc-cdda8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b228c-c6579;moreThanTwoDevs;5;0;0;0;0;false;false
rev_c6579-41310;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a48b6-6107b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_228b2-5e447;twoDevs;2;0;0;0;0;false;false
rev_4de6e-5902c;twoDevs;2;0;0;0;0;false;false
rev_7d277-e950c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1fb3b-25a4c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6c73d-25a4c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5b8bd-5e8bd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5e8bd-e22ac;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e7e5a-1ebd7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fbaff-a0dbd;moreThanTwoDevs;5;0;0;0;0;false;false
rev_01052-1a0ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_43682-f7a6a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f7a6a-6db99;twoDevs;2;0;0;0;0;false;false
rev_0ed08-81bc2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f4a41-091ed;moreThanTwoDevs;4;0;0;0;0;false;false
rev_dd258-5dcf9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_29a64-18692;moreThanTwoDevs;5;0;0;0;0;false;false
rev_5137a-61afd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_438b8-5c1b2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_72758-2a188;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2a188-a9b8d;twoDevs;2;0;0;0;0;false;false
rev_04492-82499;twoDevs;2;0;0;0;0;false;false
rev_3bfbc-9627f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_79e9f-700ce;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3de62-700ce;twoDevs;2;0;0;0;0;false;false
rev_d1f43-13547;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ae760-998f0;twoDevs;2;0;0;0;0;false;false
rev_47ac3-7e074;twoDevs;2;0;0;0;0;false;false
rev_8b31d-7e074;twoDevs;2;0;0;0;0;false;false
rev_6fc35-689ce;moreThanTwoDevs;3;0;0;0;0;false;false
rev_689ce-71665;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8a8b8-ac31a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d9e6f-07131;moreThanTwoDevs;4;0;0;0;0;false;false
rev_21613-07131;moreThanTwoDevs;4;0;0;0;0;false;false
rev_67fee-07131;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9b624-40c0b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ad6f9-77a3f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a1420-7f410;moreThanTwoDevs;4;39;13;6;3;true;false
rev_f3b04-ec034;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ec034-37417;twoDevs;2;0;0;0;0;false;false
rev_59dd9-ee733;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7439a-4a1f5;moreThanTwoDevs;4;2;0;0;0;true;false
rev_5f18f-673cf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f2cce-1bcf4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1bcf4-5e1ca;moreThanTwoDevs;4;0;0;0;0;false;false
rev_74057-da914;moreThanTwoDevs;5;0;0;0;0;false;false
rev_da914-27e09;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a7abd-8fc10;moreThanTwoDevs;5;0;0;0;0;false;false
rev_f946f-00e6a;moreThanTwoDevs;5;0;0;0;0;false;false
rev_f946f-9a22e;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e25b4-00e6a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_00e6a-3aef0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_393be-e8e50;moreThanTwoDevs;4;0;0;0;0;false;false
rev_58bc3-9f73c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7de5c-e8e50;moreThanTwoDevs;5;0;0;0;0;false;false
rev_1a9ed-7ec35;twoDevs;2;0;0;0;0;false;false
rev_d9f2e-4ec67;twoDevs;2;0;0;0;0;false;false
rev_f4e84-84bae;moreThanTwoDevs;5;0;0;0;0;false;false
rev_efd0d-9ac5e;moreThanTwoDevs;6;5;1;2;0;true;false
rev_9ac5e-6ff42;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ac93f-875df;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e519f-4f70b;moreThanTwoDevs;6;0;0;0;0;false;false
rev_1c927-875df;moreThanTwoDevs;7;4;2;1;1;true;false
rev_111df-e519f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_a9176-67080;moreThanTwoDevs;5;0;0;0;0;false;false
rev_a0b15-a665b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1963b-ce1d9;moreThanTwoDevs;4;1;0;0;0;true;false
rev_1b85e-ce1d9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_429e2-ce1d9;moreThanTwoDevs;6;1;0;0;0;true;false
rev_ff325-ce1d9;moreThanTwoDevs;7;5;1;3;0;true;false
rev_de4fc-77fbe;twoDevs;2;0;0;0;0;false;false
rev_ad1de-ee423;moreThanTwoDevs;3;0;0;0;0;false;false
rev_48538-152bf;twoDevs;2;0;0;0;0;false;false
rev_3fed8-548c9;twoDevs;2;0;0;0;0;false;false
rev_78041-5ee7c;moreThanTwoDevs;5;0;0;0;0;false;true
