name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_f2555-0622f;twoDevs;2;0;0;0;0;false;true
rev_849c0-2368d;twoDevs;2;0;0;0;0;false;false
rev_c3791-eb33c;oneDev;1;0;0;0;0;false;false
rev_2b76d-5b41b;twoDevs;2;0;0;0;0;false;false
rev_fc030-b288a;twoDevs;2;0;0;0;0;false;false
rev_e52a9-e9542;twoDevs;2;0;0;0;0;false;false
rev_6866d-8ceae;twoDevs;2;0;0;0;0;false;false
rev_a17a7-c2e1c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4b9bd-0910a;twoDevs;2;0;0;0;0;false;false
rev_c3b6b-e1df1;twoDevs;2;1;0;0;0;true;false
rev_b96bc-65a38;twoDevs;2;0;0;0;0;false;false
rev_0910a-01aad;twoDevs;2;0;0;0;0;false;false
rev_5e09b-661bc;twoDevs;2;0;0;0;0;false;false
rev_145c6-47f56;twoDevs;2;0;0;0;0;false;false
rev_5e09b-fee2a;twoDevs;2;0;0;0;0;false;false
rev_25b62-fee2a;twoDevs;2;0;0;0;0;false;false
rev_f1f7c-64473;twoDevs;2;0;0;0;0;false;false
rev_ea6c5-e1aaa;twoDevs;2;0;0;0;0;false;false
rev_e7a36-0632f;twoDevs;2;0;0;0;0;false;false
rev_c90c5-0c643;twoDevs;2;0;0;0;0;false;false
rev_9b294-bdc9f;twoDevs;2;0;0;0;0;false;false
rev_7f95e-ea997;twoDevs;2;0;0;0;0;false;false
rev_72d62-10e9a;twoDevs;2;0;0;0;0;false;false
rev_abcbd-ee09c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_78864-7f570;twoDevs;2;0;0;0;0;false;false
rev_f2615-603a9;twoDevs;2;0;0;0;0;false;false
rev_a7be1-93e44;moreThanTwoDevs;3;0;0;0;0;false;false
rev_92804-6b340;twoDevs;2;0;0;0;0;false;false
rev_2d82a-24f8a;twoDevs;2;0;0;0;0;false;false
rev_abd5b-29674;twoDevs;2;0;0;0;0;false;false
rev_657cf-35a13;moreThanTwoDevs;3;0;0;0;0;false;false
rev_179c3-0c3a1;moreThanTwoDevs;3;0;0;0;0;false;false
