name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_fe902-46814;twoDevs;2;0;0;0;0;false;false
rev_46814-b6e8b;twoDevs;2;0;0;0;0;false;false
rev_50247-17cfd;oneDev;1;0;0;0;0;false;true
rev_54570-712c1;twoDevs;2;0;0;0;0;false;false
rev_2f133-eae37;oneDev;1;0;0;0;0;false;false
rev_b6312-dca78;oneDev;1;0;0;0;0;false;false
rev_a8aaf-c8d90;twoDevs;2;0;0;0;0;false;false
rev_b5ab0-3f01f;twoDevs;2;0;0;0;0;false;false
rev_95261-c57bf;twoDevs;2;0;0;0;0;false;false
rev_3cd95-6f57f;twoDevs;2;0;0;0;0;false;false
rev_d211c-acf52;oneDev;1;0;0;0;0;false;false
rev_9f1ad-93b91;twoDevs;2;0;0;0;0;false;false
rev_da4ed-ccc42;twoDevs;2;0;0;0;0;false;false
rev_f9d78-bd70d;twoDevs;2;0;0;0;0;false;false
rev_0af0f-f087b;twoDevs;2;0;0;0;0;false;false
rev_b6fa2-c9bee;twoDevs;2;0;0;0;0;false;false
rev_befd0-b972d;twoDevs;2;0;0;0;0;false;false
rev_2e4ac-664a6;twoDevs;2;0;0;0;0;false;false
rev_cf8a7-8a542;twoDevs;2;0;0;0;0;false;false
rev_df835-b12bc;twoDevs;2;0;0;0;0;false;false
rev_0faf1-8b25c;twoDevs;2;0;0;0;0;false;false
rev_326bb-7593c;twoDevs;2;0;0;0;0;false;false
rev_3ca57-c5202;twoDevs;2;6;0;0;0;true;false
rev_2e2d5-8d028;twoDevs;2;0;0;0;0;false;false
rev_f6487-58f78;twoDevs;2;0;0;0;0;false;false
rev_631e5-be116;twoDevs;2;0;0;0;0;false;false
rev_2a93a-fbb32;twoDevs;2;0;0;0;0;false;false
rev_c3087-b39bc;twoDevs;2;0;0;0;0;false;false
rev_25608-e967d;twoDevs;2;0;0;0;0;false;false
rev_81fdf-25614;twoDevs;2;0;0;0;0;false;false
rev_ad296-0f8c6;twoDevs;2;0;0;0;0;false;false
rev_d5001-41828;twoDevs;2;0;0;0;0;false;false
rev_ac791-63567;twoDevs;2;0;0;0;0;false;false
rev_77483-b41a5;twoDevs;2;0;0;0;0;false;false
rev_39fdf-fc1b9;twoDevs;2;0;0;0;0;false;false
rev_24684-4b9c5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cac76-79cbf;twoDevs;2;0;0;0;0;false;false
rev_b90c6-f8b38;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c2e42-f8b38;twoDevs;2;0;0;0;0;false;false
rev_faed8-38e6c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_11cea-da7d3;twoDevs;2;0;0;0;0;false;false
rev_da7d3-f9382;moreThanTwoDevs;3;0;0;0;0;false;false
rev_86008-e89d8;twoDevs;2;0;0;0;0;false;false
rev_8b46d-3ff1c;twoDevs;2;0;0;0;0;false;false
rev_beea0-8c4d4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1724d-2e9dd;twoDevs;2;0;0;0;0;false;false
rev_ddbab-96bfc;twoDevs;2;0;0;0;0;false;false
rev_76d28-9e1c3;twoDevs;2;0;0;0;0;false;false
rev_4c2a7-9e1c3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9f3b2-709aa;moreThanTwoDevs;4;0;0;0;0;false;false
rev_60007-277d6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6e8d3-50221;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8b589-be957;twoDevs;2;0;0;0;0;false;false
rev_038d0-5a587;moreThanTwoDevs;3;0;0;0;0;false;false
rev_22ad4-496dd;moreThanTwoDevs;5;0;0;0;0;false;false
rev_d4520-8d23d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_827d6-1c857;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8de68-46bf2;moreThanTwoDevs;5;0;0;0;0;false;false
rev_fbf42-16732;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8bc03-08231;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ff28c-d7745;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3d366-6d151;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3d366-a93a5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_110eb-9d956;twoDevs;2;0;0;0;0;false;false
rev_61978-95064;twoDevs;2;0;0;0;0;false;false
rev_70e65-21d4f;twoDevs;2;0;0;0;0;false;false
rev_38890-04d98;twoDevs;2;0;0;0;0;false;false
rev_8b284-70b52;twoDevs;2;0;0;0;0;false;false
rev_5d7c5-0fb6b;moreThanTwoDevs;10;0;0;0;0;false;false
rev_5d7c5-6b6ce;moreThanTwoDevs;4;0;0;0;0;false;false
rev_eaca2-a0156;twoDevs;2;0;0;0;0;false;false
rev_1467f-353d1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_02dc4-cbcc2;moreThanTwoDevs;7;0;0;0;0;false;false
rev_3d4f9-0fe02;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d086b-fe950;twoDevs;2;0;0;0;0;false;false
rev_b2d09-81b92;twoDevs;2;0;0;0;0;false;false
rev_ebac7-23ae3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6eb84-523e0;twoDevs;2;0;0;0;0;false;false
rev_d9615-582ba;moreThanTwoDevs;3;0;0;0;0;false;false
rev_64c0e-356de;twoDevs;2;0;0;0;0;false;false
rev_eb12e-00f21;moreThanTwoDevs;3;0;0;0;0;false;false
rev_098f9-4e3f6;twoDevs;2;0;0;0;0;false;false
rev_d6ec5-93f80;twoDevs;2;0;0;0;0;false;false
rev_3652c-901a7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_59a62-5e8fe;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e2216-f2548;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ede39-648b7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b8af7-bd3b6;moreThanTwoDevs;3;0;0;0;0;false;false
