name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_adc3d-fb53a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f3e03-b9245;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bc6d9-6fe14;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1baee-a9452;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9ff4a-fae6e;twoDevs;2;0;0;0;0;false;false
rev_27172-18894;twoDevs;2;0;0;0;0;false;false
rev_73c58-f6b03;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b9ce3-ac0be;twoDevs;2;0;0;0;0;false;false
rev_df4a3-d95aa;twoDevs;2;0;0;0;0;false;false
rev_ecd41-68217;twoDevs;2;0;0;0;0;false;false
rev_2c582-7a8e4;twoDevs;2;0;0;0;0;false;false
rev_0d2d0-08108;twoDevs;2;0;0;0;0;false;false
rev_a1a30-1b260;twoDevs;2;0;0;0;0;false;false
rev_5259f-78c1d;twoDevs;2;0;0;0;0;false;true
rev_17e8b-23ca0;moreThanTwoDevs;11;4;0;0;0;true;true
rev_457f0-3701f;twoDevs;2;0;0;0;0;false;false
rev_f9973-1e14a;twoDevs;2;0;0;0;0;false;false
rev_897f6-017f4;twoDevs;2;0;0;0;0;false;false
rev_112f6-36a4c;twoDevs;2;0;0;0;0;false;false
rev_6a4c4-98166;twoDevs;2;0;0;0;0;false;false
rev_62395-dfd0e;twoDevs;2;0;0;0;0;false;true
rev_dfd0e-509b4;twoDevs;2;0;0;0;0;false;false
rev_dc642-3a907;twoDevs;2;0;0;0;0;false;false
rev_6dceb-24980;twoDevs;2;0;0;0;0;false;false
rev_653de-3335a;twoDevs;2;0;0;0;0;false;false
rev_bd6a7-50db4;twoDevs;2;0;0;0;0;false;false
rev_1839d-1dff1;twoDevs;2;0;0;0;0;false;false
rev_29a33-5717c;twoDevs;2;0;0;0;0;false;false
rev_5c5a2-3a9a6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7c87f-96e38;twoDevs;2;0;0;0;0;false;false
rev_feacc-7231e;twoDevs;2;0;0;0;0;false;false
rev_c68e3-332f3;twoDevs;2;0;0;0;0;false;false
rev_9882a-9a264;twoDevs;2;0;0;0;0;false;false
rev_e707e-3e760;twoDevs;2;0;0;0;0;false;false
