name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_91782-65aaa;twoDevs;2;0;0;0;0;false;false
rev_6e0c9-ec52a;twoDevs;2;0;0;0;0;false;false
rev_f5014-b47b2;twoDevs;2;0;0;0;0;false;false
rev_99501-c971d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3a10a-b8dae;twoDevs;2;0;0;0;0;false;false
rev_2eb05-b8dae;twoDevs;2;0;0;0;0;false;false
rev_621f5-76f09;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7dc6a-ebe17;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f4716-6d1b4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_59c71-722f2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7f93f-1b82c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_57cf4-1c94e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9a167-1e0b6;twoDevs;2;0;0;0;0;false;false
rev_f41cb-66cc4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_66cc4-a6d7e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_322dd-f116c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dd64d-8ff80;moreThanTwoDevs;7;2;0;0;0;true;false
rev_c01b2-cebd3;moreThanTwoDevs;3;12;0;2;0;true;false
rev_8eed3-cebd3;twoDevs;2;0;0;0;0;false;false
rev_b0d7a-6abba;twoDevs;2;0;0;0;0;false;false
rev_d5876-b8130;moreThanTwoDevs;3;9;0;0;0;true;false
rev_4601a-839a5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1416f-839a5;twoDevs;2;0;0;0;0;false;false
rev_ad284-02547;twoDevs;2;0;0;0;0;false;false
rev_7490c-18860;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8d0b4-811f9;moreThanTwoDevs;5;0;0;0;0;false;true
rev_6c552-64bb1;moreThanTwoDevs;4;1;0;0;0;true;false
rev_b8776-31253;moreThanTwoDevs;3;18;8;0;0;true;true
rev_03fa9-6b159;twoDevs;2;0;0;0;0;false;false
rev_eb044-52dc0;twoDevs;2;0;0;0;0;false;false
rev_229f5-70720;twoDevs;2;0;0;0;0;false;false
rev_110e1-738e6;moreThanTwoDevs;4;15;0;1;0;true;true
rev_4ece7-81101;twoDevs;2;1;0;0;0;true;false
rev_738e6-c9849;twoDevs;2;0;0;0;0;false;false
rev_ab48a-841ba;twoDevs;2;0;0;0;0;false;false
rev_49301-62991;twoDevs;2;0;0;0;0;false;false
rev_b74d1-57175;twoDevs;2;0;0;0;0;false;false
rev_78ad0-cf209;twoDevs;2;0;0;0;0;false;false
rev_cc1e4-f3518;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2e5e6-d9afb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_27ceb-43534;moreThanTwoDevs;5;30;1;1;1;true;true
rev_3f1fa-95200;twoDevs;2;0;0;0;0;false;false
rev_afaee-88025;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ed6d5-1f0c0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4c378-fc18c;moreThanTwoDevs;3;0;0;0;0;false;false
