name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_2722f-8f289;moreThanTwoDevs;7;0;0;0;0;false;true
rev_7de6e-c757b;twoDevs;2;0;0;0;0;false;false
rev_4ac44-ab7df;twoDevs;2;0;0;0;0;false;false
rev_ffb10-a8a86;twoDevs;2;0;0;0;0;false;false
rev_f170a-2b31d;moreThanTwoDevs;5;0;0;0;0;false;true
rev_0a879-4215d;twoDevs;2;0;0;0;0;false;false
rev_00459-0f405;twoDevs;2;0;0;0;0;false;false
rev_e7da2-68e3a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fc700-85392;twoDevs;2;0;0;0;0;false;false
rev_7c28a-bc662;oneDev;1;0;0;0;0;false;false
rev_9a283-cf9ab;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bf5b2-eaa8f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3276b-7c2ce;twoDevs;2;0;0;0;0;false;false
rev_c82e8-5aa23;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8b3ee-4fda6;twoDevs;2;0;0;0;0;false;false
rev_9c913-39b01;twoDevs;2;0;0;0;0;false;false
rev_51004-c3379;twoDevs;2;0;0;0;0;false;false
rev_f6ca1-7939c;twoDevs;2;0;0;0;0;false;false
rev_79e76-79c42;moreThanTwoDevs;3;0;0;0;0;false;false
rev_68acc-cfce0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_72cdf-36e5b;moreThanTwoDevs;11;0;0;0;0;false;true
rev_72cdf-af63b;twoDevs;2;0;0;0;0;false;false
rev_1faad-7d502;moreThanTwoDevs;5;0;0;0;0;false;false
rev_7d502-c6891;twoDevs;2;0;0;0;0;false;false
rev_26816-db055;twoDevs;2;0;0;0;0;false;false
rev_e1778-7f5f8;twoDevs;2;0;0;0;0;false;false
rev_bd4f9-9b5c5;twoDevs;2;0;0;0;0;false;false
rev_f432d-ae796;twoDevs;2;0;0;0;0;false;false
rev_e78d1-f9348;twoDevs;2;0;0;0;0;false;false
rev_840a8-f8ab5;twoDevs;2;0;0;0;0;false;false
rev_0dada-ddcda;moreThanTwoDevs;6;1;1;0;0;true;false
rev_041ef-ddcda;twoDevs;2;0;0;0;0;false;false
rev_2f243-c6b73;moreThanTwoDevs;5;0;0;0;0;false;false
rev_617e0-c6b73;twoDevs;2;0;0;0;0;false;false
rev_3de55-e1ce3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6feaa-e1ce3;twoDevs;2;0;0;0;0;false;false
rev_4122a-6d226;moreThanTwoDevs;4;0;0;0;0;false;false
