name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_31f43-9b91a;twoDevs;2;0;0;0;0;false;false
rev_38af3-9424d;twoDevs;2;0;0;0;0;false;false
rev_5373b-1dc81;twoDevs;2;0;0;0;0;false;false
rev_ce090-ed01b;twoDevs;2;0;0;0;0;false;false
rev_d7d59-e5c92;twoDevs;2;0;0;0;0;false;false
rev_f6509-f9d3c;moreThanTwoDevs;4;1;0;0;0;true;false
rev_f530e-b4759;twoDevs;2;0;0;0;0;false;false
rev_f1daf-34b92;twoDevs;2;0;0;0;0;false;false
rev_77d08-770db;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8790d-770db;moreThanTwoDevs;4;0;0;0;0;false;true
rev_26fdf-bb804;twoDevs;2;0;0;0;0;false;false
rev_88498-dfd73;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0d1b1-80cad;moreThanTwoDevs;3;0;0;0;0;false;false
rev_21a69-2ac06;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f90a3-6fea2;twoDevs;2;0;0;0;0;false;false
rev_614f5-10588;moreThanTwoDevs;8;12;1;1;0;true;true
rev_2639b-6c8d0;moreThanTwoDevs;4;4;0;1;0;true;true
rev_4a8cd-bdd83;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e8d3c-a4625;twoDevs;2;0;0;0;0;false;true
rev_5c5f9-c2455;twoDevs;2;0;0;0;0;false;false
rev_d707b-7395c;twoDevs;2;0;0;0;0;false;false
rev_05862-50815;twoDevs;2;1;0;0;0;true;true
rev_7cbc8-3d8d6;moreThanTwoDevs;4;3;0;1;0;true;true
rev_cde49-561ae;twoDevs;2;0;0;0;0;false;false
rev_51d5f-aaa28;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5a838-23266;moreThanTwoDevs;5;1;0;0;0;true;true
rev_23204-a2c60;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a1b49-62a1a;twoDevs;2;0;0;0;0;false;false
rev_ffcbc-c4f42;twoDevs;2;0;0;0;0;false;false
rev_6e1d5-03a50;moreThanTwoDevs;3;0;0;0;0;false;false
rev_583b2-13f7e;twoDevs;2;0;0;0;0;false;false
rev_06214-13f7e;twoDevs;2;6;1;1;0;true;true
rev_5a296-94e93;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5a296-94e93;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b6946-22312;twoDevs;2;0;0;0;0;false;false
rev_083a0-837a1;twoDevs;2;0;0;0;0;false;false
rev_424a0-c4513;twoDevs;2;0;0;0;0;false;false
rev_49ced-bcdbd;twoDevs;2;0;0;0;0;false;false
rev_c8821-e88ca;twoDevs;2;0;0;0;0;false;false
rev_83a33-9bb7c;twoDevs;2;0;0;0;0;false;false
rev_36d5f-75914;twoDevs;2;0;0;0;0;false;false
rev_bb569-75914;moreThanTwoDevs;6;1;0;0;0;true;true
rev_498a8-377cc;twoDevs;2;1;1;0;0;true;false
rev_28d3c-bb927;moreThanTwoDevs;3;1;0;1;0;true;true
rev_1c658-60f7d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fbc0e-668f1;moreThanTwoDevs;5;0;0;0;0;false;false
rev_151fd-bb927;moreThanTwoDevs;3;0;0;0;0;false;true
rev_7cdd8-5ec9f;moreThanTwoDevs;6;0;0;0;0;false;false
rev_189a0-3b27a;twoDevs;2;0;0;0;0;false;true
rev_95627-e76ed;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0572d-b32af;twoDevs;2;0;0;0;0;false;false
rev_18ee5-85e0a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8979d-eed0d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f27d4-db599;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9ede4-8703a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b58ef-bb7bd;oneDev;1;0;0;0;0;false;true
rev_9ef03-a2265;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4b89b-66fe0;twoDevs;2;0;0;0;0;false;true
rev_f43ac-c6190;moreThanTwoDevs;3;0;0;0;0;false;false
rev_84c80-c2b11;moreThanTwoDevs;4;0;0;0;0;false;false
rev_88bc7-94d68;moreThanTwoDevs;5;2;0;1;0;true;true
rev_e8651-2e18d;moreThanTwoDevs;5;0;0;0;0;false;false
rev_4cb9c-93266;twoDevs;2;0;0;0;0;false;true
rev_6d796-b7572;twoDevs;2;0;0;0;0;false;false
rev_50c0b-b0752;moreThanTwoDevs;3;0;0;0;0;false;true
rev_b0752-d73f5;oneDev;1;1;0;0;0;true;true
rev_88422-5f03a;moreThanTwoDevs;3;6;0;3;0;true;true
rev_c25a8-7bd35;moreThanTwoDevs;3;0;0;0;0;false;true
rev_c2a1d-2c5e0;twoDevs;2;0;0;0;0;false;false
