name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_31754-7b640;twoDevs;2;1;0;0;0;true;false
rev_b95a9-413d1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f7a17-1a634;twoDevs;2;0;0;0;0;false;false
rev_8cffd-a9224;twoDevs;2;0;0;0;0;false;false
rev_cd6da-3002c;twoDevs;2;0;0;0;0;false;false
rev_4c0b2-0559a;twoDevs;2;4;0;1;0;true;false
rev_001ae-f787a;twoDevs;2;0;0;0;0;false;false
rev_a86ed-fb997;twoDevs;2;0;0;0;0;false;false
rev_c9cde-f0ead;twoDevs;2;0;0;0;0;false;false
rev_c917b-ddd5c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_566b0-65fc7;twoDevs;2;2;1;0;0;true;false
rev_c3fdb-0739a;twoDevs;2;0;0;0;0;false;false
rev_8aa39-672d4;moreThanTwoDevs;3;1;0;0;0;true;false
rev_8c2b6-3d8e9;twoDevs;2;0;0;0;0;false;false
rev_e2889-f3f9e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1bc8e-1ada1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_86de9-eb717;twoDevs;2;0;0;0;0;false;false
rev_95d84-5d6fd;twoDevs;2;0;0;0;0;false;false
rev_b757a-d770c;twoDevs;2;0;0;0;0;false;false
rev_81822-a5f9a;twoDevs;2;0;0;0;0;false;false
rev_e8106-d5bcc;oneDev;1;0;0;0;0;false;false
rev_9b9dd-defa6;twoDevs;2;0;0;0;0;false;false
rev_df143-cf02a;oneDev;1;2;0;1;0;true;false
rev_b89dd-5d669;moreThanTwoDevs;6;0;0;0;0;false;false
rev_921f2-af980;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7fdcf-34944;moreThanTwoDevs;4;0;0;0;0;false;false
rev_33177-298a4;oneDev;1;0;0;0;0;false;false
rev_0a536-48458;oneDev;1;0;0;0;0;false;false
rev_bfc06-3163d;twoDevs;2;0;0;0;0;false;false
rev_d0222-3d1eb;oneDev;1;0;0;0;0;false;false
rev_02477-b2996;twoDevs;2;0;0;0;0;false;false
rev_aad38-54b0a;twoDevs;2;0;0;0;0;false;false
rev_85c42-3008d;moreThanTwoDevs;7;0;0;0;0;false;false
rev_cd011-4b58c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_10aba-0d6d3;twoDevs;2;0;0;0;0;false;false
rev_4047e-fdc81;twoDevs;2;0;0;0;0;false;false
rev_abf54-30f04;twoDevs;2;2;1;0;0;true;false
rev_e1d03-72e01;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9fec3-85432;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3c95b-db9cf;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9b97d-9b2e2;moreThanTwoDevs;8;0;0;0;0;false;true
rev_12d63-1ad64;moreThanTwoDevs;3;0;0;0;0;false;false
rev_76bd2-6a5d8;twoDevs;2;0;0;0;0;false;false
rev_03739-2a218;moreThanTwoDevs;3;0;0;0;0;false;false
