name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_84ab7-93470;twoDevs;2;0;0;0;0;false;false
rev_391be-51481;twoDevs;2;0;0;0;0;false;false
rev_0aa63-5caee;twoDevs;2;0;0;0;0;false;false
rev_551a4-f1670;twoDevs;2;0;0;0;0;false;false
rev_a5b56-196c3;twoDevs;2;0;0;0;0;false;false
rev_3aaf6-b1c3e;twoDevs;2;0;0;0;0;false;true
rev_2b161-ffbe5;twoDevs;2;0;0;0;0;false;false
rev_1d43c-f55a1;twoDevs;2;0;0;0;0;false;false
rev_f4fb8-ed6f5;moreThanTwoDevs;4;0;0;0;0;false;true
rev_210e1-df594;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2a84e-89364;twoDevs;2;0;0;0;0;false;false
rev_9c791-4ad28;moreThanTwoDevs;3;1;1;1;1;true;false
rev_981c7-4c7b8;twoDevs;2;0;0;0;0;false;false
rev_9ba9b-b17a9;twoDevs;2;0;0;0;0;false;false
rev_b0ed9-16ccb;oneDev;1;0;0;0;0;false;false
rev_bb46b-02148;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ea77e-cb612;twoDevs;2;0;0;0;0;false;true
rev_2d072-0b33f;twoDevs;2;0;0;0;0;false;false
rev_e65a4-fe182;twoDevs;2;0;0;0;0;false;false
rev_f023a-ad8ab;twoDevs;2;0;0;0;0;false;false
rev_ad8ab-ea77e;twoDevs;2;0;0;0;0;false;true
rev_b64e2-227ee;twoDevs;2;0;0;0;0;false;false
rev_12287-1d38b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b1782-77d5d;twoDevs;2;0;0;0;0;false;false
rev_4d16e-04ede;moreThanTwoDevs;6;0;0;0;0;false;true
rev_3a576-c695e;twoDevs;2;0;0;0;0;false;true
rev_d2f47-964cf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d9d22-6e016;moreThanTwoDevs;3;0;0;0;0;false;false
rev_40379-01a04;moreThanTwoDevs;3;0;0;0;0;false;true
rev_944e9-01a04;moreThanTwoDevs;5;20;2;1;0;true;true
rev_66707-fd46f;twoDevs;2;0;0;0;0;false;false
rev_01a04-ac0b3;twoDevs;2;0;0;0;0;false;false
rev_1d90f-2ac90;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3f71d-7a132;twoDevs;2;0;0;0;0;false;false
rev_97ffc-26a02;twoDevs;2;0;0;0;0;false;false
rev_0f98d-3d385;twoDevs;2;0;0;0;0;false;false
rev_685a6-f4880;twoDevs;2;0;0;0;0;false;false
rev_814e3-cfa67;oneDev;1;0;0;0;0;false;false
rev_2debf-b4183;twoDevs;2;0;0;0;0;false;false
rev_3b24e-5f864;oneDev;1;0;0;0;0;false;false
rev_63727-5ddc0;twoDevs;2;0;0;0;0;false;false
rev_ad08b-33717;twoDevs;2;0;0;0;0;false;false
rev_889c6-e4fe4;twoDevs;2;0;0;0;0;false;false
rev_112f9-446a3;oneDev;1;0;0;0;0;false;false
rev_1f20b-03f60;twoDevs;2;0;0;0;0;false;false
rev_eb3a9-20984;twoDevs;2;0;0;0;0;false;false
rev_6d0c5-20648;twoDevs;2;0;0;0;0;false;true
rev_fa01a-d29fe;twoDevs;2;0;0;0;0;false;false
rev_7abbd-6bebf;twoDevs;2;0;0;0;0;false;true
rev_6828a-3e6ae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3e6ae-56707;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0de1a-895c5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d48c5-1e344;moreThanTwoDevs;3;0;0;0;0;false;false
rev_85d7e-7d00a;twoDevs;2;0;0;0;0;false;false
rev_d3599-6c060;twoDevs;2;0;0;0;0;false;false
rev_14289-a0fca;twoDevs;2;0;0;0;0;false;false
rev_b6246-92c7c;twoDevs;2;0;0;0;0;false;false
