name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_4dc36-1041b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c5fa7-6c3f9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8864e-699c8;twoDevs;2;0;0;0;0;false;false
rev_01aad-cff5f;twoDevs;2;0;0;0;0;false;false
rev_8dcd5-4fd00;oneDev;1;0;0;0;0;false;false
rev_0b622-3f145;moreThanTwoDevs;3;0;0;0;0;false;false
rev_014db-a530e;twoDevs;2;0;0;0;0;false;false
rev_b5b4a-81243;twoDevs;2;0;0;0;0;false;false
rev_97615-33361;twoDevs;2;0;0;0;0;false;false
rev_b2fd3-b48d1;twoDevs;2;0;0;0;0;false;false
rev_a658d-6e4a6;twoDevs;2;0;0;0;0;false;false
rev_030f6-74e54;moreThanTwoDevs;5;0;0;0;0;false;false
rev_19ffb-1edf9;oneDev;1;0;0;0;0;false;true
rev_0c13a-2ead6;twoDevs;2;0;0;0;0;false;false
rev_b67d1-ad37d;twoDevs;2;0;0;0;0;false;false
rev_b616c-338fc;twoDevs;2;0;0;0;0;false;false
rev_e5912-d3e1c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_27007-4095a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1e2f4-d505e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_49fbc-2f2cd;twoDevs;2;0;0;0;0;false;false
rev_72c15-9e163;twoDevs;2;0;0;0;0;false;false
rev_694c9-54e37;twoDevs;2;0;0;0;0;false;false
rev_f4ef2-ebb85;twoDevs;2;0;0;0;0;false;false
rev_c2fae-f1676;moreThanTwoDevs;3;0;0;0;0;false;false
rev_36448-090e4;twoDevs;2;0;0;0;0;false;false
rev_03ad9-7a7b3;twoDevs;2;0;0;0;0;false;false
rev_018df-60aff;twoDevs;2;0;0;0;0;false;false
rev_56a7f-70ebd;twoDevs;2;0;0;0;0;false;false
