name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_23b95-82dc2;twoDevs;2;0;0;0;0;false;false
rev_00bf0-7b71c;twoDevs;2;0;0;0;0;false;false
rev_972bd-0f9a7;twoDevs;2;0;0;0;0;false;false
rev_4b375-c691e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_364b1-78aa9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_166df-a7d3d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_99fbe-16a05;moreThanTwoDevs;3;0;0;0;0;false;false
rev_12f2b-ad12e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_abfba-14182;twoDevs;2;0;0;0;0;false;false
rev_1e53b-cb191;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b5aaf-fa4cc;twoDevs;2;0;0;0;0;false;false
rev_8a650-5edf2;twoDevs;2;0;0;0;0;false;false
rev_9a669-c8c7b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_316c5-4172e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2beef-0a26f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2beef-15409;twoDevs;2;0;0;0;0;false;false
rev_75880-b4864;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dfad9-83777;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9dc17-f9640;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d63bc-16720;moreThanTwoDevs;5;0;0;0;0;false;false
rev_abb18-d15f4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6db15-3c82b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d6d81-395b2;moreThanTwoDevs;5;0;0;0;0;false;false
rev_abf07-c29fb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0b463-23a87;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d3b0a-8a025;moreThanTwoDevs;3;0;0;0;0;false;false
rev_09dfd-02e5c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_06864-21197;twoDevs;2;0;0;0;0;false;false
rev_52edc-c3804;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1a5dd-b85e7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6b3fd-2bd4d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_af634-1a22e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_616e6-cc079;twoDevs;2;0;0;0;0;false;false
rev_502f4-09ec7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_abf30-e2204;moreThanTwoDevs;3;0;0;0;0;false;false
rev_95145-6176b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_542a8-40469;moreThanTwoDevs;3;0;0;0;0;false;false
rev_856b9-fb1d4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bda0f-4ac82;twoDevs;2;0;0;0;0;false;false
rev_3df63-cd5c3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9c2c1-a85d8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7250c-c0c50;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1d46a-edd05;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8e840-dc863;moreThanTwoDevs;4;0;0;0;0;false;false
rev_71512-85575;twoDevs;2;0;0;0;0;false;false
rev_29cd3-b02a7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0b932-87f40;moreThanTwoDevs;5;0;0;0;0;false;false
rev_00220-06107;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d61a1-0c99f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8cb2d-d5a0d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_80de1-00576;moreThanTwoDevs;3;0;0;0;0;false;false
rev_80de1-f701e;twoDevs;2;0;0;0;0;false;false
rev_cb3b0-9892b;moreThanTwoDevs;3;1;0;0;0;true;false
rev_63315-99049;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4c6b8-e4b64;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f011b-b7123;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8bb76-1879e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c393b-90379;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ebaa4-b4a77;twoDevs;2;0;0;0;0;false;false
rev_ebaa4-acbcc;twoDevs;2;0;0;0;0;false;false
rev_2fd0b-43e4c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4ca0f-ada6e;twoDevs;2;0;0;0;0;false;false
rev_80235-9aa98;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fd4ee-34c96;twoDevs;2;0;0;0;0;false;false
rev_5dd63-5fde4;twoDevs;2;0;0;0;0;false;false
rev_28997-fdf58;twoDevs;2;0;0;0;0;false;false
rev_7316c-bc4e1;twoDevs;2;0;0;0;0;false;false
rev_2b6d9-d9cd6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_84c1f-a8b69;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2daed-84615;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2daed-5b8ac;twoDevs;2;0;0;0;0;false;false
rev_4de90-fe6ea;twoDevs;2;0;0;0;0;false;false
rev_ee832-b8eb9;twoDevs;2;0;0;0;0;false;false
rev_d6f96-49858;twoDevs;2;0;0;0;0;false;false
rev_d6f96-854c1;twoDevs;2;0;0;0;0;false;false
rev_6ac5f-dd4ec;twoDevs;2;0;0;0;0;false;false
rev_c2c03-0efe8;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e356b-2bb55;moreThanTwoDevs;7;3;0;0;0;true;true
rev_b1fe9-5d4ca;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5ab34-8d3e0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b3d7f-d6b39;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d657b-dd3e6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_34b53-53c63;moreThanTwoDevs;3;0;0;0;0;false;false
rev_54576-6a12b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_345a6-996e0;twoDevs;2;0;0;0;0;false;false
rev_345a6-58aee;twoDevs;2;0;0;0;0;false;false
rev_5cfb9-db5c6;twoDevs;2;0;0;0;0;false;false
rev_2646e-85162;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3bd12-e220f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3bd12-91224;twoDevs;2;0;0;0;0;false;false
rev_2ec02-792c9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_481f4-c8764;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7510a-5ca59;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d7e7b-bf49d;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8db2a-267b9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_19edd-fe50e;moreThanTwoDevs;9;0;0;0;0;false;true
rev_66895-232fd;moreThanTwoDevs;4;0;0;0;0;false;true
rev_880c8-7e1bd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5c782-2954a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_386c5-ccb45;moreThanTwoDevs;3;0;0;0;0;false;false
rev_55d8f-0875b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_72039-6b07a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_71aac-e99e2;moreThanTwoDevs;5;1;0;0;0;true;true
rev_71aac-0d2ee;twoDevs;2;0;0;0;0;false;false
rev_1a13c-a7a41;moreThanTwoDevs;3;0;0;0;0;false;false
rev_52ad8-679d6;moreThanTwoDevs;3;0;0;0;0;false;false
