name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_25652-20808;moreThanTwoDevs;15;0;0;0;0;false;true
rev_92e86-50511;moreThanTwoDevs;4;0;0;0;0;false;true
rev_65072-a3ca4;moreThanTwoDevs;6;0;0;0;0;false;false
rev_21469-ac058;moreThanTwoDevs;6;0;0;0;0;false;false
rev_5450e-80dac;moreThanTwoDevs;7;0;0;0;0;false;false
rev_f2312-874d7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_874d7-d44e5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a661e-7a522;twoDevs;2;0;0;0;0;false;false
rev_22599-76567;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7dd11-de318;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7dcad-d19e4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3bf74-ca43b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f2586-3d8f9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3ba1d-43149;moreThanTwoDevs;7;0;0;0;0;false;false
rev_a8fce-46d5b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8c26d-14877;twoDevs;2;0;0;0;0;false;false
rev_b4b01-39452;twoDevs;2;0;0;0;0;false;false
rev_e1e14-1caba;moreThanTwoDevs;3;0;0;0;0;false;false
rev_02f8e-390cb;moreThanTwoDevs;5;0;0;0;0;false;false
rev_390cb-ffa20;twoDevs;2;0;0;0;0;false;false
rev_cc678-a552b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7c321-78e1e;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f51bc-f9a8e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_50137-f2332;moreThanTwoDevs;4;0;0;0;0;false;true
rev_f2332-00a95;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a7d40-4b903;twoDevs;2;0;0;0;0;false;false
rev_2a3b4-39283;moreThanTwoDevs;9;0;0;0;0;false;false
rev_487e7-e5c29;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c7f53-fef31;moreThanTwoDevs;4;0;0;0;0;false;false
rev_14ebd-bd88e;twoDevs;2;0;0;0;0;false;false
rev_75940-5606d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bee63-5ed42;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7f374-f8648;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f8648-8a70c;twoDevs;2;0;0;0;0;false;false
rev_ac537-7f809;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0f945-5e6a2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bf280-b8e7d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b65e2-b8e7d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b8e7d-df733;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7a01f-d55f6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d55f6-3893b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7db1a-d1dff;moreThanTwoDevs;6;0;0;0;0;false;false
rev_76c38-01666;moreThanTwoDevs;14;0;0;0;0;false;false
rev_01666-3674a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_62d17-ffa95;moreThanTwoDevs;3;0;0;0;0;false;false
rev_62d17-cead4;moreThanTwoDevs;10;0;0;0;0;false;true
rev_ca800-d13be;moreThanTwoDevs;6;0;0;0;0;false;false
rev_a5e10-c6852;twoDevs;2;0;0;0;0;false;false
rev_320c6-33189;twoDevs;2;0;0;0;0;false;false
rev_bcb3f-1e48c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0b92b-8a601;moreThanTwoDevs;3;0;0;0;0;false;false
rev_03e32-64ae5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_09f0c-bce2d;twoDevs;2;0;0;0;0;false;false
rev_e13bd-e91c8;moreThanTwoDevs;9;0;0;0;0;false;false
rev_840a0-e2727;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3d2ab-7c08f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_10498-5ec90;moreThanTwoDevs;3;0;0;0;0;false;false
rev_547b9-df069;moreThanTwoDevs;3;0;0;0;0;false;false
rev_64a22-6b222;moreThanTwoDevs;5;0;0;0;0;false;false
rev_f5fe9-7c4cf;twoDevs;2;0;0;0;0;false;false
rev_29ae9-8296f;moreThanTwoDevs;9;0;0;0;0;false;false
rev_8296f-a6ace;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ab023-68dd8;moreThanTwoDevs;6;0;0;0;0;false;false
