name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_13fd5-06150;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bbff1-f8730;twoDevs;2;0;0;0;0;false;false
rev_e7ad4-db988;moreThanTwoDevs;3;0;0;0;0;false;true
rev_0cf83-94ffb;twoDevs;2;0;0;0;0;false;false
rev_810f9-e4820;moreThanTwoDevs;3;0;0;0;0;false;false
rev_adbed-941ca;moreThanTwoDevs;3;0;0;0;0;false;false
rev_85380-2ed4f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5d112-5e5ff;twoDevs;2;0;0;0;0;false;false
rev_84ccb-1ff23;twoDevs;2;2;0;0;0;true;false
rev_81429-5a191;moreThanTwoDevs;3;0;0;0;0;false;false
rev_447f9-fb8dd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8e9a2-f5b5e;oneDev;1;0;0;0;0;false;false
rev_80a89-6fc6d;twoDevs;2;0;0;0;0;false;false
rev_917e0-a8dc4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1c7fd-ca04e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c44bb-7d07b;twoDevs;2;0;0;0;0;false;false
rev_28fde-f3dcc;twoDevs;2;0;0;0;0;false;false
rev_9b9f4-b244d;twoDevs;2;0;0;0;0;false;false
rev_96ba2-1cbca;moreThanTwoDevs;6;4;0;0;0;true;false
rev_786ad-b7da4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4ab58-ebc19;moreThanTwoDevs;4;0;0;0;0;false;false
rev_50278-b1d83;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b8de9-b3578;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a78bf-72155;oneDev;1;0;0;0;0;false;false
rev_3f3ae-a965c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ff2ea-a808a;oneDev;1;0;0;0;0;false;false
rev_78485-aea12;oneDev;1;0;0;0;0;false;false
rev_7166e-2f32b;twoDevs;2;0;0;0;0;false;false
rev_43847-35d39;moreThanTwoDevs;3;1;0;0;0;true;false
rev_ad3d9-823a6;twoDevs;2;1;0;0;0;true;true
rev_c70ee-d0a82;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5430f-2e486;moreThanTwoDevs;3;6;0;1;0;true;false
rev_14ef8-b14bf;oneDev;1;0;0;0;0;false;false
rev_25b39-6f6b5;twoDevs;2;0;0;0;0;false;false
rev_c1cec-b0b55;twoDevs;2;3;0;1;0;true;false
rev_7c76c-ce06d;twoDevs;2;1;0;0;0;true;false
rev_43161-7957f;twoDevs;2;5;0;2;0;true;false
rev_28c06-df4be;oneDev;1;0;0;0;0;false;false
rev_31d9b-ccb97;oneDev;1;0;0;0;0;false;true
rev_8bf15-bdb40;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ff349-35ed0;moreThanTwoDevs;3;0;0;0;0;false;true
rev_3de65-a5ac2;moreThanTwoDevs;4;0;0;0;0;false;true
rev_67b1c-de456;moreThanTwoDevs;4;0;0;0;0;false;false
rev_450bb-e49ed;twoDevs;2;0;0;0;0;false;false
rev_f5803-b45e7;twoDevs;2;0;0;0;0;false;false
rev_30665-e8900;moreThanTwoDevs;4;0;0;0;0;false;false
rev_48dda-a10e3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ab9c7-651c4;twoDevs;2;0;0;0;0;false;true
rev_b58a1-a644b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_07546-28c74;moreThanTwoDevs;3;0;0;0;0;false;false
rev_95f5b-4fc0e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9a7c3-42421;twoDevs;2;0;0;0;0;false;false
rev_36a07-83624;oneDev;1;0;0;0;0;false;false
rev_7a4f8-d067b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_046a2-5b090;moreThanTwoDevs;5;0;0;0;0;false;false
rev_6d744-e4c44;twoDevs;2;1;0;1;0;true;false
rev_147fc-83880;moreThanTwoDevs;7;0;0;0;0;false;true
rev_d7e7a-666f9;moreThanTwoDevs;4;7;0;0;0;true;true
rev_5a180-83bd2;twoDevs;2;0;0;0;0;false;false
rev_2c03e-2eb8a;oneDev;1;0;0;0;0;false;false
rev_f77e7-442b0;twoDevs;2;0;0;0;0;false;false
rev_dda76-b4e3a;twoDevs;2;0;0;0;0;false;false
rev_b725a-8c0b9;moreThanTwoDevs;3;0;0;0;0;false;true
rev_e1163-9d150;moreThanTwoDevs;3;0;0;0;0;false;false
rev_aa934-b0ac7;twoDevs;2;0;0;0;0;false;false
rev_3860d-77747;moreThanTwoDevs;4;0;0;0;0;false;false
rev_08b82-3150c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d4a48-7f4ab;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f05ce-50c08;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8d635-5ee68;moreThanTwoDevs;3;0;0;0;0;false;false
rev_86ff0-4007d;moreThanTwoDevs;6;0;0;0;0;false;false
rev_cc7b8-6f7f9;twoDevs;2;0;0;0;0;false;false
rev_c6110-828e8;twoDevs;2;0;0;0;0;false;false
rev_036a3-7cfee;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a83ca-026f7;twoDevs;2;0;0;0;0;false;false
rev_f8853-448b9;twoDevs;2;0;0;0;0;false;false
rev_92f37-fd6a1;twoDevs;2;0;0;0;0;false;true
rev_b9ca0-6980f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_c51c1-34b4d;moreThanTwoDevs;11;0;0;0;0;false;false
rev_c51c1-c0faa;twoDevs;2;0;0;0;0;false;false
rev_4f08d-50658;moreThanTwoDevs;4;0;0;0;0;false;false
rev_997ff-186a1;twoDevs;2;0;0;0;0;false;false
rev_15d11-53ced;moreThanTwoDevs;9;0;0;0;0;false;false
rev_16c0e-1b6b1;moreThanTwoDevs;6;0;0;0;0;false;true
rev_47437-bece9;twoDevs;2;0;0;0;0;false;false
rev_7f8bc-05ee7;oneDev;1;1;0;0;0;true;true
rev_e6b5e-2dcab;twoDevs;2;0;0;0;0;false;false
rev_797a9-9da96;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0f8f0-9da96;moreThanTwoDevs;3;0;0;0;0;false;false
rev_be094-8a107;twoDevs;2;0;0;0;0;false;false
rev_8a107-ed56f;twoDevs;2;0;0;0;0;false;false
rev_01f5e-d0d16;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0c5d8-a02ce;moreThanTwoDevs;3;0;0;0;0;false;false
