name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_cd434-d58ac;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f6942-63218;twoDevs;2;0;0;0;0;false;false
rev_495bb-78ce0;twoDevs;2;0;0;0;0;false;false
rev_eef40-4c75e;twoDevs;2;0;0;0;0;false;false
rev_a7386-d1074;moreThanTwoDevs;6;0;0;0;0;false;false
rev_36655-bfd06;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ba896-3f875;moreThanTwoDevs;3;0;0;0;0;false;false
rev_14dae-f2701;moreThanTwoDevs;4;0;0;0;0;false;false
rev_42200-14284;twoDevs;2;0;0;0;0;false;false
rev_433a5-024ca;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bfd1c-e046d;twoDevs;2;0;0;0;0;false;false
rev_54928-66b3f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_34400-f6173;twoDevs;2;0;0;0;0;false;false
rev_714d4-d78a0;twoDevs;2;0;0;0;0;false;false
rev_89e7e-46dbf;twoDevs;2;0;0;0;0;false;false
rev_20288-bd86e;twoDevs;2;0;0;0;0;false;false
rev_b4562-e8e2b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_efb55-815e4;moreThanTwoDevs;6;0;0;0;0;false;false
rev_58de5-45594;twoDevs;2;1;0;0;0;true;false
rev_9b5e5-0f5bc;twoDevs;2;0;0;0;0;false;false
rev_e241a-4ffc7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_be1b3-72015;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0cff0-b5bcc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7c814-0ebd5;moreThanTwoDevs;4;1;1;0;0;true;true
rev_8c368-9eee8;twoDevs;2;0;0;0;0;false;false
rev_e8a54-02ab7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_13e9f-301c3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_feb9a-29d46;moreThanTwoDevs;3;0;0;0;0;false;false
rev_51178-4e0d3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8200c-74def;moreThanTwoDevs;3;0;0;0;0;false;false
rev_22d32-c43db;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3706b-ee6eb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a13f2-d987a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a7a55-6ccd9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_74bb3-31554;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d659f-8f0e4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eb166-8f0e4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f7511-0697e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9da09-7764f;twoDevs;2;0;0;0;0;false;false
rev_7772f-2151e;oneDev;1;0;0;0;0;false;false
rev_8a413-cc959;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3e90d-1e606;twoDevs;2;0;0;0;0;false;false
rev_cfc81-c8e03;twoDevs;2;0;0;0;0;false;false
rev_d1304-4326f;twoDevs;2;0;0;0;0;false;false
rev_f9ce6-257de;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4935a-9d5ab;twoDevs;2;0;0;0;0;false;false
rev_79ce2-d293d;twoDevs;2;0;0;0;0;false;false
rev_c42d1-c05ab;twoDevs;2;0;0;0;0;false;false
rev_8f5a4-6284e;oneDev;1;0;0;0;0;false;false
rev_50c80-feffd;oneDev;1;0;0;0;0;false;false
rev_59e6f-1f330;oneDev;1;0;0;0;0;false;false
rev_f3073-13e0f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4632e-13e0f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8ba08-0d4db;twoDevs;2;0;0;0;0;false;false
rev_d89fd-0092a;twoDevs;2;0;0;0;0;false;false
rev_7113a-88349;oneDev;1;0;0;0;0;false;false
rev_40d8a-b633c;oneDev;1;0;0;0;0;false;false
rev_0a75b-c4a1f;moreThanTwoDevs;6;0;0;0;0;false;false
rev_81c10-54fe2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_904cf-dfdd4;moreThanTwoDevs;4;1;0;0;0;true;true
rev_69d57-a8d22;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6bf10-2f373;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3ed7a-2264a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a0c57-77c14;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8c336-014ad;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c45aa-06f6a;oneDev;1;0;0;0;0;false;false
rev_06f6a-4bea9;twoDevs;2;0;0;0;0;false;false
rev_fd29b-8304a;twoDevs;2;0;0;0;0;false;false
rev_7876c-8cb70;twoDevs;2;0;0;0;0;false;false
rev_8304a-fb37a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_64bfc-673d2;twoDevs;2;0;0;0;0;false;false
rev_cee74-68d4b;twoDevs;2;0;0;0;0;false;false
rev_b5ab0-8a58c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_95ca5-7adf7;twoDevs;2;6;3;0;0;true;false
rev_e1898-8a58c;twoDevs;2;0;0;0;0;false;false
rev_87664-fc33b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7adf7-d1f89;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dbf8d-46ef2;twoDevs;2;0;0;0;0;false;false
rev_d1f89-0efda;twoDevs;2;0;0;0;0;false;false
rev_46ef2-0653d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0d47c-f89e6;twoDevs;2;0;0;0;0;false;false
rev_0d47c-69639;moreThanTwoDevs;4;2;0;0;0;true;false
rev_139e0-586a4;moreThanTwoDevs;4;0;0;0;0;false;true
rev_4c351-300e7;twoDevs;2;0;0;0;0;false;false
rev_54e24-a8d3a;twoDevs;2;0;0;0;0;false;false
rev_243e5-cc0c8;moreThanTwoDevs;3;3;2;0;0;true;false
rev_540c7-673d2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2e72f-a1e0f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4ca0f-b3fb7;moreThanTwoDevs;4;2;1;0;0;true;false
rev_99c40-b3fb7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_67a8e-52799;moreThanTwoDevs;4;0;0;0;0;false;false
rev_66736-676a2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ee7d7-8d399;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c4ffd-5a009;moreThanTwoDevs;5;0;0;0;0;false;false
rev_acc7c-533cc;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d4dc5-5c140;moreThanTwoDevs;5;0;0;0;0;false;false
