name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_7ebee-17a94;twoDevs;2;0;0;0;0;false;false
rev_cc90d-0f678;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8badc-d8ccc;moreThanTwoDevs;3;0;0;0;0;false;true
rev_97d6d-0f678;twoDevs;2;0;0;0;0;false;true
rev_432b0-a1c14;moreThanTwoDevs;3;0;0;0;0;false;false
rev_00d92-a1c14;twoDevs;2;0;0;0;0;false;false
rev_848f3-a1c14;moreThanTwoDevs;4;0;0;0;0;false;true
rev_1c664-aed7e;twoDevs;2;0;0;0;0;false;false
rev_f0078-9211f;twoDevs;2;0;0;0;0;false;false
rev_fbdcc-ac733;twoDevs;2;0;0;0;0;false;false
rev_b3d7a-b0937;moreThanTwoDevs;3;0;0;0;0;false;false
rev_92fa3-9185c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_acb29-b39fd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b39fd-665c5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5fa67-0f3af;twoDevs;2;0;0;0;0;false;false
rev_0c339-043ce;twoDevs;2;0;0;0;0;false;false
rev_26985-24988;twoDevs;2;0;0;0;0;false;false
rev_cafa0-b2916;twoDevs;2;0;0;0;0;false;false
rev_27d9d-87444;twoDevs;2;0;0;0;0;false;false
rev_24b26-82df5;twoDevs;2;0;0;0;0;false;false
rev_5c9bb-1d7ff;twoDevs;2;0;0;0;0;false;false
rev_021a4-093f0;twoDevs;2;0;0;0;0;false;false
rev_afe35-4c17d;twoDevs;2;1;0;1;0;true;false
rev_10abc-1068d;twoDevs;2;17;2;1;0;true;true
rev_395aa-8c13c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_10034-3450d;twoDevs;2;0;0;0;0;false;false
rev_016b3-85863;twoDevs;2;0;0;0;0;false;false
rev_add25-87b61;twoDevs;2;0;0;0;0;false;false
rev_70c6d-7cee6;twoDevs;2;0;0;0;0;false;false
rev_89825-4d38c;twoDevs;2;3;0;0;0;true;false
rev_b0f7e-5809b;twoDevs;2;0;0;0;0;false;false
