name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_65844-8bbd8;twoDevs;2;0;0;0;0;false;false
rev_7ae4c-b12fb;moreThanTwoDevs;8;0;0;0;0;false;false
rev_ce67e-22a2a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_def81-94928;moreThanTwoDevs;6;0;0;0;0;false;false
rev_1f6e7-4b1ba;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3069e-ed2cf;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e1ee5-6993a;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d9b17-d03fc;moreThanTwoDevs;7;2;0;0;0;true;false
rev_87327-c6c5f;moreThanTwoDevs;8;0;0;0;0;false;false
rev_8400d-38521;moreThanTwoDevs;6;0;0;0;0;false;false
rev_06044-ba676;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a3696-7e0ef;moreThanTwoDevs;6;3;0;2;0;true;false
rev_697a3-9fd37;moreThanTwoDevs;7;3;0;1;0;true;true
rev_7e273-f9fc6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_50f89-d75a9;moreThanTwoDevs;11;2;0;0;0;true;false
rev_b5cb2-1121f;moreThanTwoDevs;8;3;0;0;0;true;false
rev_28cea-35162;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c3bda-eaabb;moreThanTwoDevs;3;1;0;0;0;true;true
rev_64b6f-36c17;moreThanTwoDevs;3;0;0;0;0;false;false
rev_becc4-882c9;moreThanTwoDevs;4;0;0;0;0;false;true
rev_0ce6d-e3dee;moreThanTwoDevs;11;1;0;0;0;true;true
rev_6a3de-e564c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ce6ed-990a9;moreThanTwoDevs;5;0;0;0;0;false;false
rev_50599-56f00;moreThanTwoDevs;3;0;0;0;0;false;false
rev_56f00-09aec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d0acb-aeb46;moreThanTwoDevs;7;0;0;0;0;false;true
