name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_e5ca2-4f7f0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_272c0-75df1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_45342-74716;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ce636-1d8fa;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d4426-bcfc4;moreThanTwoDevs;5;0;0;0;0;false;false
rev_01714-d86dc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cb4e5-e7572;moreThanTwoDevs;4;0;0;0;0;false;false
rev_30050-ae043;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f1695-49843;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e98e5-e2317;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f906c-a7f55;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cce5b-30c86;twoDevs;2;0;0;0;0;false;false
rev_2d21a-7a083;moreThanTwoDevs;5;0;0;0;0;false;false
rev_dd21a-972ed;moreThanTwoDevs;4;0;0;0;0;false;false
rev_24fa0-db40f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_11015-cd48c;moreThanTwoDevs;9;13;0;3;0;true;false
rev_744e9-a2154;moreThanTwoDevs;8;55;0;31;0;true;false
rev_3dd8d-f95e9;moreThanTwoDevs;3;3;0;1;0;true;false
rev_166ec-9284d;moreThanTwoDevs;4;1;0;1;0;true;false
rev_92913-c91fe;moreThanTwoDevs;4;0;0;0;0;false;false
rev_577ea-b52dc;moreThanTwoDevs;6;0;0;0;0;false;false
rev_92a47-5a92c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_50dc4-72f92;moreThanTwoDevs;8;0;0;0;0;false;false
