name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_cbfaf-bc415;twoDevs;2;0;0;0;0;false;false
rev_b2a9c-cbbfb;twoDevs;2;0;0;0;0;false;false
rev_2337b-f0929;twoDevs;2;0;0;0;0;false;false
rev_c9215-c24e1;twoDevs;2;0;0;0;0;false;false
rev_6d4aa-3a9a6;twoDevs;2;0;0;0;0;false;false
rev_137aa-5b27e;twoDevs;2;0;0;0;0;false;false
rev_db42b-9412b;twoDevs;2;0;0;0;0;false;false
rev_737ad-936b6;twoDevs;2;0;0;0;0;false;false
rev_7c71b-f86f4;twoDevs;2;0;0;0;0;false;false
rev_6a4ce-17554;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ce739-2b1e3;twoDevs;2;0;0;0;0;false;false
rev_fcb52-dc65c;twoDevs;2;0;0;0;0;false;true
rev_2b408-3e43d;twoDevs;2;0;0;0;0;false;false
rev_f0650-13c84;moreThanTwoDevs;3;0;0;0;0;false;false
rev_64ab3-c65b8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cab48-e689b;twoDevs;2;0;0;0;0;false;false
rev_46314-d1331;twoDevs;2;0;0;0;0;false;false
rev_f46d5-e134b;moreThanTwoDevs;4;3;0;0;0;true;false
rev_8fb3c-8d2cd;twoDevs;2;0;0;0;0;false;false
rev_8d2cd-2a4f6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ae567-1e4bf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1e4bf-a2ab3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a5504-a2c12;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ee3c5-cf3fc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7fc6b-dd0e3;twoDevs;2;0;0;0;0;false;false
rev_6233a-d163f;twoDevs;2;0;0;0;0;false;false
rev_c89f0-45177;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e2bb0-9eaeb;twoDevs;2;0;0;0;0;false;false
rev_45267-a74ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_91c7b-655cf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2aa6d-3a113;twoDevs;2;0;0;0;0;false;false
rev_b03dd-e70c6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0dc8d-e6a50;twoDevs;2;0;0;0;0;false;false
rev_79475-ed177;twoDevs;2;0;0;0;0;false;false
rev_5bd18-414ba;twoDevs;2;0;0;0;0;false;false
rev_cbd97-4dfbb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4c50f-f88c5;twoDevs;2;0;0;0;0;false;false
rev_61300-8f9a6;twoDevs;2;0;0;0;0;false;false
rev_8075b-29e7c;twoDevs;2;0;0;0;0;false;false
rev_a6dc9-06a23;twoDevs;2;0;0;0;0;false;false
rev_70c2d-152c1;twoDevs;2;0;0;0;0;false;false
rev_0e114-35fa9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_231be-bc231;twoDevs;2;0;0;0;0;false;false
rev_cb775-b344e;twoDevs;2;0;0;0;0;false;false
rev_5b772-78f98;twoDevs;2;0;0;0;0;false;false
rev_db923-800bd;twoDevs;2;0;0;0;0;false;false
rev_9b2ee-a1241;twoDevs;2;0;0;0;0;false;false
rev_93ecc-e5eb2;twoDevs;2;0;0;0;0;false;false
rev_4c8ee-3b0ab;twoDevs;2;0;0;0;0;false;false
rev_06be0-223be;twoDevs;2;0;0;0;0;false;false
rev_bdcea-80d04;twoDevs;2;0;0;0;0;false;false
rev_95170-51d35;twoDevs;2;0;0;0;0;false;false
rev_c968c-8a832;twoDevs;2;0;0;0;0;false;false
rev_981f3-1fe91;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d13b5-b83b4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f1700-dcc54;twoDevs;2;0;0;0;0;false;false
rev_4f62f-4c0ef;moreThanTwoDevs;5;0;0;0;0;false;false
rev_f6ce0-bfec7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_aee4e-469b2;twoDevs;2;0;0;0;0;false;false
rev_08529-815db;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d9b41-83388;twoDevs;2;0;0;0;0;false;false
rev_de7e9-83dc2;twoDevs;2;0;0;0;0;false;false
rev_8640b-82fc9;twoDevs;2;0;0;0;0;false;false
rev_f93ee-fb53a;twoDevs;2;0;0;0;0;false;false
rev_232da-4140d;twoDevs;2;0;0;0;0;false;false
rev_841d5-5044e;twoDevs;2;0;0;0;0;false;false
rev_d7455-908a8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8353c-69394;twoDevs;2;0;0;0;0;false;false
rev_43307-970b8;twoDevs;2;0;0;0;0;false;false
rev_9adb0-03737;oneDev;1;0;0;0;0;false;false
rev_ab7a0-1f9e8;twoDevs;2;0;0;0;0;false;false
rev_b69f9-c1661;oneDev;1;0;0;0;0;false;false
rev_29552-c698a;twoDevs;2;0;0;0;0;false;false
rev_d2ec7-47aa3;oneDev;1;0;0;0;0;false;false
rev_ac405-eb680;twoDevs;2;0;0;0;0;false;false
rev_8242c-020ec;twoDevs;2;0;0;0;0;false;false
rev_de173-a9f44;twoDevs;2;0;0;0;0;false;false
rev_32966-8b1d9;twoDevs;2;0;0;0;0;false;false
rev_eb509-8d3ff;moreThanTwoDevs;4;0;0;0;0;false;false
rev_46769-38912;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f6315-980eb;twoDevs;2;0;0;0;0;false;false
rev_23e6a-85d1f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ccd59-8e31a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_670aa-5974d;moreThanTwoDevs;3;0;0;0;0;false;true
rev_224a9-43066;moreThanTwoDevs;3;0;0;0;0;false;false
rev_661d2-9fb18;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ee67d-3e3a3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ad0b7-16327;moreThanTwoDevs;3;0;0;0;0;false;false
rev_29fab-e07eb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ddb9e-cb2f4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1b63b-614a7;twoDevs;2;0;0;0;0;false;false
rev_dce9e-26f8f;twoDevs;2;0;0;0;0;false;false
rev_f1622-0c8c7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4f3c1-0ffbc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_df4f7-b4c1f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2d052-f6c18;twoDevs;2;0;0;0;0;false;false
rev_e5f9c-d1a15;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4fa51-c0d5e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_60072-ad2e6;twoDevs;2;0;0;0;0;false;false
rev_ad9a4-f190c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f7ef4-8221f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_80e1b-00cb5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_52313-37c8d;twoDevs;2;0;0;0;0;false;false
rev_87dc3-6839a;twoDevs;2;0;0;0;0;false;false
rev_991d1-5c024;moreThanTwoDevs;3;0;0;0;0;false;false
rev_77d24-06cc1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bc188-bfbea;twoDevs;2;0;0;0;0;false;false
rev_cda5f-02dd6;moreThanTwoDevs;3;0;0;0;0;false;false
