name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_0689f-3ca5d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_21179-743c0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_21179-7297d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_54508-d8516;moreThanTwoDevs;3;0;0;0;0;false;false
rev_018e3-de360;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c0ac3-0e29e;twoDevs;2;0;0;0;0;false;false
rev_0e29e-3db2b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cff6c-6e818;moreThanTwoDevs;3;3;2;0;0;true;true
rev_dbb83-92814;moreThanTwoDevs;3;0;0;0;0;false;false
rev_aa5ed-0b789;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ae09d-5511f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c4135-9f6a5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7fd23-49975;twoDevs;2;0;0;0;0;false;false
rev_320b7-f790d;twoDevs;2;0;0;0;0;false;false
rev_15170-defd5;moreThanTwoDevs;11;0;0;0;0;false;false
rev_fe38b-4ff23;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b6c18-1ef22;twoDevs;2;0;0;0;0;false;false
rev_3f8fd-e6b84;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bc545-71007;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9ef34-1059d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_17297-16578;moreThanTwoDevs;5;0;0;0;0;false;false
rev_35879-a3d2e;moreThanTwoDevs;5;0;0;0;0;false;false
rev_a842b-acc4e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_91bf9-2477b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_9930a-1d9fd;moreThanTwoDevs;5;0;0;0;0;false;false
rev_47b5b-59f50;moreThanTwoDevs;4;0;0;0;0;false;false
rev_59f50-d00f3;moreThanTwoDevs;5;0;0;0;0;false;false
rev_f132e-84c3a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_84c3a-bf2f3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_57afa-bb96d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bb96d-5f86c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e28c8-56031;moreThanTwoDevs;3;0;0;0;0;false;false
rev_56031-e2f69;twoDevs;2;0;0;0;0;false;false
rev_c75f9-1b184;twoDevs;2;0;0;0;0;false;false
rev_7d6e3-7fcad;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fbd7e-22009;moreThanTwoDevs;8;0;0;0;0;false;false
rev_8c373-f6534;moreThanTwoDevs;3;0;0;0;0;false;false
rev_00936-caea0;moreThanTwoDevs;8;0;0;0;0;false;false
rev_d5736-d5a2d;twoDevs;2;0;0;0;0;false;false
rev_3b764-b6c0a;moreThanTwoDevs;9;0;0;0;0;false;false
rev_5bd40-3fb66;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2e116-da1a4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_da1a4-1a830;twoDevs;2;0;0;0;0;false;false
rev_0a8d2-4d40f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4d40f-72610;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d6030-3ebb1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3ebb1-5b12d;twoDevs;2;0;0;0;0;false;false
rev_1444d-a1c84;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a615f-7e633;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7811f-48fcd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_48aa9-420e9;moreThanTwoDevs;8;0;0;0;0;false;false
rev_813a9-db93d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d3831-3bd77;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5b4ea-0cafe;twoDevs;2;0;0;0;0;false;false
rev_71074-a28ad;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d0172-116ec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6a7d2-84858;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f314f-f20ef;moreThanTwoDevs;3;0;0;0;0;false;true
rev_66618-29fae;twoDevs;2;0;0;0;0;false;false
rev_d79b4-bd037;moreThanTwoDevs;3;0;0;0;0;false;false
rev_da72c-3f23d;moreThanTwoDevs;3;0;0;0;0;false;false
