name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_d61f4-f9e78;moreThanTwoDevs;5;2;0;0;0;true;false
rev_f99c4-20dac;twoDevs;2;0;0;0;0;false;false
rev_e4ee2-f4548;moreThanTwoDevs;4;13;8;13;8;true;false
rev_ed208-4a1d9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_592bc-33013;twoDevs;2;0;0;0;0;false;false
rev_345fa-c4f92;twoDevs;2;0;0;0;0;false;false
rev_2df3a-af273;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f6254-d3362;twoDevs;2;101;0;91;0;true;false
rev_85129-6ba7a;twoDevs;2;0;0;0;0;false;false
rev_b7eb5-9dd23;moreThanTwoDevs;4;0;0;0;0;false;false
rev_28fb8-30435;moreThanTwoDevs;4;0;0;0;0;false;false
rev_333a9-e7e4c;moreThanTwoDevs;4;4;0;1;0;true;false
rev_347d7-3d160;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3fb7a-f16d9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_90e68-620a5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_15029-da309;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8aa25-58aa9;moreThanTwoDevs;5;0;0;0;0;false;false
rev_6ff96-9dd1c;moreThanTwoDevs;7;0;0;0;0;false;false
rev_4e15a-6e1ef;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ace15-6a78b;moreThanTwoDevs;8;0;0;0;0;false;false
rev_6a78b-5c9d5;twoDevs;2;0;0;0;0;false;false
rev_4dcdf-202d6;twoDevs;2;0;0;0;0;false;false
rev_90061-3b557;twoDevs;2;0;0;0;0;false;false
rev_cbca0-ede74;twoDevs;2;0;0;0;0;false;false
rev_f9608-a7715;twoDevs;2;0;0;0;0;false;false
rev_5ad02-6c3ec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6c3ec-0aab8;twoDevs;2;0;0;0;0;false;false
rev_c9d85-bbb6d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ef3a5-23433;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8a594-f2590;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9d48a-42019;twoDevs;2;0;0;0;0;false;false
rev_e55ee-b178e;oneDev;1;0;0;0;0;false;false
rev_a9ef1-33ceb;moreThanTwoDevs;17;0;0;0;0;false;false
rev_dba5e-fb33b;moreThanTwoDevs;8;0;0;0;0;false;false
rev_e9d88-3abaf;moreThanTwoDevs;8;0;0;0;0;false;false
rev_7b246-97bbf;moreThanTwoDevs;8;0;0;0;0;false;false
rev_7803f-e9644;moreThanTwoDevs;8;1;0;1;0;true;false
rev_90dd6-6e4e1;moreThanTwoDevs;13;0;0;0;0;false;false
rev_fe872-8ddba;moreThanTwoDevs;11;0;0;0;0;false;false
rev_bb806-ec0b5;moreThanTwoDevs;10;0;0;0;0;false;false
rev_b7ee1-f82fb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f27f8-d97f3;moreThanTwoDevs;4;2;1;0;0;true;false
rev_cb1b1-04f60;moreThanTwoDevs;5;1;0;0;0;true;false
rev_fb723-72ca4;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f6321-c9b41;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d18c7-53f82;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b2648-df3c5;moreThanTwoDevs;5;0;0;0;0;false;false
rev_aa054-f010b;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d1362-0f978;moreThanTwoDevs;5;0;0;0;0;false;false
rev_f3dbc-dbd7c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7b6ed-9d4d1;moreThanTwoDevs;11;0;0;0;0;false;false
rev_5a6d9-12a1a;moreThanTwoDevs;10;0;0;0;0;false;false
rev_09402-4d6f4;moreThanTwoDevs;10;0;0;0;0;false;false
rev_618bb-c765b;moreThanTwoDevs;9;0;0;0;0;false;false
rev_3da2f-dd88c;moreThanTwoDevs;9;26;12;12;12;true;false
rev_05503-d102c;moreThanTwoDevs;9;0;0;0;0;false;false
rev_129e3-d526a;moreThanTwoDevs;6;0;0;0;0;false;false
rev_42f19-ded77;moreThanTwoDevs;9;0;0;0;0;false;false
rev_457cc-088f8;moreThanTwoDevs;9;22;22;0;0;true;false
rev_beb99-63b40;moreThanTwoDevs;21;0;0;0;0;false;false
rev_b9442-fe5e7;twoDevs;2;0;0;0;0;false;false
rev_bdc51-909be;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bf9bb-45be1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1a967-45703;moreThanTwoDevs;7;0;0;0;0;false;false
rev_406d5-69b52;moreThanTwoDevs;6;0;0;0;0;false;false
rev_610f7-69f53;moreThanTwoDevs;7;1;0;1;0;true;false
rev_88e66-155af;moreThanTwoDevs;29;9;0;0;0;true;false
rev_ed80e-24c6b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a71c3-2475f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_1f3b5-6dbad;moreThanTwoDevs;6;0;0;0;0;false;false
