name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_8297f-73e81;moreThanTwoDevs;4;0;0;0;0;false;false
rev_33ae0-687e5;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d38f7-dabb3;moreThanTwoDevs;7;0;0;0;0;false;false
rev_ab7b9-7ba1b;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d3244-02c8a;moreThanTwoDevs;6;0;0;0;0;false;false
rev_3f9a6-15e4a;moreThanTwoDevs;7;0;0;0;0;false;false
rev_44788-f8644;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ba87a-ea0ed;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fb0be-c59e4;moreThanTwoDevs;6;0;0;0;0;false;false
rev_a0432-e1ab1;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2ae2e-dee46;moreThanTwoDevs;7;0;0;0;0;false;false
rev_1ee09-b52d7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7da58-d4882;moreThanTwoDevs;65;8;0;2;0;true;false
rev_2f7f5-607ea;moreThanTwoDevs;5;3;0;0;0;true;false
rev_494ac-55b7d;moreThanTwoDevs;18;1;0;0;0;true;false
rev_ab80d-99cca;moreThanTwoDevs;7;0;0;0;0;false;false
rev_6e011-e605d;twoDevs;2;0;0;0;0;false;false
rev_06cec-f3b00;moreThanTwoDevs;4;0;0;0;0;false;false
rev_73395-77600;moreThanTwoDevs;12;3;0;0;0;true;false
rev_bdb4d-56ebe;moreThanTwoDevs;26;0;0;0;0;false;false
rev_6be06-9a45f;twoDevs;2;0;0;0;0;false;false
rev_e78bd-10e9f;twoDevs;2;0;0;0;0;false;false
rev_6629e-10e9f;moreThanTwoDevs;9;0;0;0;0;false;false
rev_2e798-5d1ea;moreThanTwoDevs;29;0;0;0;0;false;false
rev_fb38f-89f15;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2d2f3-3d5d5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b57b0-fa228;twoDevs;2;0;0;0;0;false;false
rev_e64b6-90dbe;twoDevs;2;0;0;0;0;false;false
rev_fc01d-4b9fb;twoDevs;2;0;0;0;0;false;false
rev_226b3-7cf3f;moreThanTwoDevs;10;0;0;0;0;false;false
rev_535e9-c4ad9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c85e6-18f4a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b4bba-5465f;moreThanTwoDevs;10;0;0;0;0;false;false
rev_1b6b8-53e68;moreThanTwoDevs;4;0;0;0;0;false;false
rev_81736-6cd23;moreThanTwoDevs;3;0;0;0;0;false;false
rev_350f5-6643d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3f72e-ce362;twoDevs;2;0;0;0;0;false;false
rev_0a3f6-a09a7;twoDevs;2;0;0;0;0;false;false
rev_fcbc0-ec84e;twoDevs;2;0;0;0;0;false;false
rev_b97ad-e9fe9;twoDevs;2;0;0;0;0;false;false
rev_89d0d-4895d;twoDevs;2;0;0;0;0;false;false
rev_62cb0-1a9f3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c490e-4470c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_0f4a7-de920;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4add6-1f2ba;moreThanTwoDevs;8;0;0;0;0;false;false
rev_f9255-872c6;moreThanTwoDevs;5;0;0;0;0;false;false
rev_52090-5b8f4;twoDevs;2;0;0;0;0;false;false
rev_32a34-92be0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fbb54-64b8e;twoDevs;2;0;0;0;0;false;false
rev_8a3d9-9ef8a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_46f2f-f0ed3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2951e-945d0;moreThanTwoDevs;5;0;0;0;0;false;false
rev_84115-0a0f0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_dc7e0-cd293;twoDevs;2;0;0;0;0;false;false
rev_237db-0ffa0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d14ca-b167b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d44ee-31b9a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3dad9-46631;moreThanTwoDevs;5;0;0;0;0;false;false
rev_31a76-ec3fb;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5c91e-5de5b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8fdbe-5150e;moreThanTwoDevs;6;0;0;0;0;false;false
