name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_24c22-92a4a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_54da6-82df5;twoDevs;2;0;0;0;0;false;false
rev_6c017-78015;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d6610-135ec;moreThanTwoDevs;7;0;0;0;0;false;false
rev_06249-3878b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e7467-b97e3;twoDevs;2;0;0;0;0;false;false
rev_8f960-d5ee8;moreThanTwoDevs;16;0;0;0;0;false;false
rev_da83b-b795e;moreThanTwoDevs;16;0;0;0;0;false;false
rev_1ea15-bf18f;moreThanTwoDevs;16;0;0;0;0;false;false
rev_f85b6-09fb0;moreThanTwoDevs;16;0;0;0;0;false;false
rev_edd37-766fc;moreThanTwoDevs;16;0;0;0;0;false;false
rev_79dec-e9ed0;moreThanTwoDevs;14;0;0;0;0;false;false
rev_414b9-bc029;moreThanTwoDevs;3;0;0;0;0;false;false
rev_acf21-6af01;moreThanTwoDevs;9;0;0;0;0;false;false
rev_3137a-4edeb;moreThanTwoDevs;8;0;0;0;0;false;false
rev_05b8c-05612;moreThanTwoDevs;6;0;0;0;0;false;false
rev_173dd-94de3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_57a66-f4e5f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cd90d-cc3c6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_48162-051d5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cc33a-7fdc9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_55ef6-03af0;moreThanTwoDevs;6;0;0;0;0;false;true
rev_52dd5-a1b7d;moreThanTwoDevs;6;0;0;0;0;false;false
rev_6ae5d-02829;moreThanTwoDevs;7;0;0;0;0;false;true
rev_8daa6-77075;moreThanTwoDevs;3;0;0;0;0;false;false
rev_906af-6e56e;moreThanTwoDevs;7;0;0;0;0;false;false
rev_3782d-b7270;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8ad5e-67f1d;moreThanTwoDevs;10;0;0;0;0;false;false
rev_31083-98bf7;moreThanTwoDevs;19;13;3;5;2;true;true
rev_74730-c6d42;oneDev;1;0;0;0;0;false;false
rev_5a69b-6afc5;oneDev;1;0;0;0;0;false;false
rev_7d4cb-89e9a;oneDev;1;0;0;0;0;false;false
rev_183b6-1d967;moreThanTwoDevs;3;0;0;0;0;false;false
rev_33d1d-85a6f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_88fb1-6b9b7;moreThanTwoDevs;8;0;0;0;0;false;false
rev_ec3ee-1806a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d3db0-30b92;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8cfed-6c331;moreThanTwoDevs;14;0;0;0;0;false;false
rev_a793d-bafc3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1d739-f6c72;moreThanTwoDevs;5;0;0;0;0;false;false
rev_f6c72-76616;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2a96b-107b3;moreThanTwoDevs;5;0;0;0;0;false;false
rev_dc659-472cd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9c14a-ba1c0;moreThanTwoDevs;6;0;0;0;0;false;false
rev_13322-ee16e;moreThanTwoDevs;10;0;0;0;0;false;true
rev_c4be9-7b97f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7ae47-b1504;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a42a4-07ff9;moreThanTwoDevs;8;0;0;0;0;false;false
rev_5443d-b7e28;moreThanTwoDevs;6;0;0;0;0;false;false
rev_c1251-c205a;moreThanTwoDevs;6;0;0;0;0;false;false
rev_68c19-de3f6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_744db-7d7b7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8ca39-9bc82;moreThanTwoDevs;4;0;0;0;0;false;false
rev_721f2-8ca39;moreThanTwoDevs;7;0;0;0;0;false;false
rev_08c8b-ebf1a;moreThanTwoDevs;9;0;0;0;0;false;false
rev_74809-3eeed;moreThanTwoDevs;8;2;0;1;0;true;false
rev_e820f-cd3fe;moreThanTwoDevs;8;0;0;0;0;false;false
rev_ca605-2aff5;moreThanTwoDevs;10;0;0;0;0;false;false
rev_fdad0-17acc;moreThanTwoDevs;8;0;0;0;0;false;false
rev_5446f-cfd32;twoDevs;2;0;0;0;0;false;false
rev_fbf08-22bc0;moreThanTwoDevs;12;7;1;1;0;true;true
rev_91bf0-4e5c8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_60151-58e87;moreThanTwoDevs;6;0;0;0;0;false;false
rev_ec990-dcc10;moreThanTwoDevs;7;0;0;0;0;false;true
rev_6e1af-a2266;moreThanTwoDevs;7;0;0;0;0;false;false
rev_a9178-c6e2e;moreThanTwoDevs;7;0;0;0;0;false;true
rev_f239b-caf8f;moreThanTwoDevs;6;0;0;0;0;false;false
rev_2d790-ab4f6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_662fc-49ee4;twoDevs;2;0;0;0;0;false;false
rev_3bf2e-47783;moreThanTwoDevs;18;0;0;0;0;false;false
rev_065a6-5ce52;moreThanTwoDevs;4;0;0;0;0;false;false
