name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_40a42-96cc5;twoDevs;2;1;1;0;0;true;true
rev_4105b-2ebf2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d210a-70158;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d565d-38a69;twoDevs;2;0;0;0;0;false;false
rev_c8ecb-091b7;twoDevs;2;0;0;0;0;false;false
rev_28c84-4aa75;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a51c9-80bad;twoDevs;2;0;0;0;0;false;false
rev_dd72c-572c9;twoDevs;2;0;0;0;0;false;false
rev_a131f-40a2a;twoDevs;2;0;0;0;0;false;false
rev_fcc8f-d7990;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2973c-a9fb7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_24b5f-86415;twoDevs;2;0;0;0;0;false;false
rev_45f3f-f1c67;twoDevs;2;0;0;0;0;false;false
rev_6a2bd-12cd9;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f8f07-86415;oneDev;1;0;0;0;0;false;false
rev_56518-86415;oneDev;1;0;0;0;0;false;false
rev_fbb5a-802e5;oneDev;1;0;0;0;0;false;false
rev_4c49c-63cb9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fcbc9-bc790;twoDevs;2;0;0;0;0;false;false
rev_6a06c-0e0a0;twoDevs;2;0;0;0;0;false;false
rev_adc81-5b4b5;twoDevs;2;0;0;0;0;false;false
rev_d2bda-73588;twoDevs;2;0;0;0;0;false;false
rev_55475-7eff0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b6c8e-efd6b;twoDevs;2;0;0;0;0;false;false
rev_5d09f-73722;twoDevs;2;0;0;0;0;false;false
rev_47048-36da0;twoDevs;2;0;0;0;0;false;false
rev_23237-78711;twoDevs;2;0;0;0;0;false;false
rev_75a58-38c6c;twoDevs;2;0;0;0;0;false;false
rev_27550-43429;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7bfd7-666ef;oneDev;1;1;0;1;0;true;false
rev_f3b95-33570;moreThanTwoDevs;4;0;0;0;0;false;false
rev_33570-89ff6;twoDevs;2;0;0;0;0;false;false
rev_537b1-9fe93;moreThanTwoDevs;7;0;0;0;0;false;false
rev_8915d-52909;moreThanTwoDevs;4;0;0;0;0;false;false
rev_81923-658ec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1ad7e-12ccb;twoDevs;2;0;0;0;0;false;false
rev_9799b-492a2;moreThanTwoDevs;10;0;0;0;0;false;false
rev_7b828-0b840;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e865b-0b00c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e1aaf-d9950;moreThanTwoDevs;5;0;0;0;0;false;false
rev_0e0be-e533f;moreThanTwoDevs;11;0;0;0;0;false;false
rev_56498-4df22;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d14db-31b6f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_31b6f-9e373;twoDevs;2;0;0;0;0;false;false
rev_0ea7b-24717;twoDevs;2;0;0;0;0;false;false
rev_64bed-41bce;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1984e-249d7;twoDevs;2;0;0;0;0;false;false
rev_2f807-7c3ed;moreThanTwoDevs;6;0;0;0;0;false;false
rev_436b9-3f171;moreThanTwoDevs;8;0;0;0;0;false;false
rev_fbf2e-38197;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3ceab-e30ca;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a35bd-638b9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d1d8e-9ae91;twoDevs;2;0;0;0;0;false;false
rev_06acf-f4ac0;twoDevs;2;0;0;0;0;false;false
rev_f4ac0-bf6a3;twoDevs;2;0;0;0;0;false;false
rev_909f7-cdf08;twoDevs;2;0;0;0;0;false;false
rev_bd95c-73f5f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7d66d-aabfe;twoDevs;2;0;0;0;0;false;false
rev_57d93-1644e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1e6ef-dd9f8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9ea1c-f9429;moreThanTwoDevs;4;0;0;0;0;false;false
rev_105d7-91ba1;twoDevs;2;0;0;0;0;false;false
rev_75903-f2a25;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9b808-ab54b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_50cc8-94e4d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9b3a1-95c6f;twoDevs;2;0;0;0;0;false;false
rev_de634-62de8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7c0bf-3fdb2;twoDevs;2;0;0;0;0;false;false
rev_50595-82f03;twoDevs;2;0;0;0;0;false;false
rev_47e80-baa4d;twoDevs;2;0;0;0;0;false;false
rev_75775-d0faa;twoDevs;2;0;0;0;0;false;false
rev_6a696-d47a4;twoDevs;2;0;0;0;0;false;false
rev_5bb5f-e7c3c;moreThanTwoDevs;15;0;0;0;0;false;false
rev_a41c7-5c118;twoDevs;2;0;0;0;0;false;false
rev_82147-2d978;twoDevs;2;0;0;0;0;false;false
rev_4e2bf-3dcd4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1a750-4d726;moreThanTwoDevs;5;11;0;0;0;true;false
rev_5d871-5c6a9;twoDevs;2;0;0;0;0;false;false
rev_7ff5c-19f3b;twoDevs;2;0;0;0;0;false;false
rev_61eb5-74fae;twoDevs;2;0;0;0;0;false;false
rev_78d27-df0ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2a601-2f793;moreThanTwoDevs;7;0;0;0;0;false;true
rev_2f793-ccd92;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d67aa-23c72;twoDevs;2;0;0;0;0;false;false
rev_fc51e-bc08b;twoDevs;2;0;0;0;0;false;false
rev_7e53e-04b53;twoDevs;2;0;0;0;0;false;false
rev_8b17f-34790;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b7626-d7fa9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_732cc-75050;moreThanTwoDevs;4;0;0;0;0;false;false
rev_59019-46cf6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c131e-a7963;twoDevs;2;0;0;0;0;false;false
rev_ff4fb-05eb9;twoDevs;2;0;0;0;0;false;false
rev_9a00d-1896a;twoDevs;2;0;0;0;0;false;false
rev_94f48-93214;twoDevs;2;0;0;0;0;false;false
rev_42316-11c0e;twoDevs;2;0;0;0;0;false;false
rev_6a3a8-a7066;twoDevs;2;0;0;0;0;false;false
rev_354ea-67bbd;moreThanTwoDevs;14;0;0;0;0;false;false
rev_3f1fb-90644;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5c03b-52124;twoDevs;2;0;0;0;0;false;false
rev_7dbcb-51903;twoDevs;2;0;0;0;0;false;false
rev_a2285-01423;twoDevs;2;0;0;0;0;false;false
rev_c644d-e7167;twoDevs;2;0;0;0;0;false;false
rev_46ce9-34265;twoDevs;2;0;0;0;0;false;false
rev_f4626-0591d;twoDevs;2;0;0;0;0;false;false
rev_ea438-47e31;moreThanTwoDevs;3;0;0;0;0;false;false
rev_13b65-97b07;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7b8db-e949e;twoDevs;2;0;0;0;0;false;false
rev_3967f-229dc;twoDevs;2;0;0;0;0;false;false
rev_e6ab9-f007f;twoDevs;2;0;0;0;0;false;false
rev_ceaf7-00ba4;twoDevs;2;0;0;0;0;false;false
rev_cc779-e72b5;twoDevs;2;0;0;0;0;false;false
rev_a6207-aa0a4;twoDevs;2;0;0;0;0;false;false
rev_b76e8-4b927;twoDevs;2;0;0;0;0;false;false
rev_f5e3d-5ed74;twoDevs;2;0;0;0;0;false;false
rev_1d01c-143b7;twoDevs;2;0;0;0;0;false;false
rev_aeb70-74712;oneDev;1;0;0;0;0;false;false
rev_2a11f-0f3cf;oneDev;1;0;0;0;0;false;false
rev_f3cf3-3bbd8;oneDev;1;0;0;0;0;false;false
rev_be774-7a27b;oneDev;1;0;0;0;0;false;false
rev_44eb9-53bf8;oneDev;1;0;0;0;0;false;false
rev_90f6b-698f9;twoDevs;2;0;0;0;0;false;false
rev_2187e-3635f;twoDevs;2;0;0;0;0;false;false
rev_b268b-1aa9c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_82313-621cf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f6860-c82b7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e1a29-414a7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_12ee4-a7f86;twoDevs;2;0;0;0;0;false;false
rev_41c14-5b720;twoDevs;2;0;0;0;0;false;false
rev_064da-d5276;twoDevs;2;0;0;0;0;false;false
rev_d8d51-49dc1;twoDevs;2;0;0;0;0;false;false
rev_d2751-ca5df;moreThanTwoDevs;8;0;0;0;0;false;false
rev_49dc1-ed986;moreThanTwoDevs;3;0;0;0;0;false;false
