name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_9cfa1-dbd00;twoDevs;2;0;0;0;0;false;false
rev_89592-c1457;twoDevs;2;1;0;1;0;true;true
rev_a4640-53884;oneDev;1;0;0;0;0;false;false
rev_0761b-e813d;oneDev;1;0;0;0;0;false;false
rev_832db-24651;oneDev;1;0;0;0;0;false;false
rev_35e7c-a24a4;oneDev;1;0;0;0;0;false;false
rev_1a22a-1ba05;oneDev;1;0;0;0;0;false;false
rev_d40e8-845f4;twoDevs;2;0;0;0;0;false;false
rev_4a97b-7aa37;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5ee81-e64b5;twoDevs;2;0;0;0;0;false;false
rev_db235-54adb;twoDevs;2;0;0;0;0;false;false
rev_1fe63-fdf93;oneDev;1;0;0;0;0;false;false
rev_6f05c-9d259;twoDevs;2;0;0;0;0;false;false
rev_5834f-f065b;oneDev;1;0;0;0;0;false;false
rev_45c06-ff299;twoDevs;2;0;0;0;0;false;false
rev_b2390-59a88;twoDevs;2;0;0;0;0;false;false
rev_4c3d8-d96b8;twoDevs;2;0;0;0;0;false;false
rev_e37e4-efbb9;twoDevs;2;0;0;0;0;false;false
rev_4dfd6-8d05b;twoDevs;2;0;0;0;0;false;false
rev_0ff30-936b1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_864ce-811d0;twoDevs;2;0;0;0;0;false;false
rev_19b9d-871fd;oneDev;1;0;0;0;0;false;false
rev_133f4-a939b;twoDevs;2;0;0;0;0;false;false
rev_b9c8e-6a2ed;twoDevs;2;0;0;0;0;false;false
rev_10216-aab64;twoDevs;2;0;0;0;0;false;false
rev_46c39-66447;twoDevs;2;0;0;0;0;false;false
rev_42b13-65fb6;twoDevs;2;0;0;0;0;false;false
rev_75110-dc0cf;twoDevs;2;0;0;0;0;false;false
rev_0ac47-9e86f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7f9bb-952ec;oneDev;1;0;0;0;0;false;false
rev_a302b-900bc;twoDevs;2;0;0;0;0;false;false
rev_32088-c3e0d;moreThanTwoDevs;3;1;0;0;0;true;false
rev_c3e0d-ac926;twoDevs;2;0;0;0;0;false;false
rev_233c2-fd357;moreThanTwoDevs;3;0;0;0;0;false;false
rev_44a98-f1fe1;twoDevs;2;0;0;0;0;false;false
rev_1619a-f3869;twoDevs;2;0;0;0;0;false;false
rev_9a02e-cd3e0;twoDevs;2;0;0;0;0;false;false
rev_03d6e-be04a;twoDevs;2;0;0;0;0;false;false
rev_ffbb2-6ae14;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3d010-42986;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ee4fb-f902a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2d635-2dfa9;twoDevs;2;0;0;0;0;false;false
rev_aa68a-014ed;twoDevs;2;0;0;0;0;false;false
rev_79118-cd6f5;twoDevs;2;0;0;0;0;false;false
rev_92e8b-990c8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8c2fd-7fa34;twoDevs;2;0;0;0;0;false;false
rev_296ad-67366;moreThanTwoDevs;4;1;0;0;0;true;false
rev_67a86-34a7c;twoDevs;2;0;0;0;0;false;false
rev_7021a-4ec1e;twoDevs;2;0;0;0;0;false;false
rev_30fb7-b94b0;twoDevs;2;0;0;0;0;false;false
rev_a1594-5e389;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c076f-5dbe7;twoDevs;2;0;0;0;0;false;false
rev_3f536-6f2c6;twoDevs;2;0;0;0;0;false;false
rev_0698d-3168f;moreThanTwoDevs;7;0;0;0;0;false;false
rev_0698d-0bd91;twoDevs;2;0;0;0;0;false;false
rev_d4e5c-26b70;moreThanTwoDevs;3;1;0;0;0;true;false
rev_d4e5c-feb82;oneDev;1;0;0;0;0;false;false
rev_7c980-529a3;twoDevs;2;0;0;0;0;false;false
rev_a5756-b0abc;oneDev;1;0;0;0;0;false;false
rev_f5750-c7334;oneDev;1;0;0;0;0;false;false
rev_17e98-f867c;twoDevs;2;0;0;0;0;false;false
rev_c666d-899bb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ecebe-0a327;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c15ee-d81b2;twoDevs;2;0;0;0;0;false;false
rev_97c57-b9a94;moreThanTwoDevs;4;0;0;0;0;false;false
rev_dec70-a1a9a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a1a9a-f3e86;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4c9a2-5fafa;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c3c09-eaa67;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eaa67-8159c;twoDevs;2;0;0;0;0;false;false
rev_dd3c2-02a9c;oneDev;1;0;0;0;0;false;false
rev_c84b0-7f176;twoDevs;2;0;0;0;0;false;false
rev_e036c-79759;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d3e1f-bcd8b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_79759-3f1e8;twoDevs;2;0;0;0;0;false;false
rev_eea22-a08cb;moreThanTwoDevs;4;0;0;0;0;false;false
rev_075b1-3e590;moreThanTwoDevs;3;0;0;0;0;false;false
