name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_b000d-5a553;moreThanTwoDevs;3;4;1;0;0;true;false
rev_c4e51-850ae;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9d020-ae2c9;moreThanTwoDevs;6;0;0;0;0;false;false
rev_a0dd3-44d21;moreThanTwoDevs;4;0;0;0;0;false;false
rev_260b9-a47a9;twoDevs;2;0;0;0;0;false;false
rev_580d1-d3115;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5f0e5-d3549;twoDevs;2;0;0;0;0;false;false
rev_c7a3b-450a3;twoDevs;2;0;0;0;0;false;false
rev_66301-e70d0;moreThanTwoDevs;7;0;0;0;0;false;false
rev_47248-807f8;moreThanTwoDevs;12;333;316;22;22;true;false
rev_1a246-da34a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6a564-4586b;moreThanTwoDevs;6;0;0;0;0;false;false
rev_0be4f-a753f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_277c3-6f90d;moreThanTwoDevs;10;0;0;0;0;false;false
rev_83451-0aa03;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d8818-dcf5d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9b2e4-da381;moreThanTwoDevs;4;0;0;0;0;false;false
rev_785fd-23d1d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_33c0b-39f35;moreThanTwoDevs;7;0;0;0;0;false;false
rev_8e1c4-806e2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e0ef9-dfa1b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e5d95-eb83c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_abb28-7f93c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b05af-e894d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_92239-20bff;moreThanTwoDevs;8;0;0;0;0;false;false
rev_af7d5-3d583;moreThanTwoDevs;18;0;0;0;0;false;false
rev_31adc-feea4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b8f04-a5584;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d7dfb-b8012;moreThanTwoDevs;6;0;0;0;0;false;false
rev_2acd5-1d3e0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b8970-be1be;twoDevs;2;0;0;0;0;false;false
rev_138e5-3f112;moreThanTwoDevs;3;0;0;0;0;false;false
rev_91ef3-5e5f0;twoDevs;2;0;0;0;0;false;false
rev_f5c67-bdcb1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_16c1f-8d264;moreThanTwoDevs;9;0;0;0;0;false;false
rev_6415f-f6a64;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8223e-b002f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_339c9-cbaa9;moreThanTwoDevs;7;0;0;0;0;false;false
rev_f3795-7cf1b;moreThanTwoDevs;15;0;0;0;0;false;false
rev_0619e-dad03;twoDevs;2;0;0;0;0;false;false
rev_b0ff3-220e5;twoDevs;2;0;0;0;0;false;false
rev_31af4-47eb0;twoDevs;2;0;0;0;0;false;false
rev_4c8eb-57be9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c34d8-9b27a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_effb4-2058f;moreThanTwoDevs;41;11;3;4;0;true;false
rev_451ff-4c5f2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_70b4f-ce4b4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ea384-5b9f5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ae3f0-b2321;moreThanTwoDevs;5;0;0;0;0;false;false
rev_47a4b-e3949;twoDevs;2;0;0;0;0;false;false
rev_d9e64-b8746;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2a476-ad567;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e3f65-a2d0f;moreThanTwoDevs;6;0;0;0;0;false;false
rev_7e1c1-f24d4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ae465-f345c;moreThanTwoDevs;9;3;1;1;1;true;false
rev_c26ad-773f2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_aa19f-bfd11;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4395d-844db;moreThanTwoDevs;6;0;0;0;0;false;false
rev_186b6-80d92;moreThanTwoDevs;7;0;0;0;0;false;false
rev_ea05f-406aa;oneDev;1;0;0;0;0;false;false
rev_f884e-c8974;oneDev;1;0;0;0;0;false;false
rev_66881-8ab10;moreThanTwoDevs;5;0;0;0;0;false;false
rev_5ff63-68cec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1e9a4-30151;moreThanTwoDevs;3;0;0;0;0;false;false
rev_97676-61c85;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5c30a-cb14c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8dccc-70b63;moreThanTwoDevs;3;0;0;0;0;false;false
rev_64e22-2599b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9e74f-647ae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_64b29-b1a80;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d80e5-b53b0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7f046-c2e9e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_981dc-98d0b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5d9bf-d3010;moreThanTwoDevs;3;0;0;0;0;false;false
rev_357af-39aa5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4a104-80790;moreThanTwoDevs;7;1;1;1;1;true;false
rev_d2ab1-f6eea;moreThanTwoDevs;6;2;0;2;0;true;false
rev_ef631-efe59;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ab462-7ca43;twoDevs;2;0;0;0;0;false;false
rev_a8ef6-6694f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ec17c-6a025;moreThanTwoDevs;3;0;0;0;0;false;false
rev_97bfb-99163;moreThanTwoDevs;26;0;0;0;0;false;false
