name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_ace7d-0a0df;twoDevs;2;0;0;0;0;false;false
rev_f4c2a-f79b5;oneDev;1;0;0;0;0;false;false
rev_9ef80-2b816;oneDev;1;0;0;0;0;false;false
rev_ad61e-63fd4;oneDev;1;0;0;0;0;false;true
rev_87531-725ac;oneDev;1;1;0;0;0;true;false
rev_e1994-c5d8a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dfe64-a532b;twoDevs;2;0;0;0;0;false;false
rev_66089-efdfb;twoDevs;2;0;0;0;0;false;false
rev_b346c-02624;twoDevs;2;0;0;0;0;false;false
rev_3ecf9-bec9f;twoDevs;2;0;0;0;0;false;false
rev_aec27-0f71e;twoDevs;2;0;0;0;0;false;false
rev_1e567-3425c;twoDevs;2;0;0;0;0;false;false
rev_74338-d8cdc;twoDevs;2;0;0;0;0;false;false
rev_7e43c-c084b;twoDevs;2;0;0;0;0;false;false
rev_c2f8e-2711d;twoDevs;2;0;0;0;0;false;false
rev_4e244-1261d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c54d2-e57ed;twoDevs;2;0;0;0;0;false;false
rev_77d42-d9bbe;twoDevs;2;0;0;0;0;false;false
rev_45ca9-7d964;oneDev;1;0;0;0;0;false;false
rev_e897c-1966d;twoDevs;2;0;0;0;0;false;false
rev_29dba-78481;twoDevs;2;0;0;0;0;false;false
rev_fa52f-78481;twoDevs;2;0;0;0;0;false;false
rev_b6735-82dab;twoDevs;2;0;0;0;0;false;false
rev_63aec-797f9;twoDevs;2;0;0;0;0;false;false
rev_a6b31-0dfc7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d7a2c-1c6da;twoDevs;2;0;0;0;0;false;false
rev_a1e05-8cf05;twoDevs;2;0;0;0;0;false;false
rev_53423-6a03e;twoDevs;2;0;0;0;0;false;false
rev_2fd4f-9a9c7;twoDevs;2;0;0;0;0;false;false
rev_15f55-c1dc1;twoDevs;2;0;0;0;0;false;false
rev_9625a-dcdb3;twoDevs;2;0;0;0;0;false;false
rev_29fa1-f2349;twoDevs;2;0;0;0;0;false;false
rev_33425-c327a;twoDevs;2;4;0;2;0;true;false
rev_a35e6-ef1cb;twoDevs;2;0;0;0;0;false;false
rev_78873-24819;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e0d59-a2721;twoDevs;2;0;0;0;0;false;false
rev_6a328-ad2b1;twoDevs;2;0;0;0;0;false;false
rev_9cf7a-15f5c;twoDevs;2;0;0;0;0;false;false
rev_c0ef1-99bf6;twoDevs;2;0;0;0;0;false;false
rev_671b8-7af18;moreThanTwoDevs;3;0;0;0;0;false;false
rev_847c7-b3b8a;moreThanTwoDevs;3;3;0;1;0;true;false
rev_e0bcc-d597d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a4695-dddff;twoDevs;2;0;0;0;0;false;false
rev_6fd6a-496d3;moreThanTwoDevs;3;4;0;0;0;true;false
rev_69549-705f4;oneDev;1;0;0;0;0;false;false
rev_8c356-234ea;moreThanTwoDevs;3;4;1;2;0;true;false
rev_abfbe-2c25a;twoDevs;2;1;0;0;0;true;false
rev_fc4ee-76423;oneDev;1;0;0;0;0;false;false
rev_53357-fa631;moreThanTwoDevs;3;1;0;0;0;true;true
rev_cec83-6898f;twoDevs;2;0;0;0;0;false;false
rev_dd0b3-db719;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f89a2-71bc4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_32a00-43dd5;twoDevs;2;1;0;0;0;true;false
rev_c7985-67d59;twoDevs;2;0;0;0;0;false;false
rev_0a7c7-bccf3;twoDevs;2;0;0;0;0;false;false
rev_68c13-b7542;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6fd7e-3dd9b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_910ba-74cbb;twoDevs;2;0;0;0;0;false;false
rev_205e2-6ec8b;twoDevs;2;0;0;0;0;false;false
rev_408c6-0dfef;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7f815-e8311;moreThanTwoDevs;3;1;0;0;0;true;false
rev_4ac2a-d1fb0;twoDevs;2;2;0;1;0;true;false
rev_4c2e5-9b55a;twoDevs;2;0;0;0;0;false;false
rev_95af2-93984;twoDevs;2;0;0;0;0;false;false
rev_7281d-eeb35;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fdac4-c8c74;twoDevs;2;0;0;0;0;false;false
rev_23174-a06aa;twoDevs;2;0;0;0;0;false;false
rev_70d48-8a927;twoDevs;2;0;0;0;0;false;false
rev_cbf70-7b2c5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_22591-1c299;twoDevs;2;4;0;0;0;true;false
rev_e12b5-3e388;moreThanTwoDevs;8;0;0;0;0;false;false
rev_16236-9fbe6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_50418-9fbe6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f0bcf-29e76;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a50ac-bdf41;twoDevs;2;0;0;0;0;false;false
rev_a59d5-9f534;twoDevs;2;0;0;0;0;false;false
rev_97756-e3240;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b3783-3894e;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2bb8d-3083f;moreThanTwoDevs;4;1;0;0;0;true;false
rev_7e142-c0861;twoDevs;2;0;0;0;0;false;false
rev_a7db6-abe04;twoDevs;2;0;0;0;0;false;false
rev_101b8-a9ab3;moreThanTwoDevs;4;0;0;0;0;false;true
rev_79ee5-417bb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2df7f-d445a;moreThanTwoDevs;4;2;0;0;0;true;true
rev_a67b7-fe869;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9122b-b837a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_87f5a-00008;moreThanTwoDevs;5;1;0;1;0;true;false
rev_828ea-00008;moreThanTwoDevs;3;0;0;0;0;false;false
rev_62af2-a81fb;twoDevs;2;0;0;0;0;false;false
rev_cc2d2-1de76;twoDevs;2;0;0;0;0;false;false
rev_4fb29-3c8d8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_92108-3c8d8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_37c9e-22afa;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c7bb6-f1237;moreThanTwoDevs;3;0;0;0;0;false;true
rev_b467d-ecdce;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2bf5a-5a9c5;twoDevs;2;0;0;0;0;false;false
rev_73941-d0731;twoDevs;2;0;0;0;0;false;false
rev_03e1e-5e5b7;moreThanTwoDevs;6;1;0;0;0;true;false
rev_8debe-93d5a;twoDevs;2;0;0;0;0;false;false
rev_95a2a-b4929;twoDevs;2;0;0;0;0;false;false
rev_6a16c-84b21;moreThanTwoDevs;6;0;0;0;0;false;false
rev_1862c-019cc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_25841-431ae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_05f1d-49879;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2feba-d7aa7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ec3f6-f6dee;moreThanTwoDevs;5;0;0;0;0;false;false
rev_d292b-0b6df;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c71d9-2c43b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f62b3-dfb17;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2d633-cfc41;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1b8e5-abec6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2c2c6-7ef0d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_839d9-a4b62;twoDevs;2;0;0;0;0;false;false
rev_25d26-e001c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_421d2-3bfd7;twoDevs;2;0;0;0;0;false;false
rev_7f500-7975a;twoDevs;2;0;0;0;0;false;false
rev_39637-2070c;twoDevs;2;0;0;0;0;false;false
rev_77e0c-9ec55;twoDevs;2;0;0;0;0;false;false
rev_5ae69-16d39;twoDevs;2;0;0;0;0;false;false
rev_ca561-3c245;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f38fe-91cb7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_cb37f-9edd8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dca53-ebf29;twoDevs;2;0;0;0;0;false;false
rev_01025-242da;twoDevs;2;0;0;0;0;false;false
rev_63964-e96c9;twoDevs;2;0;0;0;0;false;false
rev_9cb0c-5d2df;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b75a6-894a0;twoDevs;2;0;0;0;0;false;false
rev_c8030-aa007;moreThanTwoDevs;6;0;0;0;0;false;false
rev_fd9ea-2fcc1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1e63c-2fcc1;moreThanTwoDevs;4;0;0;0;0;false;false
